situation: conversation, Emotion: anxiety, statements: eight hundred eight, Gender: male, Color: (127, 127, 127)
situation: conversation, Emotion: disgust, statements: may seventeenth, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: nine hundred six, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: nine hundred six, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: nine hundred six, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: october twelfth, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: october twelfth, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: october twelfth, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: one thousand five, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: one thousand five, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: six hundred twelve, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: three hundred eight, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: three hundred eight, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: two hundred three, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: hot anger, statements: december tenth, Gender: male, Color: (255, 0, 0)
situation: conversation, Emotion: hot anger, statements: december tenth, Gender: male, Color: (255, 0, 0)
situation: conversation, Emotion: hot anger, statements: december tenth, Gender: male, Color: (255, 0, 0)
situation: conversation, Emotion: hot anger, statements: eight hundred twelve, Gender: male, Color: (255, 0, 0)
situation: conversation, Emotion: hot anger, statements: five thousand five, Gender: male, Color: (255, 0, 0)
situation: conversation, Emotion: hot anger, statements: four thousand twelve, Gender: male, Color: (255, 0, 0)
situation: conversation, Emotion: hot anger, statements: november third, Gender: male, Color: (255, 0, 0)
situation: conversation, Emotion: hot anger, statements: one hundred five, Gender: male, Color: (255, 0, 0)
situation: conversation, Emotion: hot anger, statements: ten thousand nine, Gender: male, Color: (255, 0, 0)
situation: conversation, Emotion: hot anger, statements: ten thousand nine, Gender: male, Color: (255, 0, 0)
situation: conversation, Emotion: hot anger, statements: three thousand twelve, Gender: male, Color: (255, 0, 0)
situation: conversation, Emotion: hot anger, statements: three thousand twelve, Gender: male, Color: (255, 0, 0)
situation: conversation, Emotion: hot anger, statements: march thirty-first, Gender: male, Color: (255, 0, 0)
situation: conversation, Emotion: hot anger, statements: seventy-three, Gender: male, Color: (255, 0, 0)
situation: conversation, Emotion: happy, statements: three hundred nine, Gender: male, Color: (210, 255, 10)
situation: conversation, Emotion: happy, statements: three hundred nine, Gender: male, Color: (210, 255, 10)
situation: conversation, Emotion: happy, statements: april thirteenth, Gender: male, Color: (210, 255, 10)
situation: conversation, Emotion: happy, statements: april thirteenth, Gender: male, Color: (210, 255, 10)
situation: conversation, Emotion: happy, statements: four hundred nine, Gender: male, Color: (210, 255, 10)
situation: conversation, Emotion: happy, statements: four hundred nine, Gender: male, Color: (210, 255, 10)
situation: conversation, Emotion: happy, statements: june eleventh, Gender: male, Color: (210, 255, 10)
situation: conversation, Emotion: happy, statements: june eleventh, Gender: male, Color: (210, 255, 10)
situation: conversation, Emotion: happy, statements: june eleventh, Gender: male, Color: (210, 255, 10)
situation: conversation, Emotion: happy, statements: may twentieth, Gender: male, Color: (210, 255, 10)
situation: conversation, Emotion: happy, statements: may twentieth, Gender: male, Color: (210, 255, 10)
situation: conversation, Emotion: happy, statements: nine hundred twelve, Gender: male, Color: (210, 255, 10)
situation: conversation, Emotion: happy, statements: nine hundred twelve, Gender: male, Color: (210, 255, 10)
situation: conversation, Emotion: happy, statements: one thousand one, Gender: male, Color: (210, 255, 10)
situation: conversation, Emotion: happy, statements: one thousand one, Gender: male, Color: (210, 255, 10)
situation: conversation, Emotion: happy, statements: september first, Gender: male, Color: (210, 255, 10)
situation: conversation, Emotion: happy, statements: september first, Gender: male, Color: (210, 255, 10)
situation: conversation, Emotion: happy, statements: september first, Gender: male, Color: (210, 255, 10)
situation: conversation, Emotion: happy, statements: september first, Gender: male, Color: (210, 255, 10)
situation: conversation, Emotion: happy, statements: six thousand five, Gender: male, Color: (210, 255, 10)
situation: conversation, Emotion: happy, statements: two thousand eight, Gender: male, Color: (210, 255, 10)
situation: conversation, Emotion: happy, statements: two thousand eight, Gender: male, Color: (210, 255, 10)
situation: conversation, Emotion: happy, statements: two thousand eight, Gender: male, Color: (210, 255, 10)
situation: conversation, Emotion: neutral, statements: one hundred twelve, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: one hundred twelve, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: october third, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: six hundred three, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: two thousand ten, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: two thousand ten, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: march eleventh, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: nineteen hundred, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: april thirteenth, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: four hundred nine, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: two thousand eight, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: two thousand eight, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: nine thousand eight, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: december fifth, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: december fifth, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: eight hundred two, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: eight thousand two, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: five hundred one, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: five thousand one, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: four thousand nine, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: four thousand nine, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: july eighteenth, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: june thirtieth, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: nine hundred eight, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: no emotion, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: november tenth, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: one thousand twelve, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: september twelfth, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: six thousand three, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: ten thousand one, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: three hundred five, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: three thousand five, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: two hundred eight, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: two thousand nine, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: two thousand nine, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: two thousand nine, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: two thousand one, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: two thousand one, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: two thousand one, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: two thousand one, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: two thousand one, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: two thousand one, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: two thousand six, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: two thousand three, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: two thousand twelve, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: two thousand twelve, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: two thousand two, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: two thousand two, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: two thousand two, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: march twenty-sixth, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: may twenty-fourth, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: neutral, statements: seventy-six, Gender: male, Color: (30, 40, 30)
situation: distant, Emotion: neutral, statements: april fifteenth, Gender: male, Color: (30, 40, 30)
situation: distant, Emotion: neutral, statements: five thousand twelve, Gender: male, Color: (30, 40, 30)
situation: distant, Emotion: neutral, statements: two hundred one, Gender: male, Color: (30, 40, 30)
situation: distant, Emotion: neutral, statements: two hundred one, Gender: male, Color: (30, 40, 30)
situation: distant, Emotion: neutral, statements: sixteen hundred, Gender: male, Color: (30, 40, 30)
situation: distant, Emotion: neutral, statements: sixteen hundred, Gender: male, Color: (30, 40, 30)
situation: distant, Emotion: neutral, statements: july second, Gender: male, Color: (30, 40, 30)
situation: distant, Emotion: neutral, statements: nine hundred one, Gender: male, Color: (30, 40, 30)
situation: distant, Emotion: neutral, statements: five hundred twelve, Gender: male, Color: (30, 40, 30)
situation: distant, Emotion: neutral, statements: five hundred twelve, Gender: male, Color: (30, 40, 30)
situation: distant, Emotion: neutral, statements: three thousand six, Gender: male, Color: (30, 40, 30)
situation: distant, Emotion: neutral, statements: three thousand six, Gender: male, Color: (30, 40, 30)
situation: distant, Emotion: neutral, statements: three thousand six, Gender: male, Color: (30, 40, 30)
situation: distant, Emotion: neutral, statements: september first, Gender: male, Color: (30, 40, 30)
situation: distant, Emotion: neutral, statements: six thousand five, Gender: male, Color: (30, 40, 30)
situation: distant, Emotion: neutral, statements: fifteen hundred, Gender: male, Color: (30, 40, 30)
situation: distant, Emotion: neutral, statements: three hundred six, Gender: male, Color: (30, 40, 30)
situation: distant, Emotion: neutral, statements: august nineteenth, Gender: male, Color: (30, 40, 30)
situation: distant, Emotion: neutral, statements: august nineteenth, Gender: male, Color: (30, 40, 30)
situation: distant, Emotion: neutral, statements: december sixth, Gender: male, Color: (30, 40, 30)
situation: distant, Emotion: neutral, statements: eight hundred nine, Gender: male, Color: (30, 40, 30)
situation: distant, Emotion: neutral, statements: four hundred three, Gender: male, Color: (30, 40, 30)
situation: distant, Emotion: neutral, statements: four thousand three, Gender: male, Color: (30, 40, 30)
situation: distant, Emotion: neutral, statements: march twentieth, Gender: male, Color: (30, 40, 30)
situation: distant, Emotion: neutral, statements: march twentieth, Gender: male, Color: (30, 40, 30)
situation: distant, Emotion: neutral, statements: may thirtieth, Gender: male, Color: (30, 40, 30)
situation: distant, Emotion: neutral, statements: nine thousand one, Gender: male, Color: (30, 40, 30)
situation: distant, Emotion: neutral, statements: november eighth, Gender: male, Color: (30, 40, 30)
situation: distant, Emotion: neutral, statements: october fifth, Gender: male, Color: (30, 40, 30)
situation: distant, Emotion: neutral, statements: october fifth, Gender: male, Color: (30, 40, 30)
situation: distant, Emotion: neutral, statements: one hundred four, Gender: male, Color: (30, 40, 30)
situation: distant, Emotion: neutral, statements: one hundred four, Gender: male, Color: (30, 40, 30)
situation: distant, Emotion: neutral, statements: one thousand four, Gender: male, Color: (30, 40, 30)
situation: distant, Emotion: neutral, statements: six hundred five, Gender: male, Color: (30, 40, 30)
situation: distant, Emotion: neutral, statements: six hundred five, Gender: male, Color: (30, 40, 30)
situation: distant, Emotion: neutral, statements: ten thousand twelve, Gender: male, Color: (30, 40, 30)
situation: distant, Emotion: neutral, statements: two thousand four, Gender: male, Color: (30, 40, 30)
situation: distant, Emotion: neutral, statements: two thousand three, Gender: male, Color: (30, 40, 30)
situation: distant, Emotion: neutral, statements: june twenty-fifth, Gender: male, Color: (30, 40, 30)
situation: distant, Emotion: neutral, statements: seventy-eight, Gender: male, Color: (30, 40, 30)
situation: tete a tete, Emotion: neutral, statements: october sixth, Gender: male, Color: (30, 40, 30)
situation: tete a tete, Emotion: neutral, statements: six hundred six, Gender: male, Color: (30, 40, 30)
situation: tete a tete, Emotion: neutral, statements: six hundred six, Gender: male, Color: (30, 40, 30)
situation: tete a tete, Emotion: neutral, statements: eight thousand three, Gender: male, Color: (30, 40, 30)
situation: tete a tete, Emotion: neutral, statements: june eleventh, Gender: male, Color: (30, 40, 30)
situation: tete a tete, Emotion: neutral, statements: nine hundred twelve, Gender: male, Color: (30, 40, 30)
situation: tete a tete, Emotion: neutral, statements: one thousand ten, Gender: male, Color: (30, 40, 30)
situation: tete a tete, Emotion: neutral, statements: april seventh, Gender: male, Color: (30, 40, 30)
situation: tete a tete, Emotion: neutral, statements: april seventh, Gender: male, Color: (30, 40, 30)
situation: tete a tete, Emotion: neutral, statements: august thirteenth, Gender: male, Color: (30, 40, 30)
situation: tete a tete, Emotion: neutral, statements: eight hundred three, Gender: male, Color: (30, 40, 30)
situation: tete a tete, Emotion: neutral, statements: february, Gender: male, Color: (30, 40, 30)
situation: tete a tete, Emotion: neutral, statements: five hundred four, Gender: male, Color: (30, 40, 30)
situation: tete a tete, Emotion: neutral, statements: four hundred five, Gender: male, Color: (30, 40, 30)
situation: tete a tete, Emotion: neutral, statements: four thousand five, Gender: male, Color: (30, 40, 30)
situation: tete a tete, Emotion: neutral, statements: fourteen hundred, Gender: male, Color: (30, 40, 30)
situation: tete a tete, Emotion: neutral, statements: nine thousand twelve, Gender: male, Color: (30, 40, 30)
situation: tete a tete, Emotion: neutral, statements: november ninth, Gender: male, Color: (30, 40, 30)
situation: tete a tete, Emotion: neutral, statements: one hundred ten, Gender: male, Color: (30, 40, 30)
situation: tete a tete, Emotion: neutral, statements: one hundred ten, Gender: male, Color: (30, 40, 30)
situation: tete a tete, Emotion: neutral, statements: september tenth, Gender: male, Color: (30, 40, 30)
situation: tete a tete, Emotion: neutral, statements: september tenth, Gender: male, Color: (30, 40, 30)
situation: tete a tete, Emotion: neutral, statements: six thousand six, Gender: male, Color: (30, 40, 30)
situation: tete a tete, Emotion: neutral, statements: ten thousand four, Gender: male, Color: (30, 40, 30)
situation: tete a tete, Emotion: neutral, statements: three hundred two, Gender: male, Color: (30, 40, 30)
situation: tete a tete, Emotion: neutral, statements: three thousand two, Gender: male, Color: (30, 40, 30)
situation: tete a tete, Emotion: neutral, statements: two hundred twelve, Gender: male, Color: (30, 40, 30)
situation: tete a tete, Emotion: neutral, statements: two thousand one, Gender: male, Color: (30, 40, 30)
situation: tete a tete, Emotion: neutral, statements: june twenty-sixth, Gender: male, Color: (30, 40, 30)
situation: tete a tete, Emotion: neutral, statements: march twenty-fourth, Gender: male, Color: (30, 40, 30)
situation: tete a tete, Emotion: neutral, statements: may twenty-fifth, Gender: male, Color: (30, 40, 30)
situation: tete a tete, Emotion: neutral, statements: seventy-one, Gender: male, Color: (30, 40, 30)
situation: tete a tete, Emotion: neutral, statements: thirty-seven, Gender: male, Color: (30, 40, 30)
situation: conversation, Emotion: sadness, statements: august second, Gender: male, Color: (40, 0, 80)
situation: conversation, Emotion: sadness, statements: august second, Gender: male, Color: (40, 0, 80)
situation: conversation, Emotion: sadness, statements: five hundred five, Gender: male, Color: (40, 0, 80)
situation: conversation, Emotion: sadness, statements: four hundred twelve, Gender: male, Color: (40, 0, 80)
situation: conversation, Emotion: sadness, statements: nine hundred nine, Gender: male, Color: (40, 0, 80)
situation: conversation, Emotion: sadness, statements: nine hundred nine, Gender: male, Color: (40, 0, 80)
situation: conversation, Emotion: sadness, statements: one thousand two, Gender: male, Color: (40, 0, 80)
situation: conversation, Emotion: sadness, statements: september third, Gender: male, Color: (40, 0, 80)
situation: conversation, Emotion: sadness, statements: september third, Gender: male, Color: (40, 0, 80)
situation: conversation, Emotion: sadness, statements: six thousand ten, Gender: male, Color: (40, 0, 80)
situation: conversation, Emotion: sadness, statements: three hundred twelve, Gender: male, Color: (40, 0, 80)
situation: conversation, Emotion: sadness, statements: may twenty-ninth, Gender: male, Color: (40, 0, 80)
situation: conversation, Emotion: sadness, statements: may twenty-ninth, Gender: male, Color: (40, 0, 80)
situation: conversation, Emotion: anxiety, statements: april eighteenth, Gender: male, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: april eighteenth, Gender: male, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: eight thousand one, Gender: male, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: eight thousand one, Gender: male, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: eight thousand one, Gender: male, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: five thousand three, Gender: male, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: five thousand three, Gender: male, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: nine hundred five, Gender: male, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: nine hundred five, Gender: male, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: october ninth, Gender: male, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: october ninth, Gender: male, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: one hundred three, Gender: male, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: ten thousand two, Gender: male, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: ten thousand two, Gender: male, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: two hundred nine, Gender: male, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: two hundred nine, Gender: male, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: six hundred one, Gender: male, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: july fifteenth, Gender: male, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: march twenty-ninth, Gender: male, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: march twenty-ninth, Gender: male, Color: (127, 127, 127)
situation: conversation, Emotion: anxiety, statements: march twenty-ninth, Gender: male, Color: (127, 127, 127)
situation: conversation, Emotion: boredom, statements: eight hundred five, Gender: male, Color: (255, 255, 255)
situation: conversation, Emotion: boredom, statements: eight hundred five, Gender: male, Color: (255, 255, 255)
situation: conversation, Emotion: boredom, statements: eight hundred five, Gender: male, Color: (255, 255, 255)
situation: conversation, Emotion: boredom, statements: six thousand two, Gender: male, Color: (255, 255, 255)
situation: conversation, Emotion: boredom, statements: six thousand two, Gender: male, Color: (255, 255, 255)
situation: conversation, Emotion: boredom, statements: six thousand two, Gender: male, Color: (255, 255, 255)
situation: conversation, Emotion: boredom, statements: august thirteenth, Gender: male, Color: (255, 255, 255)
situation: conversation, Emotion: boredom, statements: august thirteenth, Gender: male, Color: (255, 255, 255)
situation: conversation, Emotion: boredom, statements: five hundred one, Gender: male, Color: (255, 255, 255)
situation: conversation, Emotion: boredom, statements: five hundred one, Gender: male, Color: (255, 255, 255)
situation: conversation, Emotion: boredom, statements: four thousand five, Gender: male, Color: (255, 255, 255)
situation: conversation, Emotion: boredom, statements: four thousand five, Gender: male, Color: (255, 255, 255)
situation: conversation, Emotion: boredom, statements: four thousand five, Gender: male, Color: (255, 255, 255)
situation: conversation, Emotion: boredom, statements: four thousand five, Gender: male, Color: (255, 255, 255)
situation: conversation, Emotion: boredom, statements: november eighth, Gender: male, Color: (255, 255, 255)
situation: conversation, Emotion: boredom, statements: november eighth, Gender: male, Color: (255, 255, 255)
situation: conversation, Emotion: boredom, statements: three thousand five, Gender: male, Color: (255, 255, 255)
situation: conversation, Emotion: boredom, statements: three thousand five, Gender: male, Color: (255, 255, 255)
situation: conversation, Emotion: boredom, statements: three thousand five, Gender: male, Color: (255, 255, 255)
situation: conversation, Emotion: boredom, statements: three thousand five, Gender: male, Color: (255, 255, 255)
situation: conversation, Emotion: boredom, statements: nine thousand ten, Gender: male, Color: (255, 255, 255)
situation: conversation, Emotion: boredom, statements: nine thousand ten, Gender: male, Color: (255, 255, 255)
situation: conversation, Emotion: boredom, statements: nine thousand ten, Gender: male, Color: (255, 255, 255)
situation: conversation, Emotion: boredom, statements: nine thousand ten, Gender: male, Color: (255, 255, 255)
situation: conversation, Emotion: boredom, statements: june twenty-fourth, Gender: male, Color: (255, 255, 255)
situation: conversation, Emotion: boredom, statements: june twenty-fourth, Gender: male, Color: (255, 255, 255)
situation: conversation, Emotion: boredom, statements: june twenty-fourth, Gender: male, Color: (255, 255, 255)
situation: conversation, Emotion: boredom, statements: seventy-eight, Gender: male, Color: (255, 255, 255)
situation: conversation, Emotion: boredom, statements: seventy-eight, Gender: male, Color: (255, 255, 255)
situation: conversation, Emotion: disgust, statements: december first, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: december first, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: eight hundred one, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: eight hundred one, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: five hundred three, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: five hundred three, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: five hundred three, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: five hundred three, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: four thousand one, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: four thousand one, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: nine thousand two, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: nine thousand two, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: november fourth, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: november fourth, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: three thousand one, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: three thousand one, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: june twenty-third, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: june twenty-third, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: seventy-nine, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: seventy-nine, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: sixty-seven, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: disgust, statements: sixty-seven, Gender: male, Color: (0, 112, 192)
situation: conversation, Emotion: hot anger, statements: two thousand eight, Gender: male, Color: (255, 0, 0)
situation: conversation, Emotion: hot anger, statements: two thousand eight, Gender: male, Color: (255, 0, 0)
situation: conversation, Emotion: hot anger, statements: fifteen hundred, Gender: male, Color: (255, 0, 0)
situation: conversation, Emotion: hot anger, statements: fifteen hundred, Gender: male, Color: (255, 0, 0)
situation: conversation, Emotion: hot anger, statements: one thousand six, Gender: male, Color: (255, 0, 0)
situation: conversation, Emotion: hot anger, statements: one thousand six, Gender: male, Color: (255, 0, 0)
situation: conversation, Emotion: hot anger, statements: one thousand six, Gender: male, Color: (255, 0, 0)
situation: conversation, Emotion: hot anger, statements: august eighteenth, Gender: male, Color: (255, 0, 0)
situation: conversation, Emotion: hot anger, statements: august eighteenth, Gender: male, Color: (255, 0, 0)
situation: conversation, Emotion: hot anger, statements: four hundred one, Gender: male, Color: (255, 0, 0)
situation: conversation, Emotion: hot anger, statements: four hundred one, Gender: male, Color: (255, 0, 0)
situation: conversation, Emotion: hot anger, statements: june seventeenth, Gender: male, Color: (255, 0, 0)
