,emotion,statements,gender,mfcc
datasources\EMO_DB\EMO_DB_DATA\wav\03a04Lc.wav,boredom,I could tell him Tonight,male,"[-328.8822326660156, 162.40109252929688, 12.33916187286377, 10.029154777526855, 38.035213470458984, 11.813264846801758, 2.118290901184082, 10.809679985046387, 4.240090370178223, 6.5415825843811035, 10.711888313293457, -1.8598077297210693, -4.135530948638916, 2.860170364379883, -3.7037172317504883, -7.312600612640381, -0.734525740146637, -0.11287582665681839, -0.0005283146165311337, 2.006969451904297]"
datasources\EMO_DB\EMO_DB_DATA\wav\03a04Nc.wav,neutral,I could tell him Tonight,male,"[-318.283935546875, 167.76536560058594, 4.2407307624816895, 4.468577861785889, 33.437355041503906, 7.971649646759033, 6.583133697509766, 13.482358932495117, -4.081423282623291, 0.36470675468444824, 13.796442985534668, 2.0027875900268555, -0.9966527223587036, 7.563852787017822, -1.7631707191467285, -9.271829605102539, -2.50775146484375, -0.08161075413227081, 0.9872691631317139, 2.757925271987915]"
datasources\EMO_DB\EMO_DB_DATA\wav\03a04Ta.wav,sadness,I could tell him Tonight,male,"[-333.535400390625, 180.78749084472656, -3.347562551498413, 13.995924949645996, 45.934486389160156, 3.0077240467071533, 1.2436470985412598, 17.483448028564453, 3.4550557136535645, 6.8724365234375, 12.592560768127441, -0.2979620397090912, 5.198958396911621, 8.265767097473145, -8.896576881408691, -3.91784405708313, 7.666804790496826, -3.5727460384368896, -1.7139918804168701, 9.774089813232422]"
datasources\EMO_DB\EMO_DB_DATA\wav\03a04Wc.wav,anger,I could tell him Tonight,male,"[-324.04034423828125, 145.2333221435547, -28.8503475189209, -5.165512561798096, 29.451614379882812, -11.657687187194824, -8.97665786743164, 11.72210693359375, -6.271514415740967, -8.549189567565918, 3.416233777999878, -1.0318673849105835, 2.369858980178833, 3.5335843563079834, -10.953826904296875, -8.509259223937988, 1.366315245628357, -5.530137538909912, -6.033029079437256, -0.035245317965745926]"
datasources\EMO_DB\EMO_DB_DATA\wav\03a05Aa.wav,anxiety/fear,The black piece of paper is up there next to the piece of wood,male,"[-301.9690856933594, 163.14199829101562, -42.760040283203125, 1.2046247720718384, 43.688262939453125, -9.50423812866211, 1.0029804706573486, 23.64753532409668, -7.918544769287109, -5.8760786056518555, 12.975752830505371, -3.2630131244659424, -4.808042526245117, 4.287430763244629, -7.7610907554626465, -6.632104396820068, 1.8105823993682861, -7.2551774978637695, -5.398468017578125, 1.8005905151367188]"
datasources\EMO_DB\EMO_DB_DATA\wav\03a05Fc.wav,happiness,The black piece of paper is up there next to the piece of wood,male,"[-315.265380859375, 143.64031982421875, -24.727224349975586, 5.186751365661621, 38.5847282409668, -2.0999863147735596, 5.679095268249512, 22.304779052734375, -3.9801504611968994, -2.977393627166748, 13.223047256469727, 0.8627490997314453, -2.380781650543213, 3.3814334869384766, -6.3642168045043945, -5.834282398223877, 1.9187555313110352, -3.2352566719055176, -1.5416918992996216, 3.4735631942749023]"
datasources\EMO_DB\EMO_DB_DATA\wav\03a05Nd.wav,neutral,The black piece of paper is up there next to the piece of wood,male,"[-324.8458557128906, 157.1563262939453, -11.842893600463867, 7.804549694061279, 41.30332565307617, 7.730929851531982, 10.427668571472168, 19.45417594909668, -2.1415040493011475, 3.830690622329712, 15.860736846923828, 0.7804048657417297, 0.41053175926208496, 6.025644779205322, -7.5234293937683105, -7.399620532989502, 2.1226391792297363, -4.077723503112793, -3.044480800628662, 4.678630828857422]"
datasources\EMO_DB\EMO_DB_DATA\wav\03a05Tc.wav,sadness,The black piece of paper is up there next to the piece of wood,male,"[-334.5040588378906, 171.7914581298828, -21.054731369018555, 10.176506996154785, 51.61088562011719, 7.341549873352051, 7.6469221115112305, 21.802337646484375, 0.27526092529296875, 5.249108791351318, 16.40585708618164, 1.3677325248718262, 3.360305070877075, 7.07684326171875, -8.879717826843262, -3.879215955734253, 7.31673002243042, -3.9952392578125, -2.20906662940979, 9.209779739379883]"
datasources\EMO_DB\EMO_DB_DATA\wav\03a05Wa.wav,anger,The black piece of paper is up there next to the piece of wood,male,"[-307.6845397949219, 134.952880859375, -28.1717472076416, -4.497727870941162, 31.967803955078125, -0.8733072876930237, 2.568986654281616, 14.084108352661133, -8.167322158813477, -3.25256609916687, 12.903831481933594, -0.411076158285141, -3.6632654666900635, 3.447361707687378, -7.398582458496094, -9.07637882232666, 1.3610209226608276, -2.03436541557312, -4.571951389312744, -0.595790445804596]"
datasources\EMO_DB\EMO_DB_DATA\wav\03a05Wb.wav,anger,The black piece of paper is up there next to the piece of wood,male,"[-320.08441162109375, 150.0631561279297, -33.33003616333008, -7.103116512298584, 30.035606384277344, -11.143169403076172, -6.329032897949219, 12.278336524963379, -9.150257110595703, -6.659195899963379, 8.480350494384766, -2.8618268966674805, -3.553056240081787, 2.151076316833496, -10.293929100036621, -11.10362434387207, -1.609472632408142, -4.635509490966797, -3.762928009033203, -1.0846871137619019]"
datasources\EMO_DB\EMO_DB_DATA\wav\03a07Fa.wav,happiness,It will be ready in seven hours,male,"[-295.8672180175781, 154.63580322265625, -33.71059799194336, 6.899065971374512, 42.2525749206543, -7.347842216491699, 4.457324981689453, 22.740968704223633, -7.426710605621338, -1.6671558618545532, 14.726703643798828, -2.5617852210998535, 0.849426805973053, 9.979340553283691, -9.110124588012695, -9.695038795471191, 3.7165253162384033, -4.201921463012695, -5.066133499145508, 2.2289535999298096]"
datasources\EMO_DB\EMO_DB_DATA\wav\03a07Fb.wav,happiness,It will be ready in seven hours,male,"[-298.0231018066406, 160.28802490234375, -43.8337516784668, 2.7559101581573486, 42.244930267333984, -9.997590065002441, 6.09773588180542, 25.9094295501709, -10.200611114501953, -5.45689582824707, 13.037155151367188, -5.4096856117248535, -2.422388792037964, 7.198444843292236, -11.241711616516113, -9.326810836791992, 3.766559600830078, -7.265540599822998, -7.206547260284424, 1.755234718322754]"
datasources\EMO_DB\EMO_DB_DATA\wav\03a07La.wav,boredom,It will be ready in seven hours,male,"[-314.79815673828125, 186.3451690673828, -15.506916046142578, 8.480257987976074, 51.1202507019043, 8.931381225585938, 7.260084629058838, 21.72262191772461, 2.373946189880371, 7.18766975402832, 18.692607879638672, 3.7653157711029053, 2.5956523418426514, 4.278400421142578, -10.883110046386719, -5.52881383895874, 6.451436519622803, -4.251777648925781, -4.040990352630615, 7.541470050811768]"
datasources\EMO_DB\EMO_DB_DATA\wav\03a07Nc.wav,neutral,It will be ready in seven hours,male,"[-311.0507507324219, 179.80328369140625, -4.877004146575928, 11.867117881774902, 43.87306594848633, 5.804198265075684, 11.44367504119873, 23.822660446166992, -4.136011600494385, -1.2836838960647583, 17.33473777770996, 4.4842753410339355, 1.1580411195755005, 8.645698547363281, -4.3915581703186035, -9.586094856262207, -0.09335333108901978, -1.0660645961761475, -1.1935254335403442, 2.150038242340088]"
datasources\EMO_DB\EMO_DB_DATA\wav\03a07Wc.wav,anger,It will be ready in seven hours,male,"[-306.9416198730469, 162.3658447265625, -43.609256744384766, -7.878023624420166, 37.08224105834961, -8.600482940673828, -2.9364075660705566, 14.3786039352417, -11.655529975891113, -6.040403842926025, 10.016205787658691, -5.604973793029785, -3.2886300086975098, 6.307435989379883, -9.219964981079102, -11.618953704833984, -2.152975559234619, -7.140247344970703, -5.018162250518799, -0.8276447653770447]"
datasources\EMO_DB\EMO_DB_DATA\wav\03b01Fa.wav,happiness,What kind of bags are there under the table,male,"[-280.3497009277344, 154.97068786621094, -31.13213539123535, -0.20262564718723297, 39.83514404296875, 0.07459894567728043, 9.146492004394531, 26.93124008178711, -1.8057078123092651, -3.2945284843444824, 11.467450141906738, -1.7013053894042969, -3.6082262992858887, 3.063331365585327, -7.455364227294922, -5.965340614318848, 2.84744930267334, -4.118459224700928, -3.996136426925659, 0.6789628267288208]"
datasources\EMO_DB\EMO_DB_DATA\wav\03b01Lb.wav,boredom,What kind of bags are there under the table,male,"[-314.18902587890625, 161.34652709960938, -8.7769136428833, 1.4276944398880005, 39.2741813659668, 12.838229179382324, 12.053521156311035, 22.920726776123047, 5.951200008392334, 6.8892951011657715, 15.192768096923828, -0.9726930856704712, -6.8333563804626465, 0.5334349870681763, -5.426589488983154, -7.192753791809082, -0.14354056119918823, -0.44645267724990845, 2.447580337524414, 5.4423723220825195]"
datasources\EMO_DB\EMO_DB_DATA\wav\03b01Nb.wav,neutral,What kind of bags are there under the table,male,"[-333.45294189453125, 167.01231384277344, -6.09949254989624, -1.8018341064453125, 34.917816162109375, 13.678011894226074, 14.37777042388916, 21.577457427978516, 4.94203519821167, 8.490691184997559, 15.636906623840332, -0.007166862487792969, -2.0185463428497314, 4.837230682373047, -5.051502227783203, -7.943363666534424, -0.43294987082481384, -1.0140140056610107, 1.9210578203201294, 6.095489025115967]"
datasources\EMO_DB\EMO_DB_DATA\wav\03b01Td.wav,sadness,What kind of bags are there under the table,male,"[-360.7664489746094, 149.55735778808594, -10.619128227233887, 8.199006080627441, 40.36020278930664, 6.654483318328857, 8.385560035705566, 21.450382232666016, 4.5729804039001465, 7.420256614685059, 14.150675773620605, -2.1469857692718506, -1.1865659952163696, 7.197821617126465, -4.424549579620361, -4.153902053833008, 6.633466720581055, 0.9159709215164185, -0.3126697242259979, 6.039047718048096]"
datasources\EMO_DB\EMO_DB_DATA\wav\03b01Wa.wav,anger,What kind of bags are there under the table,male,"[-314.9425048828125, 165.8994598388672, -35.115238189697266, -10.155214309692383, 33.91930389404297, -0.6569268703460693, 6.706482410430908, 20.690073013305664, -3.0896048545837402, 1.7083008289337158, 11.615436553955078, -6.398308753967285, -2.382960319519043, 7.714474678039551, -9.256189346313477, -12.041437149047852, -0.09587268531322479, -3.8265156745910645, -4.282290935516357, -0.6577161550521851]"
datasources\EMO_DB\EMO_DB_DATA\wav\03b01Wc.wav,anger,What kind of bags are there under the table,male,"[-330.3968811035156, 151.07826232910156, -33.615901947021484, -3.1558949947357178, 36.0886344909668, -0.5040442943572998, 9.843232154846191, 23.388473510742188, -4.937234401702881, -1.5116820335388184, 12.247661590576172, -1.9814091920852661, 1.038992166519165, 7.818909645080566, -8.444252014160156, -7.475667476654053, 4.319955348968506, -2.874691963195801, -4.195505619049072, 0.5994352698326111]"
datasources\EMO_DB\EMO_DB_DATA\wav\03b02Aa.wav,anxiety/fear,They just carried it up and now they're going down again,male,"[-286.0132141113281, 191.48391723632812, -44.37715148925781, 9.063348770141602, 50.4331169128418, -16.65938377380371, -1.188177227973938, 24.844877243041992, -11.214204788208008, -2.4001729488372803, 19.380313873291016, -3.461848497390747, -2.8563759326934814, 7.90485143661499, -9.819499015808105, -5.840501308441162, 7.870583534240723, -5.032314777374268, -5.1962690353393555, 4.318209171295166]"
datasources\EMO_DB\EMO_DB_DATA\wav\03b02La.wav,boredom,They just carried it up and now they're going down again,male,"[-346.4057922363281, 177.2186737060547, -1.278794288635254, 14.254929542541504, 50.323829650878906, 8.971627235412598, 0.013532903045415878, 14.386405944824219, 1.5802497863769531, 3.8329782485961914, 13.785384178161621, 1.368246078491211, -2.3468995094299316, 1.0119709968566895, -7.852859020233154, -4.399319648742676, 4.709561824798584, -2.759359121322632, -1.903403878211975, 7.378438949584961]"
datasources\EMO_DB\EMO_DB_DATA\wav\03b02Na.wav,neutral,They just carried it up and now they're going down again,male,"[-325.2150573730469, 175.54248046875, -3.454071044921875, 8.609944343566895, 43.894100189208984, 8.084127426147461, 2.9784393310546875, 14.541951179504395, 0.8070485591888428, 6.483933448791504, 14.821939468383789, -2.242673635482788, -2.6226131916046143, 6.9058380126953125, -5.346771717071533, -9.758573532104492, -0.705152690410614, -2.8406291007995605, -0.8927661776542664, 6.351075172424316]"
datasources\EMO_DB\EMO_DB_DATA\wav\03b02Tb.wav,sadness,They just carried it up and now they're going down again,male,"[-387.2384033203125, 133.90187072753906, -5.335017204284668, 17.02971839904785, 40.20694351196289, 1.1670535802841187, 2.505856990814209, 16.930227279663086, 3.151977300643921, 7.486778259277344, 13.732126235961914, -0.8882769346237183, 1.7338143587112427, 8.745553970336914, -3.5330395698547363, -3.0141050815582275, 5.849476337432861, -0.7183712720870972, -0.25307512283325195, 6.826043128967285]"
datasources\EMO_DB\EMO_DB_DATA\wav\03b02Wb.wav,anger,They just carried it up and now they're going down again,male,"[-319.5187072753906, 152.1876983642578, -16.367366790771484, 0.32465866208076477, 33.77958297729492, 0.40445733070373535, 0.13028556108474731, 8.723956108093262, -9.847494125366211, -1.578457236289978, 11.90360164642334, -2.56063175201416, -2.115435838699341, 6.278122425079346, -7.249256134033203, -10.535815238952637, 0.6028841733932495, -1.299207091331482, -3.2403855323791504, -0.49309149384498596]"
datasources\EMO_DB\EMO_DB_DATA\wav\03b03Nb.wav,neutral,I used to go home on the weekends and visit Agnes,male,"[-323.8487243652344, 164.6211700439453, 10.54242992401123, 9.675305366516113, 35.74917221069336, 8.4923095703125, 5.461862087249756, 15.19244384765625, -0.9324405193328857, -0.784518837928772, 12.41102123260498, 3.400984287261963, -2.704749822616577, 4.286026954650879, -0.6875188946723938, -8.114669799804688, -4.6634063720703125, -0.6859369874000549, 2.9277708530426025, 3.6581382751464844]"
datasources\EMO_DB\EMO_DB_DATA\wav\03b03Tc.wav,sadness,I used to go home on the weekends and visit Agnes,male,"[-399.5350341796875, 126.7845458984375, 16.425783157348633, 17.6769962310791, 36.212772369384766, 14.304525375366211, 7.562335014343262, 10.30514907836914, 1.4126254320144653, 5.458046913146973, 11.242694854736328, 3.4081168174743652, 4.476989269256592, 7.283265590667725, -2.7070372104644775, -2.9290854930877686, 4.652222633361816, -0.27085569500923157, -2.130049467086792, 4.939728260040283]"
datasources\EMO_DB\EMO_DB_DATA\wav\03b03Wc.wav,anger,I used to go home on the weekends and visit Agnes,male,"[-329.09136962890625, 157.37655639648438, -25.713523864746094, -3.1616599559783936, 34.681190490722656, -4.928510665893555, -4.679903030395508, 9.288663864135742, -11.43012809753418, -5.881950378417969, 10.880640029907227, -2.083390951156616, -4.736924171447754, 2.119264841079712, -9.439249992370605, -10.964372634887695, -0.6349942684173584, -4.008566379547119, -5.851761341094971, -2.733802080154419]"
datasources\EMO_DB\EMO_DB_DATA\wav\03b09La.wav,boredom,I want to take that away and then go have a drink with Karl,male,"[-329.5577392578125, 163.7097930908203, 16.022123336791992, 4.562198638916016, 30.035390853881836, 14.574560165405273, 11.744075775146484, 18.09660530090332, 9.739977836608887, 10.820590019226074, 11.256979942321777, -2.2777152061462402, -2.7879538536071777, 3.1201255321502686, -4.400616645812988, -5.937619686126709, -0.1499675065279007, -2.9501068592071533, -1.7004836797714233, 2.9927189350128174]"
datasources\EMO_DB\EMO_DB_DATA\wav\03b09Nc.wav,neutral,I want to take that away and then go have a drink with Karl,male,"[-326.181396484375, 156.6493377685547, 3.813101291656494, 3.972069025039673, 33.965152740478516, 13.565678596496582, 13.895071983337402, 20.876861572265625, 1.871109127998352, 1.761141300201416, 13.625679016113281, 3.1380138397216797, -1.5728521347045898, 5.537216663360596, -2.27458119392395, -9.199827194213867, -2.8817052841186523, -1.3253203630447388, -1.6649824380874634, 1.5667381286621094]"
datasources\EMO_DB\EMO_DB_DATA\wav\03b09Tc.wav,sadness,I want to take that away and then go have a drink with Karl,male,"[-340.6191101074219, 137.1654052734375, 10.93090534210205, 10.615707397460938, 36.327903747558594, 17.718212127685547, 11.353200912475586, 16.643144607543945, 9.89004898071289, 10.987146377563477, 11.304737091064453, 1.127987265586853, 2.2852134704589844, 4.741607189178467, -5.021917819976807, -4.818839073181152, 2.301140308380127, -1.5512886047363281, -2.393738031387329, 1.7631564140319824]"
datasources\EMO_DB\EMO_DB_DATA\wav\03b09Wa.wav,anger,I want to take that away and then go have a drink with Karl,male,"[-318.9900817871094, 142.7720489501953, -18.137454986572266, -8.327116012573242, 29.197463989257812, 9.330787658691406, 10.735665321350098, 14.783479690551758, -6.0627217292785645, -0.8842465877532959, 12.359126091003418, -0.3225308954715729, -1.854401707649231, 6.1533589363098145, -4.8567094802856445, -9.732501029968262, -1.5717276334762573, -3.7327072620391846, -5.6704325675964355, -1.6403579711914062]"
datasources\EMO_DB\EMO_DB_DATA\wav\03b10Ab.wav,anxiety/fear,It will be in the place where we always put it,male,"[-349.5690002441406, 138.86785888671875, -36.88877487182617, 0.08733884245157242, 35.967830657958984, -9.161659240722656, 1.073758602142334, 22.528610229492188, -3.3472020626068115, -3.4539334774017334, 9.704351425170898, -3.9760563373565674, -2.278898000717163, 5.683464527130127, -8.061206817626953, -7.595382213592529, 3.2238008975982666, -3.747410535812378, -5.424469470977783, -0.5338500738143921]"
datasources\EMO_DB\EMO_DB_DATA\wav\03b10Ec.wav,disgust,It will be in the place where we always put it,male,"[-288.1293029785156, 180.71987915039062, -17.67316246032715, 0.4394538402557373, 38.03942108154297, 2.261690855026245, 11.780463218688965, 28.732759475708008, 3.200585126876831, 4.343634128570557, 14.178412437438965, -8.015532493591309, -11.268895149230957, 3.5626909732818604, -2.744170904159546, -6.8779120445251465, -2.4848814010620117, -6.749340057373047, -3.133500814437866, 3.3545784950256348]"
datasources\EMO_DB\EMO_DB_DATA\wav\03b10Na.wav,neutral,It will be in the place where we always put it,male,"[-310.62786865234375, 169.2766876220703, -1.6926177740097046, 4.555185317993164, 37.741966247558594, 11.580500602722168, 14.937670707702637, 25.493694305419922, 2.9781811237335205, 2.306389093399048, 14.749990463256836, 0.749584972858429, -5.4124345779418945, 4.065184116363525, -1.437055230140686, -8.540348052978516, -5.259243011474609, -3.676398992538452, -0.04564996063709259, 1.8315850496292114]"
datasources\EMO_DB\EMO_DB_DATA\wav\03b10Nc.wav,neutral,It will be in the place where we always put it,male,"[-326.54815673828125, 159.40457153320312, 0.7937962412834167, 12.303483009338379, 39.75623321533203, 6.557791709899902, 10.735544204711914, 27.432674407958984, 7.493558883666992, 2.026376724243164, 9.380473136901855, -1.5731964111328125, -2.404755115509033, 3.9876515865325928, -6.886836051940918, -10.473433494567871, -1.2017518281936646, -1.0206300020217896, -1.1075549125671387, 0.9157981276512146]"
datasources\EMO_DB\EMO_DB_DATA\wav\03b10Wb.wav,anger,It will be in the place where we always put it,male,"[-335.5438232421875, 152.108642578125, -29.80624008178711, -8.060813903808594, 33.21407699584961, 1.5597752332687378, 6.706178188323975, 18.134098052978516, -9.215034484863281, -7.39668083190918, 10.186897277832031, -1.7243026494979858, -3.3108673095703125, 5.771681785583496, -7.213613033294678, -13.639554977416992, -3.890082836151123, -3.84336519241333, -4.709418773651123, -2.845740795135498]"
datasources\EMO_DB\EMO_DB_DATA\wav\03b10Wc.wav,anger,It will be in the place where we always put it,male,"[-314.6814880371094, 153.0623321533203, -37.28388595581055, -8.732248306274414, 32.78432083129883, -5.027234077453613, 2.7798008918762207, 17.879098892211914, -10.743160247802734, -9.45557689666748, 7.058375835418701, -4.921658515930176, -2.8758976459503174, 6.693648338317871, -8.303601264953613, -13.540239334106445, -4.065059185028076, -5.430068492889404, -3.6435441970825195, -1.0660194158554077]"
datasources\EMO_DB\EMO_DB_DATA\wav\10a01Ac.wav,anxiety/fear,The tablecloth is lying on the fridge,male,"[-333.0978088378906, 159.20069885253906, -43.16463088989258, -4.650298118591309, 37.64908218383789, -8.538369178771973, 1.471137285232544, 21.418094635009766, -0.6260753870010376, 11.866873741149902, 27.620725631713867, 4.186558246612549, -0.481334388256073, 4.332650184631348, -10.711585998535156, -5.616535663604736, 7.008969783782959, -3.6384241580963135, -3.696117877960205, 5.578507423400879]"
datasources\EMO_DB\EMO_DB_DATA\wav\10a01Nb.wav,neutral,The tablecloth is lying on the fridge,male,"[-328.6589660644531, 181.21624755859375, -15.43753719329834, 4.502469539642334, 44.52323532104492, 4.24440336227417, 0.42001307010650635, 12.09439468383789, -1.4296375513076782, 12.009615898132324, 23.597026824951172, 4.084578037261963, 4.434121608734131, 9.89660358428955, -8.492664337158203, -6.995615005493164, 8.161554336547852, -1.2777372598648071, -6.920228004455566, 2.326754331588745]"
datasources\EMO_DB\EMO_DB_DATA\wav\10a01Wa.wav,anger,The tablecloth is lying on the fridge,male,"[-332.47088623046875, 203.00172424316406, -54.37971115112305, -16.063875198364258, 32.66030502319336, -21.058013916015625, -7.960895538330078, 15.262654304504395, -9.330475807189941, 2.9566283226013184, 13.492079734802246, -8.75374984741211, 3.708634853363037, 15.107824325561523, -7.225329875946045, -2.6675312519073486, 7.757739067077637, -9.400465965270996, -5.174262046813965, 7.955329418182373]"
datasources\EMO_DB\EMO_DB_DATA\wav\10a02Ab.wav,anxiety/fear,She wants to hand that in on Wednesday,male,"[-294.46295166015625, 150.64283752441406, -46.792171478271484, 2.785998582839966, 43.43122482299805, -6.609136581420898, 7.423040866851807, 24.817020416259766, -3.4712600708007812, 8.376995086669922, 19.821847915649414, -6.597439765930176, -0.9199300408363342, 13.63455581665039, -4.262398719787598, -5.997355937957764, 2.6731908321380615, -7.776672840118408, -5.82908821105957, 2.120039463043213]"
datasources\EMO_DB\EMO_DB_DATA\wav\10a02Fa.wav,happiness,She wants to hand that in on Wednesday,male,"[-314.5447998046875, 143.7228240966797, -22.184728622436523, -1.5077418088912964, 26.691951751708984, -4.554434776306152, 7.589908599853516, 16.511137008666992, -5.955148220062256, 8.240198135375977, 19.590909957885742, -6.006856441497803, -6.487811088562012, 5.012775421142578, -8.162095069885254, -6.328860759735107, 4.773305892944336, -6.962316513061523, -9.051587104797363, 2.436354160308838]"
datasources\EMO_DB\EMO_DB_DATA\wav\10a02Lb.wav,boredom,She wants to hand that in on Wednesday,male,"[-301.1868896484375, 175.258056640625, 5.3275251388549805, 5.431013107299805, 37.47684860229492, 16.00384521484375, 14.576987266540527, 17.462854385375977, 3.259331464767456, 12.00292682647705, 14.927257537841797, -6.018488883972168, -0.9413301348686218, 12.454604148864746, -3.1651127338409424, -9.837848663330078, -0.23508845269680023, -5.515707015991211, -6.933907985687256, 3.5844357013702393]"
datasources\EMO_DB\EMO_DB_DATA\wav\10a02Na.wav,neutral,She wants to hand that in on Wednesday,male,"[-330.6988220214844, 154.14060974121094, -5.61559534072876, 4.694563388824463, 37.189857482910156, 8.021867752075195, 3.020637273788452, 12.34185791015625, 5.614231109619141, 14.134502410888672, 16.43733024597168, -0.014695534482598305, 3.6653571128845215, 9.253740310668945, -5.633848667144775, -5.982346534729004, 3.1504945755004883, -4.731996059417725, -7.320938587188721, -0.30170539021492004]"
datasources\EMO_DB\EMO_DB_DATA\wav\10a02Wa.wav,anger,She wants to hand that in on Wednesday,male,"[-314.6299133300781, 163.2018280029297, -34.19825744628906, -9.396794319152832, 28.8653507232666, -5.561849594116211, 2.9806950092315674, 11.018818855285645, -10.47014331817627, 3.7908880710601807, 12.838682174682617, -4.648401737213135, 8.587579727172852, 17.30571937561035, -6.238020896911621, -5.329035758972168, 5.752688407897949, -6.800309181213379, -5.749318599700928, 4.353446960449219]"
