,emotion,statements,situation,gender
datasources\LDC\wav\1CA1s3270.wav,cold anger,june twenty-ninth,conversation,male
datasources\LDC\wav\1CA1s3271.wav,cold anger,june twenty-ninth,conversation,male
datasources\LDC\wav\1CA1s3470.wav,cold anger,seventy-five,conversation,male
datasources\LDC\wav\1CA1s3471.wav,cold anger,seventy-five,conversation,male
datasources\LDC\wav\1CT1s0310.wav,contempt,april nineteenth,conversation,male
datasources\LDC\wav\1CT1s0311.wav,contempt,april nineteenth,conversation,male
datasources\LDC\wav\1CT1s0320.wav,contempt,eight thousand three,conversation,male
datasources\LDC\wav\1CT1s0321.wav,contempt,eight thousand three,conversation,male
datasources\LDC\wav\1CT1s0340.wav,contempt,july second,conversation,male
datasources\LDC\wav\1CT1s0341.wav,contempt,july second,conversation,male
datasources\LDC\wav\1CT1s0342.wav,contempt,july second,conversation,male
datasources\LDC\wav\1CT1s0350.wav,contempt,may eleventh,conversation,male
datasources\LDC\wav\1CT1s0351.wav,contempt,may eleventh,conversation,male
datasources\LDC\wav\1CT1s0360.wav,contempt,nine hundred one,conversation,male
datasources\LDC\wav\1CT1s0361.wav,contempt,nine hundred one,conversation,male
datasources\LDC\wav\1CT1s0370.wav,contempt,october third,conversation,male
datasources\LDC\wav\1CT1s0371.wav,contempt,october third,conversation,male
datasources\LDC\wav\1CT1s0380.wav,contempt,one thousand eight,conversation,male
datasources\LDC\wav\1CT1s0381.wav,contempt,one thousand eight,conversation,male
datasources\LDC\wav\1CT1s0390.wav,contempt,six hundred three,conversation,male
datasources\LDC\wav\1CT1s0391.wav,contempt,six hundred three,conversation,male
datasources\LDC\wav\1CT1s0410.wav,contempt,two hundred ten,conversation,male
datasources\LDC\wav\1CT1s3210.wav,contempt,forty-seven,conversation,male
datasources\LDC\wav\1CT1s3211.wav,contempt,forty-seven,conversation,male
datasources\LDC\wav\1CT1s3212.wav,contempt,forty-seven,conversation,male
datasources\LDC\wav\1CT1s3550.wav,contempt,thirty-seven,conversation,male
datasources\LDC\wav\1CT1s3551.wav,contempt,thirty-seven,conversation,male
datasources\LDC\wav\1DG1s0420.wav,disgust,april second,conversation,male
datasources\LDC\wav\1DG1s0421.wav,disgust,april second,conversation,male
datasources\LDC\wav\1DG1s0422.wav,disgust,april second,conversation,male
datasources\LDC\wav\1DG1s0423.wav,disgust,april second,conversation,male
datasources\LDC\wav\1DG1s0424.wav,disgust,april second,conversation,male
datasources\LDC\wav\1DG1s0425.wav,disgust,april second,conversation,male
datasources\LDC\wav\1DG1s0430.wav,disgust,eight thousand twelve,conversation,male
datasources\LDC\wav\1DG1s0431.wav,disgust,eight thousand twelve,conversation,male
datasources\LDC\wav\1DG1s0432.wav,disgust,eight thousand twelve,conversation,male
datasources\LDC\wav\1DG1s0433.wav,disgust,eight thousand twelve,conversation,male
datasources\LDC\wav\1DG1s0440.wav,disgust,four hundred eight,conversation,male
datasources\LDC\wav\1DG1s0441.wav,disgust,four hundred eight,conversation,male
datasources\LDC\wav\1DG1s0442.wav,disgust,four hundred eight,conversation,male
datasources\LDC\wav\1DG1s0460.wav,disgust,may seventeenth,conversation,male
datasources\LDC\wav\1DG1s0461.wav,disgust,may seventeenth,conversation,male
datasources\LDC\wav\1DG1s0462.wav,disgust,may seventeenth,conversation,male
datasources\LDC\wav\1DG1s0470.wav,disgust,nine hundred six,conversation,male
datasources\LDC\wav\1DG1s0471.wav,disgust,nine hundred six,conversation,male
datasources\LDC\wav\1DG1s0472.wav,disgust,nine hundred six,conversation,male
datasources\LDC\wav\1DG1s0480.wav,disgust,october twelfth,conversation,male
datasources\LDC\wav\1DG1s0481.wav,disgust,october twelfth,conversation,male
datasources\LDC\wav\1DG1s0482.wav,disgust,october twelfth,conversation,male
datasources\LDC\wav\1DG1s0490.wav,disgust,one thousand five,conversation,male
datasources\LDC\wav\1DG1s0491.wav,disgust,one thousand five,conversation,male
datasources\LDC\wav\1DG1s0500.wav,disgust,six hundred twelve,conversation,male
datasources\LDC\wav\1DG1s0510.wav,disgust,three hundred eight,conversation,male
datasources\LDC\wav\1DG1s0511.wav,disgust,three hundred eight,conversation,male
datasources\LDC\wav\1DG1s0520.wav,disgust,two hundred three,conversation,male
datasources\LDC\wav\1DM1s0070.wav,dominant,seven hundred,conversation,male
datasources\LDC\wav\1DM1s0130.wav,dominant,july fourteenth,conversation,male
datasources\LDC\wav\1DM1s0150.wav,dominant,nine hundred four,conversation,male
datasources\LDC\wav\1DM1s0350.wav,dominant,may eleventh,conversation,male
datasources\LDC\wav\1DM1s0380.wav,dominant,one thousand eight,conversation,male
datasources\LDC\wav\1DM1s0530.wav,dominant,august fifteenth,conversation,male
datasources\LDC\wav\1DM1s0531.wav,dominant,august fifteenth,conversation,male
datasources\LDC\wav\1DM1s0540.wav,dominant,december fourth,conversation,male
datasources\LDC\wav\1DM1s0550.wav,dominant,eight hundred five,conversation,male
datasources\LDC\wav\1DM1s0551.wav,dominant,eight hundred five,conversation,male
datasources\LDC\wav\1DM1s0552.wav,dominant,eight hundred five,conversation,male
datasources\LDC\wav\1DM1s0560.wav,dominant,eight hundred,conversation,male
datasources\LDC\wav\1DM1s0570.wav,dominant,eight thousand five,conversation,male
datasources\LDC\wav\1DM1s0580.wav,dominant,five hundred ten,conversation,male
datasources\LDC\wav\1DM1s0590.wav,dominant,five thousand ten,conversation,male
datasources\LDC\wav\1DM1s0600.wav,dominant,four hundred six,conversation,male
datasources\LDC\wav\1DM1s0610.wav,dominant,four thousand six,conversation,male
datasources\LDC\wav\1DM1s0620.wav,dominant,june twentieth,conversation,male
datasources\LDC\wav\1DM1s0630.wav,dominant,march thirtieth,conversation,male
datasources\LDC\wav\1DM1s0650.wav,dominant,nine thousand four,conversation,male
datasources\LDC\wav\1DM1s0660.wav,dominant,november twelfth,conversation,male
datasources\LDC\wav\1DM1s0670.wav,dominant,one hundred eight,conversation,male
datasources\LDC\wav\1DM1s0680.wav,dominant,september eighth,conversation,male
datasources\LDC\wav\1DM1s0710.wav,dominant,six hundred two,conversation,male
datasources\LDC\wav\1DM1s0711.wav,dominant,six hundred two,conversation,male
datasources\LDC\wav\1DM1s0720.wav,dominant,six thousand two,conversation,male
datasources\LDC\wav\1DM1s0730.wav,dominant,ten thousand ten,conversation,male
datasources\LDC\wav\1DM1s0740.wav,dominant,three hundred nine,conversation,male
datasources\LDC\wav\1DM1s0750.wav,dominant,three thousand nine,conversation,male
datasources\LDC\wav\1DM1s0751.wav,dominant,three thousand nine,conversation,male
datasources\LDC\wav\1DM1s0752.wav,dominant,three thousand nine,conversation,male
datasources\LDC\wav\1DM1s0760.wav,dominant,two hundred four,conversation,male
datasources\LDC\wav\1DM1s0770.wav,dominant,two thousand five,conversation,male
datasources\LDC\wav\1DM1s0780.wav,dominant,two thousand ten,conversation,male
datasources\LDC\wav\1DM1s3440.wav,dominant,may twenty-sixth,conversation,male
datasources\LDC\wav\1DM1s3530.wav,dominant,seventy-two,conversation,male
datasources\LDC\wav\1DP1s0540.wav,despair,december fourth,conversation,male
datasources\LDC\wav\1DP1s0610.wav,despair,four thousand six,conversation,male
datasources\LDC\wav\1DP1s0611.wav,despair,four thousand six,conversation,male
datasources\LDC\wav\1DP1s0790.wav,despair,eight hundred six,conversation,male
datasources\LDC\wav\1DP1s0800.wav,despair,five hundred twelve,conversation,male
datasources\LDC\wav\1DP1s0810.wav,despair,march eleventh,conversation,male
datasources\LDC\wav\1DP1s0811.wav,despair,march eleventh,conversation,male
datasources\LDC\wav\1DP1s0820.wav,despair,nineteen hundred,conversation,male
datasources\LDC\wav\1DP1s0830.wav,despair,november nine,conversation,male
datasources\LDC\wav\1ET1s0820.wav,elation,nineteen hundred,conversation,male
datasources\LDC\wav\1ET1s0821.wav,elation,nineteen hundred,conversation,male
datasources\LDC\wav\1ET1s0822.wav,elation,nineteen hundred,conversation,male
datasources\LDC\wav\1ET1s0870.wav,elation,december ninth,conversation,male
datasources\LDC\wav\1ET1s0880.wav,elation,eight hundred ten,conversation,male
datasources\LDC\wav\1ET1s0881.wav,elation,eight hundred ten,conversation,male
datasources\LDC\wav\1ET1s0890.wav,elation,five hundred two,conversation,male
datasources\LDC\wav\1ET1s0900.wav,elation,four thousand ten,conversation,male
datasources\LDC\wav\1ET1s0901.wav,elation,four thousand ten,conversation,male
datasources\LDC\wav\1ET1s0910.wav,elation,march seventeenth,conversation,male
datasources\LDC\wav\1ET1s0920.wav,elation,november sixth,conversation,male
datasources\LDC\wav\1ET1s0921.wav,elation,november sixth,conversation,male
datasources\LDC\wav\1ET1s0930.wav,elation,ten thousand five,conversation,male
datasources\LDC\wav\1ET1s0931.wav,elation,ten thousand five,conversation,male
datasources\LDC\wav\1ET1s0940.wav,elation,three thousand ten,conversation,male
datasources\LDC\wav\1ET1s3500.wav,elation,seventy-one,conversation,male
datasources\LDC\wav\1HA1s0950.wav,hot anger,december tenth,conversation,male
datasources\LDC\wav\1HA1s0951.wav,hot anger,december tenth,conversation,male
datasources\LDC\wav\1HA1s0952.wav,hot anger,december tenth,conversation,male
datasources\LDC\wav\1HA1s0960.wav,hot anger,eight hundred twelve,conversation,male
datasources\LDC\wav\1HA1s0970.wav,hot anger,five thousand five,conversation,male
datasources\LDC\wav\1HA1s0980.wav,hot anger,four thousand twelve,conversation,male
datasources\LDC\wav\1HA1s1000.wav,hot anger,november third,conversation,male
datasources\LDC\wav\1HA1s1010.wav,hot anger,one hundred five,conversation,male
datasources\LDC\wav\1HA1s1030.wav,hot anger,ten thousand nine,conversation,male
datasources\LDC\wav\1HA1s1031.wav,hot anger,ten thousand nine,conversation,male
datasources\LDC\wav\1HA1s1040.wav,hot anger,three thousand twelve,conversation,male
datasources\LDC\wav\1HA1s1041.wav,hot anger,three thousand twelve,conversation,male
datasources\LDC\wav\1HA1s3300.wav,hot anger,march thirty-first,conversation,male
datasources\LDC\wav\1HA1s3520.wav,hot anger,seventy-three,conversation,male
datasources\LDC\wav\1HP1s0740.wav,happy,three hundred nine,conversation,male
datasources\LDC\wav\1HP1s0741.wav,happy,three hundred nine,conversation,male
datasources\LDC\wav\1HP1s1050.wav,happy,april thirteenth,conversation,male
datasources\LDC\wav\1HP1s1051.wav,happy,april thirteenth,conversation,male
datasources\LDC\wav\1HP1s1070.wav,happy,four hundred nine,conversation,male
datasources\LDC\wav\1HP1s1071.wav,happy,four hundred nine,conversation,male
datasources\LDC\wav\1HP1s1080.wav,happy,june eleventh,conversation,male
datasources\LDC\wav\1HP1s1081.wav,happy,june eleventh,conversation,male
datasources\LDC\wav\1HP1s1082.wav,happy,june eleventh,conversation,male
datasources\LDC\wav\1HP1s1090.wav,happy,may twentieth,conversation,male
datasources\LDC\wav\1HP1s1091.wav,happy,may twentieth,conversation,male
datasources\LDC\wav\1HP1s1100.wav,happy,nine hundred twelve,conversation,male
datasources\LDC\wav\1HP1s1101.wav,happy,nine hundred twelve,conversation,male
datasources\LDC\wav\1HP1s1110.wav,happy,one thousand one,conversation,male
datasources\LDC\wav\1HP1s1111.wav,happy,one thousand one,conversation,male
datasources\LDC\wav\1HP1s1120.wav,happy,september first,conversation,male
datasources\LDC\wav\1HP1s1121.wav,happy,september first,conversation,male
datasources\LDC\wav\1HP1s1122.wav,happy,september first,conversation,male
datasources\LDC\wav\1HP1s1123.wav,happy,september first,conversation,male
datasources\LDC\wav\1HP1s1130.wav,happy,six thousand five,conversation,male
datasources\LDC\wav\1HP1s1140.wav,happy,two thousand eight,conversation,male
datasources\LDC\wav\1HP1s1141.wav,happy,two thousand eight,conversation,male
datasources\LDC\wav\1HP1s1142.wav,happy,two thousand eight,conversation,male
datasources\LDC\wav\1IT1s0530.wav,interest,august fifteenth,conversation,male
datasources\LDC\wav\1IT1s0531.wav,interest,august fifteenth,conversation,male
datasources\LDC\wav\1IT1s0600.wav,interest,four hundred six,conversation,male
datasources\LDC\wav\1IT1s0770.wav,interest,two thousand five,conversation,male
datasources\LDC\wav\1IT1s0771.wav,interest,two thousand five,conversation,male
datasources\LDC\wav\1IT1s1150.wav,interest,fifteen hundred,conversation,male
datasources\LDC\wav\1IT1s1160.wav,interest,june thirteenth,conversation,male
datasources\LDC\wav\1IT1s1180.wav,interest,nine thousand eight,conversation,male
datasources\LDC\wav\1IT1s1190.wav,interest,one thousand ten,conversation,male
datasources\LDC\wav\1IT1s1191.wav,interest,one thousand ten,conversation,male
datasources\LDC\wav\1IT1s1200.wav,interest,september ninth,conversation,male
datasources\LDC\wav\1IT1s1201.wav,interest,september ninth,conversation,male
datasources\LDC\wav\1IT1s1210.wav,interest,six thousand nine,conversation,male
datasources\LDC\wav\1IT1s1211.wav,interest,six thousand nine,conversation,male
datasources\LDC\wav\1IT1s1220.wav,interest,three hundred six,conversation,male
datasources\LDC\wav\1IT1s3400.wav,interest,may twenty-fifth,conversation,male
datasources\LDC\wav\1IT1s3401.wav,interest,may twenty-fifth,conversation,male
datasources\LDC\wav\1NT1s0170.wav,neutral,one hundred twelve,conversation,male
datasources\LDC\wav\1NT1s0171.wav,neutral,one hundred twelve,conversation,male
datasources\LDC\wav\1NT1s0370.wav,neutral,october third,conversation,male
datasources\LDC\wav\1NT1s0390.wav,neutral,six hundred three,conversation,male
datasources\LDC\wav\1NT1s0780.wav,neutral,two thousand ten,conversation,male
datasources\LDC\wav\1NT1s0781.wav,neutral,two thousand ten,conversation,male
datasources\LDC\wav\1NT1s0810.wav,neutral,march eleventh,conversation,male
datasources\LDC\wav\1NT1s0820.wav,neutral,nineteen hundred,conversation,male
datasources\LDC\wav\1NT1s1050.wav,neutral,april thirteenth,conversation,male
datasources\LDC\wav\1NT1s1070.wav,neutral,four hundred nine,conversation,male
datasources\LDC\wav\1NT1s1140.wav,neutral,two thousand eight,conversation,male
datasources\LDC\wav\1NT1s1141.wav,neutral,two thousand eight,conversation,male
datasources\LDC\wav\1NT1s1180.wav,neutral,nine thousand eight,conversation,male
datasources\LDC\wav\1NT1s1280.wav,neutral,december fifth,conversation,male
datasources\LDC\wav\1NT1s1281.wav,neutral,december fifth,conversation,male
datasources\LDC\wav\1NT1s1320.wav,neutral,eight hundred two,conversation,male
datasources\LDC\wav\1NT1s1330.wav,neutral,eight thousand two,conversation,male
datasources\LDC\wav\1NT1s1360.wav,neutral,five hundred one,conversation,male
datasources\LDC\wav\1NT1s1370.wav,neutral,five thousand one,conversation,male
datasources\LDC\wav\1NT1s1410.wav,neutral,four thousand nine,conversation,male
datasources\LDC\wav\1NT1s1411.wav,neutral,four thousand nine,conversation,male
datasources\LDC\wav\1NT1s1440.wav,neutral,july eighteenth,conversation,male
datasources\LDC\wav\1NT1s1450.wav,neutral,june thirtieth,conversation,male
datasources\LDC\wav\1NT1s1520.wav,neutral,nine hundred eight,conversation,male
datasources\LDC\wav\1NT1s1550.wav,neutral,no emotion,conversation,male
datasources\LDC\wav\1NT1s1580.wav,neutral,november tenth,conversation,male
datasources\LDC\wav\1NT1s1640.wav,neutral,one thousand twelve,conversation,male
datasources\LDC\wav\1NT1s1670.wav,neutral,september twelfth,conversation,male
datasources\LDC\wav\1NT1s1720.wav,neutral,six thousand three,conversation,male
datasources\LDC\wav\1NT1s1740.wav,neutral,ten thousand one,conversation,male
datasources\LDC\wav\1NT1s1760.wav,neutral,three hundred five,conversation,male
datasources\LDC\wav\1NT1s1780.wav,neutral,three thousand five,conversation,male
datasources\LDC\wav\1NT1s1800.wav,neutral,two hundred eight,conversation,male
datasources\LDC\wav\1NT1s1830.wav,neutral,two thousand nine,conversation,male
datasources\LDC\wav\1NT1s1831.wav,neutral,two thousand nine,conversation,male
datasources\LDC\wav\1NT1s1832.wav,neutral,two thousand nine,conversation,male
datasources\LDC\wav\1NT1s1840.wav,neutral,two thousand one,conversation,male
datasources\LDC\wav\1NT1s1841.wav,neutral,two thousand one,conversation,male
datasources\LDC\wav\1NT1s1842.wav,neutral,two thousand one,conversation,male
datasources\LDC\wav\1NT1s1843.wav,neutral,two thousand one,conversation,male
datasources\LDC\wav\1NT1s1844.wav,neutral,two thousand one,conversation,male
datasources\LDC\wav\1NT1s1845.wav,neutral,two thousand one,conversation,male
datasources\LDC\wav\1NT1s1850.wav,neutral,two thousand six,conversation,male
datasources\LDC\wav\1NT1s1860.wav,neutral,two thousand three,conversation,male
datasources\LDC\wav\1NT1s1870.wav,neutral,two thousand twelve,conversation,male
datasources\LDC\wav\1NT1s1871.wav,neutral,two thousand twelve,conversation,male
datasources\LDC\wav\1NT1s1880.wav,neutral,two thousand two,conversation,male
datasources\LDC\wav\1NT1s1881.wav,neutral,two thousand two,conversation,male
datasources\LDC\wav\1NT1s1882.wav,neutral,two thousand two,conversation,male
datasources\LDC\wav\1NT1s3360.wav,neutral,march twenty-sixth,conversation,male
datasources\LDC\wav\1NT1s3420.wav,neutral,may twenty-fourth,conversation,male
datasources\LDC\wav\1NT1s3510.wav,neutral,seventy-six,conversation,male
datasources\LDC\wav\1NT2s0100.wav,neutral,april fifteenth,distant,male
datasources\LDC\wav\1NT2s0120.wav,neutral,five thousand twelve,distant,male
datasources\LDC\wav\1NT2s0200.wav,neutral,two hundred one,distant,male
datasources\LDC\wav\1NT2s0201.wav,neutral,two hundred one,distant,male
datasources\LDC\wav\1NT2s0290.wav,neutral,sixteen hundred,distant,male
datasources\LDC\wav\1NT2s0291.wav,neutral,sixteen hundred,distant,male
datasources\LDC\wav\1NT2s0340.wav,neutral,july second,distant,male
datasources\LDC\wav\1NT2s0360.wav,neutral,nine hundred one,distant,male
datasources\LDC\wav\1NT2s0800.wav,neutral,five hundred twelve,distant,male
datasources\LDC\wav\1NT2s0801.wav,neutral,five hundred twelve,distant,male
datasources\LDC\wav\1NT2s0860.wav,neutral,three thousand six,distant,male
datasources\LDC\wav\1NT2s0861.wav,neutral,three thousand six,distant,male
datasources\LDC\wav\1NT2s0862.wav,neutral,three thousand six,distant,male
datasources\LDC\wav\1NT2s1120.wav,neutral,september first,distant,male
datasources\LDC\wav\1NT2s1130.wav,neutral,six thousand five,distant,male
datasources\LDC\wav\1NT2s1150.wav,neutral,fifteen hundred,distant,male
datasources\LDC\wav\1NT2s1220.wav,neutral,three hundred six,distant,male
datasources\LDC\wav\1NT2s1260.wav,neutral,august nineteenth,distant,male
datasources\LDC\wav\1NT2s1261.wav,neutral,august nineteenth,distant,male
datasources\LDC\wav\1NT2s1290.wav,neutral,december sixth,distant,male
datasources\LDC\wav\1NT2s1300.wav,neutral,eight hundred nine,distant,male
datasources\LDC\wav\1NT2s1390.wav,neutral,four hundred three,distant,male
datasources\LDC\wav\1NT2s1420.wav,neutral,four thousand three,distant,male
datasources\LDC\wav\1NT2s1480.wav,neutral,march twentieth,distant,male
datasources\LDC\wav\1NT2s1481.wav,neutral,march twentieth,distant,male
datasources\LDC\wav\1NT2s1500.wav,neutral,may thirtieth,distant,male
datasources\LDC\wav\1NT2s1530.wav,neutral,nine thousand one,distant,male
datasources\LDC\wav\1NT2s1560.wav,neutral,november eighth,distant,male
datasources\LDC\wav\1NT2s1590.wav,neutral,october fifth,distant,male
datasources\LDC\wav\1NT2s1591.wav,neutral,october fifth,distant,male
datasources\LDC\wav\1NT2s1600.wav,neutral,one hundred four,distant,male
datasources\LDC\wav\1NT2s1601.wav,neutral,one hundred four,distant,male
datasources\LDC\wav\1NT2s1630.wav,neutral,one thousand four,distant,male
datasources\LDC\wav\1NT2s1700.wav,neutral,six hundred five,distant,male
datasources\LDC\wav\1NT2s1701.wav,neutral,six hundred five,distant,male
datasources\LDC\wav\1NT2s1750.wav,neutral,ten thousand twelve,distant,male
datasources\LDC\wav\1NT2s1820.wav,neutral,two thousand four,distant,male
datasources\LDC\wav\1NT2s1860.wav,neutral,two thousand three,distant,male
datasources\LDC\wav\1NT2s3240.wav,neutral,june twenty-fifth,distant,male
datasources\LDC\wav\1NT2s3460.wav,neutral,seventy-eight,distant,male
datasources\LDC\wav\1NT3s0160.wav,neutral,october sixth,tete a tete,male
datasources\LDC\wav\1NT3s0180.wav,neutral,six hundred six,tete a tete,male
datasources\LDC\wav\1NT3s0181.wav,neutral,six hundred six,tete a tete,male
datasources\LDC\wav\1NT3s0320.wav,neutral,eight thousand three,tete a tete,male
datasources\LDC\wav\1NT3s1080.wav,neutral,june eleventh,tete a tete,male
datasources\LDC\wav\1NT3s1100.wav,neutral,nine hundred twelve,tete a tete,male
datasources\LDC\wav\1NT3s1190.wav,neutral,one thousand ten,tete a tete,male
datasources\LDC\wav\1NT3s1240.wav,neutral,april seventh,tete a tete,male
datasources\LDC\wav\1NT3s1241.wav,neutral,april seventh,tete a tete,male
datasources\LDC\wav\1NT3s1270.wav,neutral,august thirteenth,tete a tete,male
datasources\LDC\wav\1NT3s1310.wav,neutral,eight hundred three,tete a tete,male
datasources\LDC\wav\1NT3s1340.wav,neutral,february,tete a tete,male
datasources\LDC\wav\1NT3s1350.wav,neutral,five hundred four,tete a tete,male
datasources\LDC\wav\1NT3s1380.wav,neutral,four hundred five,tete a tete,male
datasources\LDC\wav\1NT3s1400.wav,neutral,four thousand five,tete a tete,male
datasources\LDC\wav\1NT3s1430.wav,neutral,fourteen hundred,tete a tete,male
datasources\LDC\wav\1NT3s1540.wav,neutral,nine thousand twelve,tete a tete,male
datasources\LDC\wav\1NT3s1570.wav,neutral,november ninth,tete a tete,male
datasources\LDC\wav\1NT3s1610.wav,neutral,one hundred ten,tete a tete,male
datasources\LDC\wav\1NT3s1611.wav,neutral,one hundred ten,tete a tete,male
datasources\LDC\wav\1NT3s1660.wav,neutral,september tenth,tete a tete,male
datasources\LDC\wav\1NT3s1661.wav,neutral,september tenth,tete a tete,male
datasources\LDC\wav\1NT3s1710.wav,neutral,six thousand six,tete a tete,male
datasources\LDC\wav\1NT3s1730.wav,neutral,ten thousand four,tete a tete,male
datasources\LDC\wav\1NT3s1770.wav,neutral,three hundred two,tete a tete,male
datasources\LDC\wav\1NT3s1790.wav,neutral,three thousand two,tete a tete,male
datasources\LDC\wav\1NT3s1810.wav,neutral,two hundred twelve,tete a tete,male
datasources\LDC\wav\1NT3s1840.wav,neutral,two thousand one,tete a tete,male
datasources\LDC\wav\1NT3s3280.wav,neutral,june twenty-sixth,tete a tete,male
datasources\LDC\wav\1NT3s3340.wav,neutral,march twenty-fourth,tete a tete,male
datasources\LDC\wav\1NT3s3400.wav,neutral,may twenty-fifth,tete a tete,male
datasources\LDC\wav\1NT3s3500.wav,neutral,seventy-one,tete a tete,male
datasources\LDC\wav\1NT3s3550.wav,neutral,thirty-seven,tete a tete,male
datasources\LDC\wav\1PN1s0770.wav,panic,two thousand five,conversation,male
datasources\LDC\wav\1PN1s1450.wav,panic,june thirtieth,conversation,male
datasources\LDC\wav\1PN1s1451.wav,panic,june thirtieth,conversation,male
datasources\LDC\wav\1PN1s1890.wav,panic,august fourteenth,conversation,male
datasources\LDC\wav\1PN1s1910.wav,panic,four hundred ten,conversation,male
datasources\LDC\wav\1PN1s1911.wav,panic,four hundred ten,conversation,male
datasources\LDC\wav\1PN1s1930.wav,panic,nine thousand five,conversation,male
datasources\LDC\wav\1PN1s1931.wav,panic,nine thousand five,conversation,male
datasources\LDC\wav\1PN1s1940.wav,panic,one thousand three,conversation,male
datasources\LDC\wav\1PN1s1941.wav,panic,one thousand three,conversation,male
datasources\LDC\wav\1PN1s1950.wav,panic,september sixth,conversation,male
datasources\LDC\wav\1PN1s1951.wav,panic,september sixth,conversation,male
datasources\LDC\wav\1PN1s1960.wav,panic,six thousand one,conversation,male
datasources\LDC\wav\1PN1s1970.wav,panic,three hundred ten,conversation,male
datasources\LDC\wav\1PN1s3200.wav,panic,fifty-seven,conversation,male
datasources\LDC\wav\1PN1s3201.wav,panic,fifty-seven,conversation,male
datasources\LDC\wav\1PN1s3410.wav,panic,may twenty-first,conversation,male
datasources\LDC\wav\1PN1s3411.wav,panic,may twenty-first,conversation,male
datasources\LDC\wav\1PR1s0570.wav,pride,eight thousand five,conversation,male
datasources\LDC\wav\1PR1s0730.wav,pride,ten thousand ten,conversation,male
datasources\LDC\wav\1PR1s0731.wav,pride,ten thousand ten,conversation,male
datasources\LDC\wav\1PR1s0732.wav,pride,ten thousand ten,conversation,male
datasources\LDC\wav\1PR1s0733.wav,pride,ten thousand ten,conversation,male
datasources\LDC\wav\1PR1s0734.wav,pride,ten thousand ten,conversation,male
datasources\LDC\wav\1PR1s1340.wav,pride,february,conversation,male
datasources\LDC\wav\1PR1s1341.wav,pride,february,conversation,male
datasources\LDC\wav\1PR1s1342.wav,pride,february,conversation,male
datasources\LDC\wav\1PR1s1370.wav,pride,five thousand one,conversation,male
datasources\LDC\wav\1PR1s1371.wav,pride,five thousand one,conversation,male
datasources\LDC\wav\1PR1s1430.wav,pride,fourteen hundred,conversation,male
datasources\LDC\wav\1PR1s1590.wav,pride,october fifth,conversation,male
datasources\LDC\wav\1PR1s1700.wav,pride,six hundred five,conversation,male
