,emotion,statements,situation,gender,mfcc
datasources\LDC\wav\1CA1s0210.wav,cold anger,december eighth,conversation,male,"[-348.2909240722656, 133.42176818847656, -38.50935363769531, 24.79458999633789, 6.9830732345581055, -6.848244667053223, 30.199209213256836, -0.7895110249519348, -0.8796617984771729, 17.506454467773438, 4.508092880249023, 10.441852569580078, 4.832643508911133, -2.9892594814300537, 0.6332999467849731, -9.573793411254883, -2.5901784896850586, 4.751699447631836, -5.7605085372924805, -6.066310405731201]"
datasources\LDC\wav\1CA1s0211.wav,cold anger,december eighth,conversation,male,"[-332.58868408203125, 123.0167236328125, -46.68077850341797, 29.37333106994629, 8.755919456481934, -14.224719047546387, 26.12604522705078, 0.4892348647117615, 1.8902623653411865, 20.858461380004883, 6.446555137634277, 11.343550682067871, 3.3996121883392334, -8.454997062683105, -2.9322752952575684, -8.227396011352539, -1.9570286273956299, 2.562337875366211, -6.641903877258301, -4.8560791015625]"
datasources\LDC\wav\1CA1s0212.wav,cold anger,december eighth,conversation,male,"[-371.3372497558594, 142.3704376220703, -64.68065643310547, 27.132566452026367, 5.617827415466309, -19.059383392333984, 29.98675537109375, -2.9166581630706787, -5.915530204772949, 11.070279121398926, -9.990230560302734, -1.20249342918396, 3.7748775482177734, 6.664998531341553, 13.17800235748291, -7.5369954109191895, -8.444902420043945, -1.7165838479995728, -6.748204708099365, 1.4792815446853638]"
datasources\LDC\wav\1CA1s0220.wav,cold anger,eight hundred four,conversation,male,"[-365.7198791503906, 153.90834045410156, -31.116260528564453, 39.24946975708008, 11.970724105834961, -19.08041763305664, 22.393301010131836, 0.6804527044296265, -7.7395429611206055, 0.4357052147388458, -4.349501609802246, 11.191537857055664, 2.912489175796509, -2.6642353534698486, 5.7446818351745605, -8.59244441986084, -3.9990105628967285, 4.726682662963867, -3.480903148651123, -1.6195253133773804]"
datasources\LDC\wav\1CA1s0230.wav,cold anger,five hundred six,conversation,male,"[-305.71746826171875, 101.6727523803711, -53.922340393066406, 33.74430847167969, 14.219205856323242, -20.431060791015625, 18.17655372619629, 1.5069825649261475, -2.125028610229492, 5.587342739105225, -8.479243278503418, 3.6888318061828613, 4.3560051918029785, 1.2289538383483887, 9.679971694946289, -3.96771240234375, -6.255099773406982, 3.912374496459961, 2.4734251499176025, 0.7285101413726807]"
datasources\LDC\wav\1CA1s0240.wav,cold anger,four thousand four,conversation,male,"[-355.63311767578125, 128.23736572265625, -16.771076202392578, 46.272499084472656, 11.737512588500977, -21.388303756713867, 15.59439468383789, -7.96958065032959, -17.05632209777832, -1.311354637145996, -2.619171619415283, 8.74912166595459, 5.211172103881836, 4.117659568786621, 9.70291519165039, -10.023178100585938, -11.256529808044434, 0.6483655571937561, -0.23405219614505768, 1.8439257144927979]"
datasources\LDC\wav\1CA1s0260.wav,cold anger,nine thousand three,conversation,male,"[-332.86029052734375, 135.9017791748047, -32.05314636230469, 24.860157012939453, 7.532935619354248, -13.331779479980469, 24.04676055908203, 0.5142515897750854, -9.692378997802734, 4.488703727722168, 1.8653208017349243, 12.75143814086914, 10.232468605041504, 2.600757122039795, 1.3068897724151611, -12.345061302185059, -8.087355613708496, 2.128767490386963, -1.379986047744751, -3.4485013484954834]"
datasources\LDC\wav\1CA1s0270.wav,cold anger,november fifth,conversation,male,"[-374.81793212890625, 130.45919799804688, -36.88096618652344, 32.817901611328125, 9.683928489685059, -15.634787559509277, 21.020864486694336, -1.2534348964691162, -1.9052164554595947, 7.2794904708862305, -4.843265533447266, 8.225443840026855, 4.886017322540283, 1.4173763990402222, 6.775393486022949, -10.934779167175293, -8.631428718566895, 2.7229244709014893, 1.0482409000396729, 0.6922653317451477]"
datasources\LDC\wav\1CA1s0290.wav,cold anger,sixteen hundred,conversation,male,"[-371.5753479003906, 155.52967834472656, -71.3004150390625, 40.403785705566406, 14.264396667480469, -11.070145606994629, 34.335906982421875, -7.464666366577148, 2.0412189960479736, 18.959835052490234, -3.4762630462646484, 12.750308990478516, 2.1020348072052, -7.095124244689941, 6.3246169090271, -1.8902852535247803, 4.806522846221924, -0.650690495967865, -9.796385765075684, 4.653469562530518]"
datasources\LDC\wav\1CA1s0300.wav,cold anger,three thousand four,conversation,male,"[-339.1699523925781, 134.27149963378906, -32.988685607910156, 42.467979431152344, 7.344689846038818, -24.20201873779297, 9.725763320922852, -20.18225860595703, -13.534171104431152, 8.974453926086426, 1.4679837226867676, 8.58788013458252, -8.962230682373047, -15.920737266540527, 0.4031946659088135, -4.107022762298584, 3.8218026161193848, 2.2252893447875977, -10.933183670043945, 2.2258875370025635]"
datasources\LDC\wav\1CA1s0301.wav,cold anger,three thousand four,conversation,male,"[-333.7522888183594, 134.91529846191406, -29.832672119140625, 37.1304931640625, 9.107818603515625, -21.231664657592773, 12.71265983581543, -14.699457168579102, -16.92351722717285, 4.799220561981201, 1.6524518728256226, 8.585926055908203, -4.146031856536865, -13.320484161376953, -2.7165329456329346, -6.539505958557129, 0.06662747263908386, 1.7962591648101807, -8.475482940673828, -0.2749656140804291]"
datasources\LDC\wav\1CA1s3270.wav,cold anger,june twenty-ninth,conversation,male,"[-340.77197265625, 137.89735412597656, -34.288204193115234, 22.665000915527344, 8.110754013061523, -7.723251819610596, 23.147075653076172, -3.850282907485962, -4.378730297088623, 7.265591621398926, -2.5900564193725586, 10.376477241516113, 6.813307285308838, 0.9314849376678467, 6.760934352874756, -6.668763637542725, -9.429615020751953, -5.251711845397949, -2.8160877227783203, 3.3729350566864014]"
datasources\LDC\wav\1CA1s3271.wav,cold anger,june twenty-ninth,conversation,male,"[-365.0733337402344, 157.10305786132812, -38.43851089477539, 28.89751434326172, 8.424677848815918, -10.01975154876709, 26.630605697631836, -3.013206958770752, -1.9257420301437378, 8.134234428405762, -5.607903003692627, 9.052331924438477, 5.953077793121338, 4.818093299865723, 13.754183769226074, -3.8136298656463623, -9.52442741394043, -8.2880859375, -3.213735818862915, 7.667338848114014]"
datasources\LDC\wav\1CA1s3470.wav,cold anger,seventy-five,conversation,male,"[-315.3299255371094, 116.67683410644531, -50.53986740112305, 29.845529556274414, 5.464006423950195, -20.852933883666992, 21.43562889099121, -5.286009311676025, -11.358720779418945, 1.9252924919128418, -8.220035552978516, 3.9917874336242676, 3.846830368041992, 4.905409812927246, 14.149904251098633, -3.3550829887390137, -7.4918670654296875, -1.7588027715682983, -2.107330322265625, 5.058099746704102]"
datasources\LDC\wav\1CA1s3471.wav,cold anger,seventy-five,conversation,male,"[-328.7303466796875, 125.17626953125, -57.4634895324707, 38.40641403198242, 12.579903602600098, -23.688762664794922, 16.89885711669922, -7.489209175109863, -8.949617385864258, 0.4438786208629608, -10.47274112701416, 8.43481159210205, 4.616491317749023, 1.4261432886123657, 10.366538047790527, -8.992396354675293, -8.143059730529785, 0.9064123630523682, -1.8748027086257935, 3.801970958709717]"
datasources\LDC\wav\1CT1s0310.wav,contempt,april nineteenth,conversation,male,"[-341.95233154296875, 146.0770263671875, -62.355648040771484, 44.58313751220703, 15.892613410949707, -9.144060134887695, 34.37996292114258, -7.689662456512451, -4.624918460845947, 5.773464202880859, -14.322710990905762, 5.65208101272583, 2.0907914638519287, 5.030804634094238, 17.60633087158203, -7.107402324676514, -6.35701847076416, -3.328291893005371, -11.698554039001465, 1.0240514278411865]"
datasources\LDC\wav\1CT1s0311.wav,contempt,april nineteenth,conversation,male,"[-669.6905517578125, 115.53081512451172, -27.168270111083984, 38.87837219238281, 24.455894470214844, 1.3576090335845947, 27.09987449645996, 7.697747230529785, 10.13603687286377, 14.600796699523926, 1.1556591987609863, 13.438150405883789, 7.060505390167236, 1.4746206998825073, 10.818343162536621, 0.01732570491731167, 1.9764615297317505, 6.863938808441162, 0.7645860314369202, 6.087034702301025]"
datasources\LDC\wav\1CT1s0320.wav,contempt,eight thousand three,conversation,male,"[-464.5985107421875, 135.40322875976562, -55.73869705200195, 56.112632751464844, 17.05388832092285, -6.35835075378418, 40.47203063964844, -2.70811128616333, 4.273332595825195, 14.484589576721191, -1.5255554914474487, 25.536582946777344, 13.636469841003418, 3.082069158554077, 5.945862293243408, -20.22222900390625, -5.095168590545654, 9.851361274719238, -2.673022747039795, 1.2850922346115112]"
datasources\LDC\wav\1CT1s0321.wav,contempt,eight thousand three,conversation,male,"[-411.04718017578125, 146.19537353515625, -47.87507247924805, 52.03836441040039, 11.096549987792969, -8.892687797546387, 42.1108283996582, -0.7694288492202759, 2.946524143218994, 18.352476119995117, 5.109553337097168, 25.604576110839844, 10.798410415649414, -0.8465524911880493, 1.6015264987945557, -21.358198165893555, -5.128674507141113, 8.264411926269531, -6.858435153961182, -2.0604114532470703]"
datasources\LDC\wav\1CT1s0340.wav,contempt,july second,conversation,male,"[-431.37738037109375, 140.10755920410156, -54.906246185302734, 41.76551055908203, 22.684814453125, -5.2786054611206055, 29.056570053100586, -3.5925397872924805, 4.2909321784973145, 23.11191749572754, 9.264321327209473, 16.564340591430664, 2.8167500495910645, -5.9525227546691895, -2.199759006500244, -9.859705924987793, 8.31383228302002, 8.515813827514648, -10.310674667358398, -2.7167019844055176]"
datasources\LDC\wav\1CT1s0341.wav,contempt,july second,conversation,male,"[-538.2908935546875, 174.82118225097656, -92.0290298461914, 68.01422119140625, 25.8853702545166, -16.4312801361084, 41.00813674926758, -5.566606521606445, 4.228850841522217, 17.659116744995117, 2.0390748977661133, 28.923025131225586, 8.73607063293457, 1.2820935249328613, 6.109010219573975, -19.650449752807617, 3.555914878845215, 12.675724983215332, -3.3313159942626953, 2.4909605979919434]"
datasources\LDC\wav\1CT1s0342.wav,contempt,july second,conversation,male,"[-499.0361328125, 169.225341796875, -77.55583953857422, 65.67455291748047, 20.561492919921875, -23.989660263061523, 32.89862060546875, 3.9767236709594727, 20.928014755249023, 27.036720275878906, -0.9521777629852295, 8.978611946105957, -13.97372817993164, -3.3621156215667725, 20.57575798034668, -8.896251678466797, -3.3578145503997803, 6.604206085205078, 0.5294774174690247, 4.189513683319092]"
datasources\LDC\wav\1CT1s0350.wav,contempt,may eleventh,conversation,male,"[-482.2559814453125, 148.68798828125, -34.79681396484375, 58.457855224609375, 17.088842391967773, -4.795135021209717, 40.43757629394531, 1.497525930404663, 9.676741600036621, 26.105331420898438, 10.459102630615234, 19.505516052246094, -3.7940781116485596, -11.739446640014648, 4.711031436920166, -4.312351703643799, 5.922245025634766, 5.199422836303711, -9.099540710449219, 0.25741177797317505]"
datasources\LDC\wav\1CT1s0351.wav,contempt,may eleventh,conversation,male,"[-464.90997314453125, 145.0240936279297, -34.92656707763672, 50.81351852416992, 17.18601417541504, -0.8025977611541748, 40.7713737487793, 3.9455485343933105, 8.282564163208008, 17.60994529724121, 5.160153865814209, 24.71895408630371, 9.189618110656738, -0.8656290173530579, 3.5141453742980957, -18.17010498046875, -4.9601569175720215, 8.558871269226074, -4.380577564239502, -3.8498549461364746]"
datasources\LDC\wav\1CT1s0360.wav,contempt,nine hundred one,conversation,male,"[-467.8316955566406, 161.03573608398438, -29.19144058227539, 52.65640640258789, 16.995532989501953, -9.641009330749512, 26.650739669799805, -1.9659761190414429, 10.663805961608887, 19.835674285888672, 7.48992395401001, 26.104354858398438, 5.221789836883545, -6.054401874542236, 4.891497611999512, -9.686534881591797, 1.5892921686172485, 7.729197978973389, -4.29098653793335, 0.727734386920929]"
datasources\LDC\wav\1CT1s0361.wav,contempt,nine hundred one,conversation,male,"[-396.2325134277344, 157.35699462890625, -11.345745086669922, 37.368255615234375, 7.9157843589782715, -2.151425361633301, 27.66435432434082, -6.593916416168213, 2.013739824295044, 19.326744079589844, 12.830653190612793, 20.572017669677734, -3.525412082672119, -11.488847732543945, 3.4590530395507812, -5.167373180389404, 2.914285182952881, 4.163172245025635, -6.432235240936279, 1.2620896100997925]"
datasources\LDC\wav\1CT1s0370.wav,contempt,october third,conversation,male,"[-414.4631042480469, 138.97642517089844, -14.618821144104004, 43.8685417175293, 16.57823944091797, -3.873552083969116, 23.708757400512695, -5.892879009246826, -0.7857819199562073, 19.42351531982422, 15.648332595825195, 20.694881439208984, 6.578749179840088, 0.9695443511009216, -1.6215249300003052, -16.86134910583496, -0.13503846526145935, 5.890230178833008, -7.889099597930908, -3.1507174968719482]"
datasources\LDC\wav\1CT1s0371.wav,contempt,october third,conversation,male,"[-489.9971008300781, 151.83938598632812, -28.991565704345703, 55.46983337402344, 10.496726989746094, -11.50780200958252, 30.154870986938477, -8.412776947021484, 2.9704742431640625, 21.269189834594727, 9.665816307067871, 24.527124404907227, 7.513887882232666, -1.0135976076126099, 0.772712767124176, -17.46108055114746, 0.6445227265357971, 5.989770889282227, -7.452436923980713, 2.626563310623169]"
datasources\LDC\wav\1CT1s0380.wav,contempt,one thousand eight,conversation,male,"[-380.1462707519531, 139.13876342773438, -41.931583404541016, 46.40324401855469, 13.987534523010254, -10.550762176513672, 36.04076385498047, 4.982336044311523, 0.059169892221689224, 5.662320613861084, -4.952979564666748, 17.789243698120117, 11.113851547241211, 2.773649215698242, 7.002510070800781, -13.105087280273438, -6.830770969390869, 6.112497806549072, 0.4841146171092987, -2.1562142372131348]"
datasources\LDC\wav\1CT1s0381.wav,contempt,one thousand eight,conversation,male,"[-521.6084594726562, 149.58413696289062, -38.13840866088867, 63.08796310424805, 20.988548278808594, -6.466303825378418, 39.6793212890625, 2.5952963829040527, 5.079577445983887, 12.26584529876709, -0.9960342049598694, 20.16645622253418, 6.9199395179748535, 3.0774896144866943, 9.500393867492676, -13.42225456237793, 1.3739583492279053, 12.497961044311523, -1.283406138420105, 0.9435329437255859]"
datasources\LDC\wav\1CT1s0390.wav,contempt,six hundred three,conversation,male,"[-388.12957763671875, 117.85173034667969, -62.40234375, 57.210262298583984, 19.316675186157227, -13.18604564666748, 33.489810943603516, -3.4220521450042725, 5.795896053314209, 22.89310646057129, 5.312740802764893, 19.76009750366211, 0.03878391906619072, -13.300716400146484, 3.5936598777770996, -0.43725699186325073, 8.825298309326172, 2.2419750690460205, -12.550322532653809, 4.977329730987549]"
datasources\LDC\wav\1CT1s0391.wav,contempt,six hundred three,conversation,male,"[-442.65704345703125, 139.59645080566406, -92.02464294433594, 71.2506332397461, 13.074127197265625, -18.74997329711914, 42.518001556396484, -12.34288501739502, 8.765938758850098, 21.026235580444336, -6.278085231781006, 26.164525985717773, 3.756415843963623, -7.923555850982666, 9.677753448486328, -8.1138334274292, 10.011639595031738, 8.493340492248535, -12.025713920593262, 4.018378257751465]"
datasources\LDC\wav\1CT1s0410.wav,contempt,two hundred ten,conversation,male,"[-474.5831298828125, 141.65579223632812, -38.91163635253906, 47.7837028503418, 15.00797176361084, -7.727588176727295, 31.890338897705078, 1.146926760673523, 11.716988563537598, 22.24676513671875, 4.168288707733154, 16.492244720458984, -1.392303705215454, -8.274712562561035, 10.882342338562012, 3.876574754714966, 5.4736223220825195, -0.6216059923171997, -7.634641170501709, 5.932323932647705]"
datasources\LDC\wav\1CT1s3210.wav,contempt,forty-seven,conversation,male,"[-392.9936218261719, 144.2705078125, -55.41413879394531, 68.7289810180664, 10.209188461303711, -18.967241287231445, 40.041770935058594, -3.897561550140381, 5.88533878326416, 18.06818199157715, -0.6678117513656616, 23.035131454467773, 5.986422061920166, -2.0764477252960205, 3.5603768825531006, -20.105487823486328, -0.3185103237628937, 11.22551155090332, -2.323978900909424, 0.7016429305076599]"
datasources\LDC\wav\1CT1s3211.wav,contempt,forty-seven,conversation,male,"[-376.1434326171875, 143.9522705078125, -58.09034729003906, 56.130680084228516, 11.832640647888184, -12.914152145385742, 32.63102340698242, -14.690834045410156, 1.4040844440460205, 21.813390731811523, 1.2813913822174072, 17.603303909301758, 4.013612270355225, -1.4856209754943848, 1.6054925918579102, -22.253402709960938, -4.222759246826172, 7.597623348236084, -5.093952178955078, -1.0991781949996948]"
datasources\LDC\wav\1CT1s3212.wav,contempt,forty-seven,conversation,male,"[-500.1470947265625, 149.03611755371094, -72.2051010131836, 66.4554214477539, 14.536497116088867, -15.099234580993652, 36.497676849365234, -10.454748153686523, 9.76170539855957, 19.560771942138672, -1.3952749967575073, 28.253353118896484, 6.690478324890137, -4.429947853088379, 2.1617395877838135, -19.003162384033203, 5.9378790855407715, 12.101340293884277, -5.5616350173950195, 4.354266166687012]"
