,modality,emotion,statement,gender,mfcc
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-02-01-01.wav,audio-only,happy,Dogs are sitting by the door,male,"[-683.0451049804688, 73.64652252197266, 8.619441986083984, 14.369308471679688, 3.500192403793335, 16.367948532104492, -0.1929832398891449, 8.658278465270996, -3.018920660018921, 4.5921430587768555, 10.323698997497559, -0.16833505034446716, -4.330959796905518, 1.0699726343154907, -0.7692083716392517, -7.5322113037109375, -4.691208362579346, -1.1903953552246094, 0.3887511193752289, 0.20635762810707092]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-03-01-02-02-01.wav,audio-only,happy,Dogs are sitting by the door,male,"[-668.9509887695312, 70.25802612304688, 4.4449615478515625, 17.437915802001953, 4.361713886260986, 20.131746292114258, 0.21179865300655365, 9.471391677856445, -1.542936086654663, 5.740021228790283, 9.343293190002441, 0.438278466463089, -1.500011920928955, 2.874457597732544, 0.5738521218299866, -6.804340839385986, -4.065629959106445, -0.47676244378089905, 0.04525888338685036, 1.240649938583374]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-01-01-01.wav,audio-only,happy,Kids are talking by the door,male,"[-612.3182983398438, 67.97209167480469, 0.9759928584098816, 15.439478874206543, -2.1120340824127197, 8.453385353088379, 0.4527535140514374, 7.300618648529053, 0.4085198938846588, -2.1295549869537354, 5.180035591125488, 0.6712098717689514, -5.989795684814453, -1.3270268440246582, -1.5340452194213867, -5.227971076965332, -6.316614151000977, -2.473555088043213, -1.287155270576477, -2.947877883911133]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-01-02-01.wav,audio-only,happy,Kids are talking by the door,male,"[-582.715087890625, 75.64176177978516, 4.8259148597717285, 10.52322006225586, -3.167966604232788, 8.630779266357422, 2.6913254261016846, 6.409722328186035, -1.697701334953308, -0.8882517218589783, 9.03196907043457, 2.003129720687866, -6.257541656494141, -3.036440372467041, -1.2378747463226318, -5.256566524505615, -7.6986236572265625, -3.694880485534668, 0.2821698784828186, -0.8471704721450806]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-02-01-01.wav,audio-only,happy,Dogs are sitting by the door,male,"[-532.8916625976562, 71.40521240234375, -1.491916298866272, 14.87985610961914, -2.58498477935791, 12.834966659545898, 0.6119359731674194, 5.809324264526367, -2.7262420654296875, 2.201427459716797, 10.650556564331055, -1.2555716037750244, -6.58835506439209, -1.7659887075424194, 0.44291943311691284, -6.539017677307129, -8.620904922485352, -2.442739963531494, -0.020819339901208878, -1.7956804037094116]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-03-02-02-02-01.wav,audio-only,happy,Dogs are sitting by the door,male,"[-552.8806762695312, 72.29988861083984, -1.0258102416992188, 17.298114776611328, -3.811330795288086, 14.280922889709473, -0.08543635159730911, 5.6147260665893555, -2.2503764629364014, 0.6763907074928284, 8.337092399597168, -0.7725615501403809, -5.02945613861084, -1.8856223821640015, 0.21091502904891968, -4.859096527099609, -8.313102722167969, -4.510622024536133, -1.1998528242111206, -1.1183109283447266]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-01-01-01.wav,audio-only,sad,Kids are talking by the door,male,"[-706.8840942382812, 71.48929595947266, 8.945379257202148, 13.202083587646484, 0.21313977241516113, 19.97494888305664, 1.245151400566101, 7.30840539932251, 2.70735502243042, 5.265811920166016, 4.983082294464111, -1.2401328086853027, 1.786649227142334, 2.614037036895752, -1.5855087041854858, -5.132619857788086, -3.493293285369873, -3.0905849933624268, -2.236231803894043, 1.8381174802780151]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-01-02-01.wav,audio-only,sad,Kids are talking by the door,male,"[-717.7222290039062, 75.52871704101562, 10.00570011138916, 13.10164737701416, 2.8164422512054443, 19.914382934570312, 2.932750940322876, 6.683552265167236, 4.047398090362549, 4.44535493850708, 6.54754638671875, 2.307356357574463, 1.6887844800949097, 2.1519577503204346, -1.863966703414917, -3.6330442428588867, -3.2003002166748047, -2.5677106380462646, -2.162306070327759, 2.0471713542938232]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-02-01-01.wav,audio-only,sad,Dogs are sitting by the door,male,"[-751.9017944335938, 69.15152740478516, 9.640219688415527, 10.353772163391113, 2.397381067276001, 17.33924102783203, 2.6953341960906982, 5.902891159057617, 2.130483865737915, 4.972631931304932, 5.374072074890137, 1.3025258779525757, 0.6385602951049805, 0.4905554950237274, -0.6209776997566223, -3.570887327194214, -4.556581497192383, -3.965089797973633, -0.2841472327709198, 2.9738197326660156]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-04-01-02-02-01.wav,audio-only,sad,Dogs are sitting by the door,male,"[-725.0331420898438, 66.08329772949219, 9.37903881072998, 13.710651397705078, 3.77254319190979, 19.438276290893555, 1.4440678358078003, 5.718665599822998, 1.8818780183792114, 6.151092052459717, 7.00714635848999, 0.5296465754508972, 1.0335454940795898, 1.8562326431274414, 0.694489061832428, -3.2284255027770996, -4.973546981811523, -3.212674617767334, -2.110783815383911, 2.420518398284912]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-04-02-01-01-01.wav,audio-only,sad,Kids are talking by the door,male,"[-695.13623046875, 73.25486755371094, 9.88068962097168, 15.768980979919434, 1.864575982093811, 22.257736206054688, 2.3271524906158447, 7.9406843185424805, 3.78467059135437, 6.521570682525635, 6.789667129516602, -1.099413514137268, 0.7356846928596497, 2.1951212882995605, 0.17695850133895874, -4.9911956787109375, -3.1314494609832764, -1.7808047533035278, -1.0046696662902832, 1.9721306562423706]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-04-02-01-02-01.wav,audio-only,sad,Kids are talking by the door,male,"[-647.3428344726562, 69.7668685913086, 2.0107481479644775, 14.369017601013184, -1.6866101026535034, 14.78384017944336, 4.189093112945557, 6.273593425750732, -1.3242906332015991, 3.6015846729278564, 7.891510486602783, -1.642045497894287, -3.997863531112671, -0.07181531190872192, 1.0796189308166504, -7.218235969543457, -6.588672161102295, -2.1553452014923096, 0.16201646625995636, -0.3082716464996338]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-04-02-02-01-01.wav,audio-only,sad,Dogs are sitting by the door,male,"[-643.0704956054688, 70.62548828125, 4.9743876457214355, 12.308311462402344, 0.9426857233047485, 17.34605598449707, 2.748765707015991, 7.222201347351074, -2.1947693824768066, 6.142324924468994, 9.351974487304688, -1.624242901802063, -3.3388586044311523, 0.4028049111366272, -0.3686090409755707, -7.0657877922058105, -6.959630012512207, -3.9474966526031494, -1.4882034063339233, -0.3803115785121918]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-04-02-02-02-01.wav,audio-only,sad,Dogs are sitting by the door,male,"[-623.0447998046875, 70.28411865234375, 0.39339539408683777, 15.747611045837402, 0.01612897403538227, 17.409408569335938, 2.375701904296875, 6.438796520233154, -1.826613187789917, 4.980830669403076, 8.042173385620117, -1.6803728342056274, -3.782956838607788, 0.8927921056747437, -0.0002946554741356522, -7.867962837219238, -6.418963432312012, -2.8510327339172363, -0.9790492057800293, 0.9718840718269348]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-05-01-01-01-01.wav,audio-only,angry,Kids are talking by the door,male,"[-562.3607177734375, 63.2701301574707, -4.469387531280518, 13.082103729248047, 1.1073038578033447, 13.879345893859863, 2.0830066204071045, 5.0677666664123535, -4.534611225128174, 1.3836851119995117, 6.01514196395874, 0.25978371500968933, -2.080698251724243, 2.1849734783172607, -1.2068392038345337, -3.9481863975524902, -2.9054298400878906, -0.8574569225311279, -1.6227848529815674, -1.0600404739379883]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-05-01-01-02-01.wav,audio-only,angry,Kids are talking by the door,male,"[-539.9524536132812, 61.601741790771484, -4.561814785003662, 16.091672897338867, -0.528826892375946, 12.508899688720703, -1.102353572845459, 4.070619106292725, -1.183369755744934, 1.478921890258789, 3.950758218765259, -0.42601796984672546, -3.7496519088745117, -0.24210616946220398, -3.3467700481414795, -5.406646728515625, -4.169556140899658, -0.49337083101272583, -3.059217929840088, -3.3735873699188232]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-05-01-02-01-01.wav,audio-only,angry,Dogs are sitting by the door,male,"[-581.40380859375, 57.789180755615234, 0.6464450359344482, 14.320653915405273, 2.206021547317505, 14.559941291809082, 0.9197717905044556, 5.355653762817383, -1.2657568454742432, 3.882023572921753, 6.154107093811035, -2.0238771438598633, -1.0826892852783203, 1.9100134372711182, -1.957358479499817, -5.069295883178711, -5.425011157989502, -0.3297184407711029, -0.2158401906490326, -0.8476607799530029]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-05-01-02-02-01.wav,audio-only,angry,Dogs are sitting by the door,male,"[-539.155517578125, 58.975494384765625, 0.5710473656654358, 15.148139953613281, -0.620501697063446, 14.700159072875977, 1.462766170501709, 2.9469387531280518, -2.0409765243530273, 2.572075128555298, 6.922308921813965, -0.4545761048793793, -3.7641336917877197, 2.3194236755371094, -0.40348973870277405, -5.975241661071777, -6.423585891723633, -0.27456146478652954, -0.04914429783821106, -1.7553043365478516]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-05-02-01-01-01.wav,audio-only,angry,Kids are talking by the door,male,"[-355.0977478027344, 62.660560607910156, -13.097675323486328, 9.263096809387207, -5.326582431793213, 4.6613335609436035, -9.543574333190918, 2.434871196746826, -3.8242545127868652, -2.066344976425171, -1.692250370979309, -2.112637519836426, -4.959230899810791, -3.3155012130737305, -7.265395164489746, -8.466655731201172, -9.277732849121094, -1.652667760848999, -4.281702518463135, -4.254772663116455]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-05-02-01-02-01.wav,audio-only,angry,Kids are talking by the door,male,"[-360.9865417480469, 69.76593017578125, -23.847326278686523, 17.58838653564453, -9.88979434967041, 10.985921859741211, -6.605558395385742, 3.2963550090789795, -7.278030872344971, -3.1715409755706787, 4.0133843421936035, -1.9307236671447754, -6.410614490509033, -2.3199007511138916, -5.570901870727539, -6.41610050201416, -8.853015899658203, -2.3596127033233643, -2.479951858520508, -4.709283828735352]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-05-02-02-01-01.wav,audio-only,angry,Dogs are sitting by the door,male,"[-407.61279296875, 63.298011779785156, -16.400175094604492, 13.30061149597168, -6.295024394989014, 9.402798652648926, -3.736607074737549, 3.029700994491577, -4.950164794921875, 0.14161917567253113, 4.425354480743408, -1.1351124048233032, -7.938699722290039, 0.44330665469169617, -4.846468448638916, -6.275963306427002, -9.181316375732422, -0.11724380403757095, -1.9699357748031616, -4.16392183303833]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-05-02-02-02-01.wav,audio-only,angry,Dogs are sitting by the door,male,"[-292.3619384765625, 58.743160247802734, -16.320091247558594, 11.679155349731445, -11.872112274169922, 5.486276626586914, -9.55748176574707, 4.327746868133545, -8.634198188781738, -4.369995594024658, 0.984144389629364, -1.8479533195495605, -9.729853630065918, -3.921858549118042, -10.114429473876953, -7.539279460906982, -10.628607749938965, -3.329702854156494, -3.0475380420684814, -3.27370023727417]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-06-01-01-01-01.wav,audio-only,fearful,Kids are talking by the door,male,"[-607.6891479492188, 69.54817962646484, 7.6861796379089355, 17.928457260131836, -0.8700006008148193, 20.201271057128906, 3.8389573097229004, 7.117879390716553, 2.895796775817871, 6.216734409332275, 6.032127380371094, -3.2209582328796387, 0.009748022072017193, 2.6652023792266846, -1.0638993978500366, -7.3508830070495605, -6.5741400718688965, -2.7213008403778076, -0.9469032287597656, 1.0565990209579468]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-06-01-01-02-01.wav,audio-only,fearful,Kids are talking by the door,male,"[-622.37451171875, 72.15180206298828, 5.419318199157715, 14.12662410736084, -3.185899496078491, 16.307592391967773, 0.9829710125923157, 5.534678936004639, 0.838857889175415, 5.441118240356445, 7.422940254211426, -3.345400333404541, -3.580817699432373, 0.2775144577026367, -2.574068784713745, -8.821906089782715, -8.02177906036377, -3.1888344287872314, -1.196780800819397, -0.27693143486976624]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-06-01-02-01-01.wav,audio-only,fearful,Dogs are sitting by the door,male,"[-631.884765625, 68.48149871826172, 6.740679740905762, 19.9439754486084, 2.893937110900879, 20.0194034576416, 4.292172431945801, 9.324614524841309, 4.585781574249268, 7.629999160766602, 7.623530387878418, 0.5205291509628296, 0.869469165802002, 3.4880411624908447, 0.6906630396842957, -3.8423240184783936, -3.088176727294922, -2.4362823963165283, 0.56122887134552, 3.6067709922790527]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-06-01-02-02-01.wav,audio-only,fearful,Dogs are sitting by the door,male,"[-638.705078125, 77.42630004882812, 4.787457466125488, 15.242905616760254, 0.21102169156074524, 19.195049285888672, 0.523865282535553, 8.133227348327637, 3.2643394470214844, 7.853404998779297, 5.362217903137207, -0.42531585693359375, -0.6754822134971619, 1.2628095149993896, -3.2722110748291016, -5.203125953674316, -3.596118211746216, -3.818838119506836, -1.157164454460144, 4.252481937408447]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-06-02-01-01-01.wav,audio-only,fearful,Kids are talking by the door,male,"[-428.009521484375, 86.98695373535156, -10.65421199798584, 18.28804588317871, -7.596004962921143, 11.069148063659668, -4.155571460723877, 3.9166877269744873, -0.14224933087825775, 2.9019289016723633, 8.053496360778809, 1.6158194541931152, -5.659743785858154, 1.5287472009658813, -3.101093053817749, -6.272315502166748, -10.721105575561523, -6.116534233093262, -1.5458937883377075, 1.5214285850524902]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-06-02-01-02-01.wav,audio-only,fearful,Kids are talking by the door,male,"[-410.35028076171875, 72.62298583984375, 0.11647910624742508, 11.502462387084961, -12.036365509033203, 5.463014125823975, -3.9970176219940186, 2.151947021484375, 1.0729126930236816, 0.8911920189857483, 6.568089485168457, -1.2456386089324951, -5.980025768280029, -2.2828409671783447, -5.635013580322266, -8.786727905273438, -11.342217445373535, -5.848951816558838, -0.1671660840511322, -2.082411050796509]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-06-02-02-01-01.wav,audio-only,fearful,Dogs are sitting by the door,male,"[-381.4400939941406, 69.10137176513672, -5.6807169914245605, 15.129837989807129, -6.7315263748168945, 6.90656042098999, -8.976916313171387, 0.8775859475135803, 0.7426725029945374, -0.24890750646591187, 4.790302276611328, 0.5426293611526489, -6.277118682861328, -2.1090400218963623, -4.645548343658447, -8.812735557556152, -13.84408950805664, -5.298085689544678, -1.5336439609527588, -2.2244255542755127]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-06-02-02-02-01.wav,audio-only,fearful,Dogs are sitting by the door,male,"[-436.0943603515625, 71.28929901123047, -1.5997097492218018, 14.556714057922363, -8.630865097045898, 5.679851531982422, -5.406781196594238, 6.595200061798096, -0.9971712231636047, -1.007457971572876, 6.989795684814453, 2.8968098163604736, -5.472890853881836, -3.318917989730835, -5.072821140289307, -9.957343101501465, -12.520845413208008, -4.977494716644287, -0.19399257004261017, 0.08272230625152588]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-07-01-01-01-01.wav,audio-only,disgust,Kids are talking by the door,male,"[-668.7640991210938, 76.22938537597656, 7.336690902709961, 17.489776611328125, -2.776366710662842, 17.241104125976562, -1.0153287649154663, 9.719156265258789, -1.146982192993164, 3.196617603302002, 9.322261810302734, -0.6119064688682556, -2.7149977684020996, 2.743025302886963, -4.854515552520752, -6.378203392028809, -1.9555364847183228, -2.923492908477783, -0.9733949899673462, -0.2550036311149597]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-07-01-01-02-01.wav,audio-only,disgust,Kids are talking by the door,male,"[-640.4518432617188, 63.029640197753906, 7.106771945953369, 19.76420021057129, -6.450010776519775, 14.453968048095703, -1.453734040260315, 9.781100273132324, -3.9229769706726074, 3.2862019538879395, 5.969353199005127, 0.9522399306297302, -3.592733383178711, -0.343394011259079, -4.737121105194092, -5.5563130378723145, -3.1400082111358643, -2.762162446975708, -2.2384328842163086, 0.88029545545578]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-07-01-02-01-01.wav,audio-only,disgust,Dogs are sitting by the door,male,"[-690.796142578125, 78.67655944824219, 12.01672077178955, 19.609161376953125, 2.848987579345703, 17.903152465820312, -4.855528831481934, 11.398036003112793, 3.307183027267456, 8.184410095214844, 4.369388580322266, -0.003450487507507205, -1.276045322418213, 2.128324031829834, -1.4103280305862427, -5.468428611755371, -3.7698020935058594, -1.7306970357894897, 0.424102783203125, 3.009970188140869]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-07-01-02-02-01.wav,audio-only,disgust,Dogs are sitting by the door,male,"[-688.0411376953125, 65.37566375732422, 7.228119373321533, 16.660863876342773, 1.8592830896377563, 15.373498916625977, -6.2380242347717285, 11.13348388671875, 1.0020387172698975, 6.379226207733154, 5.043726921081543, -0.24881364405155182, -2.102322816848755, 1.9726779460906982, -1.6588495969772339, -6.347751140594482, -3.503183603286743, -0.9675358533859253, 0.46650323271751404, 2.6698641777038574]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-07-02-01-01-01.wav,audio-only,disgust,Kids are talking by the door,male,"[-491.9220275878906, 69.48822784423828, 1.6757313013076782, 22.391733169555664, -4.713977336883545, 5.422000885009766, -9.295629501342773, 0.8394153714179993, 0.38738372921943665, -0.5505761504173279, 0.79338538646698, -0.7115350961685181, -5.102281093597412, -4.123034477233887, -8.17613697052002, -7.905650615692139, -5.325753211975098, -4.950399875640869, -4.890701770782471, -2.0745694637298584]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-07-02-01-02-01.wav,audio-only,disgust,Kids are talking by the door,male,"[-500.634521484375, 61.43918228149414, -7.140110015869141, 17.607872009277344, -5.836343765258789, 8.94072437286377, -6.910199165344238, 6.912496566772461, 0.6218959093093872, -3.0324816703796387, -0.44925373792648315, -5.657757759094238, -5.393968105316162, -3.021975517272949, -7.784747123718262, -9.932470321655273, -6.483535289764404, -0.33451828360557556, -2.8216309547424316, -2.9285240173339844]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_01\03-01-07-02-02-01-01.wav,audio-only,disgust,Dogs are sitting by the door,male,"[-537.278076171875, 58.20429992675781, 5.7236833572387695, 31.29672622680664, 0.16515091061592102, 10.275601387023926, -6.642641544342041, 9.17246150970459, 5.1101555824279785, 1.194888710975647, -4.674038410186768, -0.4304117262363434, -2.9383704662323, 2.373871088027954, -5.571255207061768, -8.291720390319824, -5.430856227874756, -0.9263122081756592, -1.8654766082763672, -0.2483227550983429]"
