,modality,emotion,statement,gender,mfcc
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_02\03-01-04-02-01-01-02.wav,audio-only,sad,Kids are talking by the door,female,"[-666.77880859375, 63.16627883911133, -0.03562992438673973, 9.391425132751465, 1.7680785655975342, 9.094331741333008, -5.452279567718506, 1.3063634634017944, 0.5535441637039185, 0.8360026478767395, -3.5230181217193604, -2.942126750946045, -2.5586769580841064, -9.428482055664062, -6.072290897369385, -1.148908019065857, -1.911429762840271, -3.585796594619751, -3.1721882820129395, -6.535087585449219]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_02\03-01-04-02-01-02-02.wav,audio-only,sad,Kids are talking by the door,female,"[-694.22021484375, 67.92120361328125, 3.4965474605560303, 13.288284301757812, 1.2869583368301392, 11.721479415893555, -4.013203144073486, 5.186952590942383, 0.13240404427051544, 2.667358160018921, -2.4168007373809814, -2.3177297115325928, -2.626688003540039, -6.541530609130859, -5.283880710601807, -1.7810324430465698, -2.9894793033599854, -3.448575735092163, -3.3934242725372314, -5.467064380645752]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_02\03-01-04-02-02-01-02.wav,audio-only,sad,Dogs are sitting by the door,female,"[-684.7256469726562, 62.01145553588867, 2.5122087001800537, 14.60834789276123, 0.618713915348053, 9.897924423217773, -4.13685417175293, 3.8826448917388916, 0.7230905294418335, 3.618072271347046, -3.366396427154541, -1.3942594528198242, -2.2089011669158936, -7.875659465789795, -6.9688544273376465, -1.5231798887252808, -2.0882651805877686, -4.7781829833984375, -5.4929423332214355, -5.583926200866699]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_02\03-01-04-02-02-02-02.wav,audio-only,sad,Dogs are sitting by the door,female,"[-669.3564453125, 61.16268539428711, 0.147361159324646, 12.854222297668457, -1.8180640935897827, 10.355164527893066, -4.317243576049805, 3.533987522125244, 0.3667949438095093, 3.094045877456665, -5.081820487976074, -3.9013547897338867, -3.0304481983184814, -7.797940731048584, -7.438209056854248, -1.0280483961105347, -0.7304316163063049, -4.220553398132324, -4.654377460479736, -5.195933818817139]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_02\03-01-05-01-01-01-02.wav,audio-only,angry,Kids are talking by the door,female,"[-581.1830444335938, 61.775352478027344, 0.334555447101593, 8.486292839050293, 0.7884549498558044, 11.279912948608398, -6.216856479644775, 0.5349246859550476, 2.5265965461730957, -0.2570727467536926, -0.8058837652206421, -0.9140616059303284, -2.3717637062072754, -5.397363185882568, -3.7001662254333496, 0.40772590041160583, -2.9174916744232178, -1.3135415315628052, -1.8619650602340698, -2.8110623359680176]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_02\03-01-05-01-01-02-02.wav,audio-only,angry,Kids are talking by the door,female,"[-545.6051635742188, 65.96239471435547, -3.568132162094116, 5.672213554382324, -0.1854562908411026, 10.575684547424316, -8.79785442352295, 1.7465887069702148, 1.7893993854522705, -1.1047413349151611, -1.307684302330017, -2.8152151107788086, -2.890004873275757, -5.467287063598633, -3.961331605911255, 0.029280178248882294, -2.0550355911254883, -1.271369218826294, -1.9937845468521118, -1.898552656173706]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_02\03-01-05-01-02-01-02.wav,audio-only,angry,Dogs are sitting by the door,female,"[-579.343994140625, 62.719444274902344, 0.5694490671157837, 12.011484146118164, -0.08451179414987564, 11.187419891357422, -8.95792007446289, 2.247479200363159, 0.4723395109176636, 1.8074471950531006, -2.359123468399048, -1.7669153213500977, -1.3411072492599487, -5.982612133026123, -4.305481433868408, 0.985414981842041, -2.9308857917785645, -2.0434679985046387, -3.448521614074707, -2.088688850402832]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_02\03-01-05-01-02-02-02.wav,audio-only,angry,Dogs are sitting by the door,female,"[-573.717041015625, 63.38261032104492, -4.527153015136719, 9.362175941467285, -2.037675380706787, 12.641478538513184, -11.608964920043945, 0.9266301989555359, -0.257719486951828, -0.05504823848605156, -3.5131125450134277, -1.7183748483657837, -1.5192300081253052, -8.35644245147705, -4.430612564086914, 1.0531877279281616, -4.001553535461426, -2.8649537563323975, -3.337425708770752, -1.9160537719726562]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_02\03-01-05-02-01-01-02.wav,audio-only,angry,Kids are talking by the door,female,"[-454.1522521972656, 58.61418151855469, -10.69096565246582, 1.3843003511428833, 0.06593147665262222, 7.9817986488342285, -13.224923133850098, -4.227356910705566, 1.9939148426055908, -4.181110858917236, -4.794913291931152, -1.0211641788482666, -4.371610164642334, -5.519906044006348, -4.990451812744141, -1.3165674209594727, -3.144113779067993, -2.5804336071014404, -2.880176305770874, -2.8538818359375]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_02\03-01-05-02-01-02-02.wav,audio-only,angry,Kids are talking by the door,female,"[-482.29736328125, 62.27766036987305, -10.163008689880371, 1.5526782274246216, 0.34741470217704773, 8.849133491516113, -13.666240692138672, -5.617756366729736, 1.0108227729797363, -3.446359395980835, -4.35343599319458, 0.7448035478591919, -2.6722519397735596, -5.752012252807617, -5.398324489593506, 0.3052290678024292, -2.966798782348633, -2.3054115772247314, -3.164523124694824, -2.606525182723999]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_02\03-01-05-02-02-01-02.wav,audio-only,angry,Dogs are sitting by the door,female,"[-412.5645751953125, 55.09368896484375, -11.150177955627441, -1.2990176677703857, -3.5900068283081055, 5.913096904754639, -15.532414436340332, -8.842840194702148, -0.5276325941085815, -4.066116809844971, -7.848702907562256, -1.3537095785140991, -5.150148391723633, -6.165905952453613, -7.765891075134277, -2.702038049697876, -5.474503993988037, -3.9753847122192383, -4.349637031555176, -4.682905673980713]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_02\03-01-05-02-02-02-02.wav,audio-only,angry,Dogs are sitting by the door,female,"[-438.0534362792969, 58.69866943359375, -14.492356300354004, -0.2595817744731903, -2.5020899772644043, 6.140416145324707, -16.593780517578125, -7.992821216583252, -0.050381843000650406, -3.9272539615631104, -8.0875244140625, -1.3020035028457642, -4.6326470375061035, -7.337737560272217, -6.189498424530029, -1.5812069177627563, -4.781811714172363, -3.976515054702759, -5.518446922302246, -3.7134766578674316]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_02\03-01-06-01-01-01-02.wav,audio-only,fearful,Kids are talking by the door,female,"[-572.1297607421875, 67.62728881835938, -12.39279556274414, 3.1434788703918457, -4.278181552886963, 10.597557067871094, -12.522954940795898, 0.014658013358712196, 0.13861030340194702, -3.9972422122955322, -5.027590274810791, -2.2167928218841553, -7.502526760101318, -6.96081018447876, -5.529210090637207, -2.4168288707733154, -4.323685169219971, -3.1899101734161377, -4.073028087615967, -5.73521614074707]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_02\03-01-06-01-01-02-02.wav,audio-only,fearful,Kids are talking by the door,female,"[-578.9990844726562, 65.23255920410156, -8.97797966003418, 2.437530279159546, -5.153964519500732, 9.319087982177734, -13.33209228515625, -1.1101531982421875, 0.7714908123016357, -1.7225955724716187, -4.829774856567383, -2.5253171920776367, -6.966689109802246, -9.085260391235352, -5.29897928237915, -1.0012285709381104, -3.82808256149292, -4.3558197021484375, -4.455939292907715, -5.903667449951172]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_02\03-01-06-01-02-01-02.wav,audio-only,fearful,Dogs are sitting by the door,female,"[-568.0096435546875, 63.499664306640625, -11.753324508666992, 4.654694557189941, -7.1900434494018555, 9.279122352600098, -11.782905578613281, 0.46134302020072937, 1.2709482908248901, 0.0347742922604084, -7.416375160217285, -4.162612438201904, -5.84480094909668, -9.136591911315918, -5.519530773162842, -0.643286406993866, -4.642302989959717, -4.4819111824035645, -3.8622665405273438, -5.39890193939209]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_02\03-01-06-01-02-02-02.wav,audio-only,fearful,Dogs are sitting by the door,female,"[-570.4901733398438, 61.205833435058594, -10.159591674804688, 1.1843761205673218, -9.790860176086426, 6.9410576820373535, -12.606821060180664, 0.8222395181655884, 1.6537846326828003, 0.08242049813270569, -8.429025650024414, -5.393226146697998, -9.963631629943848, -9.728679656982422, -5.124204158782959, -0.33206117153167725, -6.069639205932617, -4.88423490524292, -4.293188571929932, -5.991610050201416]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_02\03-01-06-02-01-01-02.wav,audio-only,fearful,Kids are talking by the door,female,"[-509.135498046875, 55.223995208740234, -16.41667938232422, -2.5020806789398193, -6.606045246124268, 5.959238052368164, -12.982450485229492, -5.3957743644714355, -1.8678478002548218, -1.9054536819458008, -7.7522993087768555, -6.011404991149902, -6.955195903778076, -8.446635246276855, -5.906910419464111, -1.8510257005691528, -2.2222776412963867, -5.716646194458008, -3.845168352127075, -6.0580925941467285]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_02\03-01-06-02-01-02-02.wav,audio-only,fearful,Kids are talking by the door,female,"[-492.69207763671875, 53.48257827758789, -16.577573776245117, -1.2553917169570923, -8.031436920166016, 7.679172039031982, -11.958562850952148, -6.502537250518799, -0.9050756692886353, -2.2663230895996094, -7.795655727386475, -6.004355430603027, -6.047674179077148, -8.340876579284668, -6.46401834487915, -1.116886854171753, -2.3994240760803223, -6.9443888664245605, -5.346730709075928, -7.973768711090088]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_02\03-01-06-02-02-01-02.wav,audio-only,fearful,Dogs are sitting by the door,female,"[-500.5711975097656, 50.881019592285156, -15.832542419433594, 1.8979376554489136, -12.171548843383789, 7.667837142944336, -12.257296562194824, -3.6373753547668457, -2.0648932456970215, -1.9161828756332397, -9.244696617126465, -4.100838661193848, -6.7176103591918945, -8.201045036315918, -5.73606014251709, -1.270861029624939, -3.4856503009796143, -5.246326923370361, -5.064803600311279, -6.161276340484619]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_02\03-01-06-02-02-02-02.wav,audio-only,fearful,Dogs are sitting by the door,female,"[-487.524169921875, 53.698455810546875, -13.606287956237793, 2.376750946044922, -10.287965774536133, 4.452009677886963, -11.58346939086914, -3.7354953289031982, 1.16177237033844, -1.591187596321106, -8.994718551635742, -6.348143100738525, -7.014854907989502, -8.834996223449707, -5.7187957763671875, -1.5241742134094238, -4.094791412353516, -6.736129283905029, -4.042806148529053, -6.083030700683594]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_02\03-01-07-01-01-01-02.wav,audio-only,disgust,Kids are talking by the door,female,"[-656.7066650390625, 75.12934875488281, -1.76418137550354, 11.974306106567383, 1.4238526821136475, 7.03615665435791, -8.644525527954102, 6.130867958068848, 2.449136734008789, 3.0504281520843506, -3.1973211765289307, -1.3049302101135254, -2.1263463497161865, -6.348616600036621, -3.106541156768799, -0.03571590036153793, -3.5280683040618896, -1.1917943954467773, -3.2186102867126465, -2.0542757511138916]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_02\03-01-07-01-01-02-02.wav,audio-only,disgust,Kids are talking by the door,female,"[-666.4798583984375, 82.265380859375, -3.2247281074523926, 12.457599639892578, 3.7256810665130615, 7.865756988525391, -7.595577716827393, 3.775465488433838, 2.223607063293457, 4.144121170043945, -1.6665350198745728, -2.7854931354522705, -0.4987785816192627, -6.964139938354492, -4.989511966705322, -1.5787246227264404, -1.7180025577545166, -0.8371330499649048, -3.217649459838867, -1.7395548820495605]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_02\03-01-07-01-02-01-02.wav,audio-only,disgust,Dogs are sitting by the door,female,"[-638.9526977539062, 73.56175994873047, 1.977571964263916, 14.78827953338623, 0.6602379679679871, 9.291532516479492, -4.756408214569092, 3.6476917266845703, 3.1608974933624268, 5.731228828430176, -4.560842990875244, -2.25490140914917, -0.5456892848014832, -6.086287021636963, -4.833244323730469, 0.5762758851051331, -2.524649143218994, -2.174743175506592, -4.103276252746582, -0.7925644516944885]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_02\03-01-07-01-02-02-02.wav,audio-only,disgust,Dogs are sitting by the door,female,"[-646.4075317382812, 75.66444396972656, -1.7371721267700195, 11.442974090576172, 1.0916996002197266, 9.581783294677734, -6.347585678100586, 3.4312119483947754, 4.088829040527344, 4.849674224853516, -6.943514823913574, -3.85202693939209, -1.1264493465423584, -6.643588542938232, -5.049407958984375, -0.18539899587631226, -3.4750542640686035, -2.681785821914673, -2.998563289642334, -0.8988982439041138]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_02\03-01-07-02-01-01-02.wav,audio-only,disgust,Kids are talking by the door,female,"[-591.16357421875, 75.58766174316406, -8.334843635559082, 11.349283218383789, 1.6805983781814575, 8.94255542755127, -10.552847862243652, 1.0860451459884644, 2.0915422439575195, 2.6032233238220215, -3.684879779815674, -3.7605395317077637, -2.996929407119751, -6.911202430725098, -4.6798787117004395, 0.4476686120033264, -3.588181495666504, -2.0919008255004883, -3.1971282958984375, -3.017791748046875]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_02\03-01-07-02-01-02-02.wav,audio-only,disgust,Kids are talking by the door,female,"[-578.2539672851562, 70.67752838134766, -5.556624412536621, 12.288747787475586, 2.843204975128174, 7.841143608093262, -8.984148979187012, 0.5037326216697693, 0.8856925964355469, 2.9115679264068604, -2.5708231925964355, -1.715774655342102, -2.6297340393066406, -6.2503790855407715, -3.6449573040008545, 0.1548251360654831, -2.596158266067505, -1.735274314880371, -2.61161470413208, -2.391714096069336]"
datasources\RAVDESS\RAVDESS_DATA\Audio_Speech_Actors_01-24\Actor_02\03-01-07-02-02-01-02.wav,audio-only,disgust,Dogs are sitting by the door,female,"[-569.668701171875, 72.38814544677734, -1.0795742273330688, 11.653033256530762, -0.2688179016113281, 4.878716945648193, -8.044473648071289, 2.554582357406616, 2.6869091987609863, 2.1919589042663574, -8.310792922973633, -5.335418224334717, -0.10350864380598068, -6.6975603103637695, -7.361349582672119, -0.6424267292022705, -3.748206853866577, -2.8701443672180176, -4.701930999755859, -3.6538517475128174]"
