Emotion: happiness, Estimated Intensity: 0.92, RGB: (210, 255, 10), Size: 37
Emotion: boredom, Estimated Intensity: 0.92, RGB: (255, 255, 255), Size: 37
Emotion: neutral, Estimated Intensity: 0.71, RGB: (30, 40, 30), Size: 28
Emotion: sadness, Estimated Intensity: 0.94, RGB: (40, 0, 80), Size: 37
Emotion: anger, Estimated Intensity: 0.90, RGB: (255, 0, 0), Size: 36
Emotion: neutral, Estimated Intensity: 0.99, RGB: (30, 40, 30), Size: 40
Emotion: sadness, Estimated Intensity: 1.00, RGB: (40, 0, 80), Size: 40
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: boredom, Estimated Intensity: 0.98, RGB: (255, 255, 255), Size: 39
Emotion: neutral, Estimated Intensity: 1.00, RGB: (30, 40, 30), Size: 40
Emotion: sadness, Estimated Intensity: 0.58, RGB: (40, 0, 80), Size: 22
Emotion: anger, Estimated Intensity: 0.99, RGB: (255, 0, 0), Size: 40
Emotion: anxiety/fear, Estimated Intensity: 0.85, RGB: (127, 127, 127), Size: 34
Emotion: disgust, Estimated Intensity: 0.97, RGB: (0, 112, 192), Size: 39
Emotion: neutral, Estimated Intensity: 0.99, RGB: (30, 40, 30), Size: 40
Emotion: neutral, Estimated Intensity: 0.93, RGB: (30, 40, 30), Size: 37
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: anxiety/fear, Estimated Intensity: 0.99, RGB: (127, 127, 127), Size: 39
Emotion: neutral, Estimated Intensity: 0.92, RGB: (30, 40, 30), Size: 37
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: anxiety/fear, Estimated Intensity: 0.97, RGB: (127, 127, 127), Size: 39
Emotion: happiness, Estimated Intensity: 0.94, RGB: (210, 255, 10), Size: 37
Emotion: boredom, Estimated Intensity: 0.99, RGB: (255, 255, 255), Size: 40
Emotion: neutral, Estimated Intensity: 0.73, RGB: (30, 40, 30), Size: 28
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: happiness, Estimated Intensity: 0.99, RGB: (210, 255, 10), Size: 39
Emotion: neutral, Estimated Intensity: 0.99, RGB: (30, 40, 30), Size: 40
Emotion: anger, Estimated Intensity: 0.99, RGB: (255, 0, 0), Size: 40
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: anxiety/fear, Estimated Intensity: 0.96, RGB: (127, 127, 127), Size: 38
Emotion: boredom, Estimated Intensity: 0.91, RGB: (255, 255, 255), Size: 36
Emotion: sadness, Estimated Intensity: 0.72, RGB: (40, 0, 80), Size: 28
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: anxiety/fear, Estimated Intensity: 0.97, RGB: (127, 127, 127), Size: 39
Emotion: anxiety/fear, Estimated Intensity: 0.98, RGB: (127, 127, 127), Size: 39
Emotion: boredom, Estimated Intensity: 0.96, RGB: (255, 255, 255), Size: 38
Emotion: sadness, Estimated Intensity: 0.99, RGB: (40, 0, 80), Size: 39
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: anxiety/fear, Estimated Intensity: 0.99, RGB: (127, 127, 127), Size: 40
Emotion: disgust, Estimated Intensity: 0.96, RGB: (0, 112, 192), Size: 38
Emotion: happiness, Estimated Intensity: 0.96, RGB: (210, 255, 10), Size: 38
Emotion: boredom, Estimated Intensity: 0.92, RGB: (255, 255, 255), Size: 37
Emotion: anxiety/fear, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: boredom, Estimated Intensity: 0.92, RGB: (255, 255, 255), Size: 37
Emotion: neutral, Estimated Intensity: 0.97, RGB: (30, 40, 30), Size: 39
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: boredom, Estimated Intensity: 1.00, RGB: (255, 255, 255), Size: 40
Emotion: sadness, Estimated Intensity: 0.97, RGB: (40, 0, 80), Size: 39
Emotion: anger, Estimated Intensity: 0.97, RGB: (255, 0, 0), Size: 39
Emotion: anxiety/fear, Estimated Intensity: 0.98, RGB: (127, 127, 127), Size: 39
Emotion: boredom, Estimated Intensity: 1.00, RGB: (255, 255, 255), Size: 40
Emotion: anger, Estimated Intensity: 0.99, RGB: (255, 0, 0), Size: 40
Emotion: happiness, Estimated Intensity: 0.95, RGB: (210, 255, 10), Size: 38
Emotion: boredom, Estimated Intensity: 1.00, RGB: (255, 255, 255), Size: 40
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: anxiety/fear, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: anxiety/fear, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: boredom, Estimated Intensity: 0.55, RGB: (255, 255, 255), Size: 21
Emotion: neutral, Estimated Intensity: 0.99, RGB: (30, 40, 30), Size: 40
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: disgust, Estimated Intensity: 0.93, RGB: (0, 112, 192), Size: 37
Emotion: happiness, Estimated Intensity: 0.90, RGB: (210, 255, 10), Size: 36
Emotion: boredom, Estimated Intensity: 0.79, RGB: (255, 255, 255), Size: 31
Emotion: neutral, Estimated Intensity: 0.96, RGB: (30, 40, 30), Size: 38
Emotion: sadness, Estimated Intensity: 0.99, RGB: (40, 0, 80), Size: 40
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: anxiety/fear, Estimated Intensity: 0.84, RGB: (127, 127, 127), Size: 33
Emotion: happiness, Estimated Intensity: 0.76, RGB: (210, 255, 10), Size: 30
Emotion: neutral, Estimated Intensity: 0.98, RGB: (30, 40, 30), Size: 39
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: anxiety/fear, Estimated Intensity: 0.96, RGB: (127, 127, 127), Size: 38
Emotion: happiness, Estimated Intensity: 0.99, RGB: (210, 255, 10), Size: 40
Emotion: happiness, Estimated Intensity: 0.81, RGB: (210, 255, 10), Size: 32
Emotion: boredom, Estimated Intensity: 0.39, RGB: (255, 255, 255), Size: 14
Emotion: neutral, Estimated Intensity: 0.97, RGB: (30, 40, 30), Size: 39
Emotion: sadness, Estimated Intensity: 0.95, RGB: (40, 0, 80), Size: 38
Emotion: anger, Estimated Intensity: 0.54, RGB: (255, 0, 0), Size: 20
Emotion: anxiety/fear, Estimated Intensity: 0.76, RGB: (127, 127, 127), Size: 30
Emotion: boredom, Estimated Intensity: 0.61, RGB: (255, 255, 255), Size: 23
Emotion: sadness, Estimated Intensity: 1.00, RGB: (40, 0, 80), Size: 40
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: anxiety/fear, Estimated Intensity: 0.94, RGB: (127, 127, 127), Size: 38
Emotion: disgust, Estimated Intensity: 0.62, RGB: (0, 112, 192), Size: 24
Emotion: happiness, Estimated Intensity: 0.51, RGB: (210, 255, 10), Size: 19
Emotion: boredom, Estimated Intensity: 0.71, RGB: (255, 255, 255), Size: 28
Emotion: neutral, Estimated Intensity: 0.89, RGB: (30, 40, 30), Size: 35
Emotion: anger, Estimated Intensity: 0.99, RGB: (255, 0, 0), Size: 39
Emotion: anxiety/fear, Estimated Intensity: 0.98, RGB: (127, 127, 127), Size: 39
Emotion: happiness, Estimated Intensity: 0.54, RGB: (210, 255, 10), Size: 20
Emotion: neutral, Estimated Intensity: 0.93, RGB: (30, 40, 30), Size: 37
Emotion: sadness, Estimated Intensity: 0.97, RGB: (40, 0, 80), Size: 39
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: happiness, Estimated Intensity: 0.89, RGB: (210, 255, 10), Size: 35
Emotion: boredom, Estimated Intensity: 0.95, RGB: (255, 255, 255), Size: 38
Emotion: neutral, Estimated Intensity: 0.93, RGB: (30, 40, 30), Size: 37
Emotion: sadness, Estimated Intensity: 1.00, RGB: (40, 0, 80), Size: 40
Emotion: anger, Estimated Intensity: 0.72, RGB: (255, 0, 0), Size: 28
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: anxiety/fear, Estimated Intensity: 0.82, RGB: (127, 127, 127), Size: 32
Emotion: happiness, Estimated Intensity: 0.80, RGB: (210, 255, 10), Size: 32
Emotion: boredom, Estimated Intensity: 0.92, RGB: (255, 255, 255), Size: 37
Emotion: neutral, Estimated Intensity: 0.92, RGB: (30, 40, 30), Size: 36
Emotion: sadness, Estimated Intensity: 0.99, RGB: (40, 0, 80), Size: 40
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: anxiety/fear, Estimated Intensity: 0.83, RGB: (127, 127, 127), Size: 33
Emotion: anxiety/fear, Estimated Intensity: 0.91, RGB: (127, 127, 127), Size: 36
Emotion: boredom, Estimated Intensity: 0.67, RGB: (255, 255, 255), Size: 26
Emotion: neutral, Estimated Intensity: 0.99, RGB: (30, 40, 30), Size: 40
Emotion: sadness, Estimated Intensity: 0.99, RGB: (40, 0, 80), Size: 40
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: happiness, Estimated Intensity: 0.76, RGB: (210, 255, 10), Size: 30
Emotion: boredom, Estimated Intensity: 0.72, RGB: (255, 255, 255), Size: 28
Emotion: neutral, Estimated Intensity: 0.85, RGB: (30, 40, 30), Size: 34
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: anxiety/fear, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: disgust, Estimated Intensity: 0.58, RGB: (0, 112, 192), Size: 22
Emotion: neutral, Estimated Intensity: 0.65, RGB: (30, 40, 30), Size: 25
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: anxiety/fear, Estimated Intensity: 0.98, RGB: (127, 127, 127), Size: 39
Emotion: boredom, Estimated Intensity: 0.70, RGB: (255, 255, 255), Size: 27
Emotion: neutral, Estimated Intensity: 0.89, RGB: (30, 40, 30), Size: 35
Emotion: sadness, Estimated Intensity: 0.78, RGB: (40, 0, 80), Size: 30
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: anxiety/fear, Estimated Intensity: 0.98, RGB: (127, 127, 127), Size: 39
Emotion: boredom, Estimated Intensity: 0.95, RGB: (255, 255, 255), Size: 38
Emotion: anger, Estimated Intensity: 0.99, RGB: (255, 0, 0), Size: 40
Emotion: sadness, Estimated Intensity: 0.83, RGB: (40, 0, 80), Size: 33
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: anxiety/fear, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: disgust, Estimated Intensity: 0.66, RGB: (0, 112, 192), Size: 25
Emotion: happiness, Estimated Intensity: 0.94, RGB: (210, 255, 10), Size: 38
Emotion: neutral, Estimated Intensity: 0.52, RGB: (30, 40, 30), Size: 19
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: anger, Estimated Intensity: 0.99, RGB: (255, 0, 0), Size: 40
Emotion: boredom, Estimated Intensity: 0.98, RGB: (255, 255, 255), Size: 39
Emotion: sadness, Estimated Intensity: 0.96, RGB: (40, 0, 80), Size: 38
Emotion: anxiety/fear, Estimated Intensity: 0.95, RGB: (127, 127, 127), Size: 38
Emotion: sadness, Estimated Intensity: 0.39, RGB: (40, 0, 80), Size: 14
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: anxiety/fear, Estimated Intensity: 0.68, RGB: (127, 127, 127), Size: 26
Emotion: boredom, Estimated Intensity: 0.95, RGB: (255, 255, 255), Size: 38
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: disgust, Estimated Intensity: 0.50, RGB: (0, 112, 192), Size: 19
Emotion: happiness, Estimated Intensity: 0.58, RGB: (210, 255, 10), Size: 22
Emotion: boredom, Estimated Intensity: 0.91, RGB: (255, 255, 255), Size: 36
Emotion: neutral, Estimated Intensity: 0.63, RGB: (30, 40, 30), Size: 24
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: anxiety/fear, Estimated Intensity: 0.98, RGB: (127, 127, 127), Size: 39
Emotion: disgust, Estimated Intensity: 0.85, RGB: (0, 112, 192), Size: 34
Emotion: boredom, Estimated Intensity: 0.83, RGB: (255, 255, 255), Size: 33
Emotion: neutral, Estimated Intensity: 0.44, RGB: (30, 40, 30), Size: 16
Emotion: sadness, Estimated Intensity: 0.71, RGB: (40, 0, 80), Size: 28
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: anxiety/fear, Estimated Intensity: 0.99, RGB: (127, 127, 127), Size: 39
Emotion: anxiety/fear, Estimated Intensity: 0.98, RGB: (127, 127, 127), Size: 39
Emotion: happiness, Estimated Intensity: 0.97, RGB: (210, 255, 10), Size: 39
Emotion: neutral, Estimated Intensity: 0.44, RGB: (30, 40, 30), Size: 16
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: disgust, Estimated Intensity: 0.60, RGB: (0, 112, 192), Size: 23
Emotion: happiness, Estimated Intensity: 0.77, RGB: (210, 255, 10), Size: 30
Emotion: boredom, Estimated Intensity: 0.72, RGB: (255, 255, 255), Size: 28
Emotion: neutral, Estimated Intensity: 0.99, RGB: (30, 40, 30), Size: 39
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: anxiety/fear, Estimated Intensity: 0.93, RGB: (127, 127, 127), Size: 37
Emotion: disgust, Estimated Intensity: 0.98, RGB: (0, 112, 192), Size: 39
Emotion: happiness, Estimated Intensity: 0.72, RGB: (210, 255, 10), Size: 28
Emotion: happiness, Estimated Intensity: 0.99, RGB: (210, 255, 10), Size: 40
Emotion: boredom, Estimated Intensity: 0.75, RGB: (255, 255, 255), Size: 29
Emotion: neutral, Estimated Intensity: 0.96, RGB: (30, 40, 30), Size: 38
Emotion: disgust, Estimated Intensity: 0.60, RGB: (0, 112, 192), Size: 23
Emotion: boredom, Estimated Intensity: 0.99, RGB: (255, 255, 255), Size: 40
Emotion: neutral, Estimated Intensity: 0.82, RGB: (30, 40, 30), Size: 32
Emotion: anger, Estimated Intensity: 0.93, RGB: (255, 0, 0), Size: 37
Emotion: anxiety/fear, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: boredom, Estimated Intensity: 0.98, RGB: (255, 255, 255), Size: 39
Emotion: neutral, Estimated Intensity: 0.89, RGB: (30, 40, 30), Size: 35
Emotion: sadness, Estimated Intensity: 0.87, RGB: (40, 0, 80), Size: 35
Emotion: anger, Estimated Intensity: 0.92, RGB: (255, 0, 0), Size: 37
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: anxiety/fear, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 40
Emotion: boredom, Estimated Intensity: 0.88, RGB: (255, 255, 255), Size: 35
Emotion: neutral, Estimated Intensity: 0.93, RGB: (30, 40, 30), Size: 37
Emotion: sadness, Estimated Intensity: 1.00, RGB: (40, 0, 80), Size: 40
Emotion: anger, Estimated Intensity: 0.99, RGB: (255, 0, 0), Size: 40
Emotion: anger, Estimated Intensity: 0.99, RGB: (255, 0, 0), Size: 40
Emotion: anxiety/fear, Estimated Intensity: 0.87, RGB: (127, 127, 127), Size: 34
Emotion: happiness, Estimated Intensity: 0.69, RGB: (210, 255, 10), Size: 27
Emotion: boredom, Estimated Intensity: 0.77, RGB: (255, 255, 255), Size: 30
Emotion: neutral, Estimated Intensity: 0.75, RGB: (30, 40, 30), Size: 29
Emotion: sadness, Estimated Intensity: 0.79, RGB: (40, 0, 80), Size: 31
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
Emotion: anxiety/fear, Estimated Intensity: 0.97, RGB: (127, 127, 127), Size: 39
Emotion: boredom, Estimated Intensity: 0.89, RGB: (255, 255, 255), Size: 35
Emotion: neutral, Estimated Intensity: 0.86, RGB: (30, 40, 30), Size: 34
Emotion: neutral, Estimated Intensity: 0.97, RGB: (30, 40, 30), Size: 39
Emotion: anger, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 40
