Emotion: neutral, Estimated Intensity: 0.95, RGB: (30, 40, 30), Size: 19.48987603187561
Emotion: sad, Estimated Intensity: 1.00, RGB: (40, 0, 80), Size: 19.976147413253784
Emotion: sad, Estimated Intensity: 0.48, RGB: (40, 0, 80), Size: 14.827636182308197
Emotion: sad, Estimated Intensity: 0.99, RGB: (40, 0, 80), Size: 19.89816427230835
Emotion: sad, Estimated Intensity: 1.00, RGB: (40, 0, 80), Size: 19.950641989707947
Emotion: sad, Estimated Intensity: 0.95, RGB: (40, 0, 80), Size: 19.47119176387787
Emotion: angry, Estimated Intensity: 0.96, RGB: (255, 0, 0), Size: 19.559192061424255
Emotion: angry, Estimated Intensity: 0.76, RGB: (255, 0, 0), Size: 17.575008273124695
Emotion: angry, Estimated Intensity: 0.85, RGB: (255, 0, 0), Size: 18.5101318359375
Emotion: angry, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 19.993332028388977
Emotion: angry, Estimated Intensity: 0.96, RGB: (255, 0, 0), Size: 19.613916277885437
Emotion: angry, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 19.999639987945557
Emotion: angry, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 19.999452829360962
Emotion: angry, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 19.99954104423523
Emotion: fearful, Estimated Intensity: 0.87, RGB: (127, 127, 127), Size: 18.681949973106384
Emotion: fearful, Estimated Intensity: 0.93, RGB: (127, 127, 127), Size: 19.335914850234985
Emotion: fearful, Estimated Intensity: 0.79, RGB: (127, 127, 127), Size: 17.937559485435486
Emotion: fearful, Estimated Intensity: 0.79, RGB: (127, 127, 127), Size: 17.88327157497406
Emotion: fearful, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 19.959426522254944
Emotion: fearful, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 19.985132813453674
Emotion: fearful, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 19.999608993530273
Emotion: fearful, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 19.999972581863403
Emotion: disgust, Estimated Intensity: 0.99, RGB: (0, 112, 192), Size: 19.943747520446777
Emotion: disgust, Estimated Intensity: 0.98, RGB: (0, 112, 192), Size: 19.79219138622284
Emotion: disgust, Estimated Intensity: 0.95, RGB: (0, 112, 192), Size: 19.517722129821777
Emotion: disgust, Estimated Intensity: 0.98, RGB: (0, 112, 192), Size: 19.822012782096863
Emotion: disgust, Estimated Intensity: 1.00, RGB: (0, 112, 192), Size: 19.999921321868896
Emotion: disgust, Estimated Intensity: 1.00, RGB: (0, 112, 192), Size: 19.993903636932373
Emotion: disgust, Estimated Intensity: 1.00, RGB: (0, 112, 192), Size: 19.99708116054535
Emotion: disgust, Estimated Intensity: 0.99, RGB: (0, 112, 192), Size: 19.851680994033813
Emotion: surprised, Estimated Intensity: 0.95, RGB: (180, 20, 0), Size: 19.471930861473083
Emotion: surprised, Estimated Intensity: 0.95, RGB: (180, 20, 0), Size: 19.466882348060608
Emotion: surprised, Estimated Intensity: 0.78, RGB: (180, 20, 0), Size: 17.80041992664337
Emotion: surprised, Estimated Intensity: 0.84, RGB: (180, 20, 0), Size: 18.37646484375
Emotion: surprised, Estimated Intensity: 0.98, RGB: (180, 20, 0), Size: 19.78696346282959
Emotion: surprised, Estimated Intensity: 0.97, RGB: (180, 20, 0), Size: 19.716179966926575
Emotion: surprised, Estimated Intensity: 0.92, RGB: (180, 20, 0), Size: 19.240428805351257
Emotion: surprised, Estimated Intensity: 0.99, RGB: (180, 20, 0), Size: 19.944544434547424
Emotion: neutral, Estimated Intensity: 0.99, RGB: (30, 40, 30), Size: 19.906281232833862
Emotion: neutral, Estimated Intensity: 0.81, RGB: (30, 40, 30), Size: 18.1098610162735
Emotion: neutral, Estimated Intensity: 0.99, RGB: (30, 40, 30), Size: 19.90381419658661
Emotion: neutral, Estimated Intensity: 1.00, RGB: (30, 40, 30), Size: 19.99810755252838
Emotion: calm, Estimated Intensity: 0.99, RGB: (40, 255, 255), Size: 19.85873579978943
Emotion: calm, Estimated Intensity: 1.00, RGB: (40, 255, 255), Size: 19.998382329940796
Emotion: calm, Estimated Intensity: 1.00, RGB: (40, 255, 255), Size: 19.986218214035034
Emotion: calm, Estimated Intensity: 1.00, RGB: (40, 255, 255), Size: 19.961349964141846
Emotion: calm, Estimated Intensity: 0.93, RGB: (40, 255, 255), Size: 19.295844435691833
Emotion: calm, Estimated Intensity: 1.00, RGB: (40, 255, 255), Size: 19.976893663406372
Emotion: calm, Estimated Intensity: 1.00, RGB: (40, 255, 255), Size: 19.999288320541382
Emotion: calm, Estimated Intensity: 1.00, RGB: (40, 255, 255), Size: 19.999231100082397
Emotion: happy, Estimated Intensity: 1.00, RGB: (210, 255, 10), Size: 19.98906970024109
Emotion: happy, Estimated Intensity: 1.00, RGB: (210, 255, 10), Size: 19.998832941055298
Emotion: happy, Estimated Intensity: 1.00, RGB: (210, 255, 10), Size: 19.973931312561035
Emotion: happy, Estimated Intensity: 1.00, RGB: (210, 255, 10), Size: 19.975571632385254
Emotion: happy, Estimated Intensity: 1.00, RGB: (210, 255, 10), Size: 20.0
Emotion: happy, Estimated Intensity: 1.00, RGB: (210, 255, 10), Size: 20.0
Emotion: happy, Estimated Intensity: 1.00, RGB: (210, 255, 10), Size: 19.999853372573853
Emotion: happy, Estimated Intensity: 1.00, RGB: (210, 255, 10), Size: 19.99999761581421
Emotion: sad, Estimated Intensity: 0.73, RGB: (40, 0, 80), Size: 17.33249545097351
Emotion: sad, Estimated Intensity: 0.99, RGB: (40, 0, 80), Size: 19.85883891582489
Emotion: sad, Estimated Intensity: 1.00, RGB: (40, 0, 80), Size: 19.984207153320312
Emotion: sad, Estimated Intensity: 0.97, RGB: (40, 0, 80), Size: 19.7379207611084
Emotion: sad, Estimated Intensity: 1.00, RGB: (40, 0, 80), Size: 19.999964237213135
Emotion: sad, Estimated Intensity: 1.00, RGB: (40, 0, 80), Size: 19.999780654907227
Emotion: sad, Estimated Intensity: 1.00, RGB: (40, 0, 80), Size: 19.999712705612183
Emotion: sad, Estimated Intensity: 0.99, RGB: (40, 0, 80), Size: 19.938231706619263
Emotion: angry, Estimated Intensity: 0.94, RGB: (255, 0, 0), Size: 19.37263309955597
Emotion: angry, Estimated Intensity: 0.98, RGB: (255, 0, 0), Size: 19.78948414325714
Emotion: angry, Estimated Intensity: 0.66, RGB: (255, 0, 0), Size: 16.555858850479126
Emotion: angry, Estimated Intensity: 0.98, RGB: (255, 0, 0), Size: 19.821743965148926
Emotion: angry, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 19.99998688697815
Emotion: angry, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 19.999964237213135
Emotion: angry, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 19.99999761581421
Emotion: angry, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 19.999840259552002
Emotion: fearful, Estimated Intensity: 0.60, RGB: (127, 127, 127), Size: 16.017504930496216
Emotion: fearful, Estimated Intensity: 0.53, RGB: (127, 127, 127), Size: 15.338179469108582
Emotion: fearful, Estimated Intensity: 0.94, RGB: (127, 127, 127), Size: 19.436780214309692
Emotion: fearful, Estimated Intensity: 0.98, RGB: (127, 127, 127), Size: 19.80600416660309
Emotion: fearful, Estimated Intensity: 0.66, RGB: (127, 127, 127), Size: 16.61228060722351
Emotion: fearful, Estimated Intensity: 0.46, RGB: (127, 127, 127), Size: 14.615563750267029
Emotion: fearful, Estimated Intensity: 0.99, RGB: (127, 127, 127), Size: 19.901069402694702
Emotion: fearful, Estimated Intensity: 0.93, RGB: (127, 127, 127), Size: 19.33489441871643
Emotion: disgust, Estimated Intensity: 1.00, RGB: (0, 112, 192), Size: 19.986716508865356
Emotion: disgust, Estimated Intensity: 0.96, RGB: (0, 112, 192), Size: 19.616807103157043
Emotion: disgust, Estimated Intensity: 1.00, RGB: (0, 112, 192), Size: 19.9974924325943
Emotion: disgust, Estimated Intensity: 1.00, RGB: (0, 112, 192), Size: 19.997219443321228
Emotion: disgust, Estimated Intensity: 0.99, RGB: (0, 112, 192), Size: 19.93650257587433
Emotion: disgust, Estimated Intensity: 1.00, RGB: (0, 112, 192), Size: 19.973024129867554
Emotion: disgust, Estimated Intensity: 1.00, RGB: (0, 112, 192), Size: 19.999672174453735
Emotion: disgust, Estimated Intensity: 1.00, RGB: (0, 112, 192), Size: 19.983086585998535
Emotion: surprised, Estimated Intensity: 1.00, RGB: (180, 20, 0), Size: 19.981968998908997
Emotion: surprised, Estimated Intensity: 1.00, RGB: (180, 20, 0), Size: 19.99835729598999
Emotion: surprised, Estimated Intensity: 1.00, RGB: (180, 20, 0), Size: 19.98101055622101
Emotion: surprised, Estimated Intensity: 1.00, RGB: (180, 20, 0), Size: 19.973379969596863
Emotion: surprised, Estimated Intensity: 1.00, RGB: (180, 20, 0), Size: 19.985100626945496
Emotion: surprised, Estimated Intensity: 1.00, RGB: (180, 20, 0), Size: 19.99890685081482
Emotion: surprised, Estimated Intensity: 0.69, RGB: (180, 20, 0), Size: 16.924262046813965
Emotion: surprised, Estimated Intensity: 0.99, RGB: (180, 20, 0), Size: 19.94505226612091
Emotion: neutral, Estimated Intensity: 1.00, RGB: (30, 40, 30), Size: 19.991451501846313
Emotion: neutral, Estimated Intensity: 1.00, RGB: (30, 40, 30), Size: 19.999865293502808
Emotion: neutral, Estimated Intensity: 0.99, RGB: (30, 40, 30), Size: 19.909417033195496
Emotion: neutral, Estimated Intensity: 0.53, RGB: (30, 40, 30), Size: 15.308573246002197
Emotion: calm, Estimated Intensity: 1.00, RGB: (40, 255, 255), Size: 19.984788298606873
Emotion: calm, Estimated Intensity: 1.00, RGB: (40, 255, 255), Size: 19.994091987609863
Emotion: calm, Estimated Intensity: 0.66, RGB: (40, 255, 255), Size: 16.63829207420349
Emotion: calm, Estimated Intensity: 1.00, RGB: (40, 255, 255), Size: 19.999821186065674
Emotion: calm, Estimated Intensity: 1.00, RGB: (40, 255, 255), Size: 19.999998807907104
Emotion: calm, Estimated Intensity: 1.00, RGB: (40, 255, 255), Size: 19.99085783958435
Emotion: calm, Estimated Intensity: 1.00, RGB: (40, 255, 255), Size: 19.99999761581421
Emotion: calm, Estimated Intensity: 1.00, RGB: (40, 255, 255), Size: 20.0
Emotion: happy, Estimated Intensity: 0.48, RGB: (210, 255, 10), Size: 14.82310801744461
Emotion: happy, Estimated Intensity: 0.97, RGB: (210, 255, 10), Size: 19.655997157096863
Emotion: happy, Estimated Intensity: 0.82, RGB: (210, 255, 10), Size: 18.178531527519226
Emotion: happy, Estimated Intensity: 1.00, RGB: (210, 255, 10), Size: 19.998444318771362
Emotion: happy, Estimated Intensity: 1.00, RGB: (210, 255, 10), Size: 19.999966621398926
Emotion: happy, Estimated Intensity: 1.00, RGB: (210, 255, 10), Size: 19.998722076416016
Emotion: happy, Estimated Intensity: 0.99, RGB: (210, 255, 10), Size: 19.923560619354248
Emotion: happy, Estimated Intensity: 1.00, RGB: (210, 255, 10), Size: 19.99993324279785
Emotion: sad, Estimated Intensity: 1.00, RGB: (40, 0, 80), Size: 19.986671209335327
Emotion: sad, Estimated Intensity: 0.99, RGB: (40, 0, 80), Size: 19.86541509628296
Emotion: sad, Estimated Intensity: 0.99, RGB: (40, 0, 80), Size: 19.93194341659546
Emotion: sad, Estimated Intensity: 1.00, RGB: (40, 0, 80), Size: 19.989331364631653
Emotion: sad, Estimated Intensity: 1.00, RGB: (40, 0, 80), Size: 19.9904602766037
Emotion: sad, Estimated Intensity: 1.00, RGB: (40, 0, 80), Size: 19.985440969467163
Emotion: sad, Estimated Intensity: 1.00, RGB: (40, 0, 80), Size: 19.999631643295288
Emotion: sad, Estimated Intensity: 1.00, RGB: (40, 0, 80), Size: 19.987247586250305
Emotion: angry, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 19.95201587677002
Emotion: angry, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 19.954915642738342
Emotion: angry, Estimated Intensity: 0.92, RGB: (255, 0, 0), Size: 19.239360690116882
Emotion: angry, Estimated Intensity: 0.99, RGB: (255, 0, 0), Size: 19.916167855262756
Emotion: angry, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 19.998750686645508
Emotion: angry, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 19.995537400245667
Emotion: angry, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 19.998457431793213
Emotion: angry, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 19.999996423721313
Emotion: fearful, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 19.973618388175964
Emotion: fearful, Estimated Intensity: 0.99, RGB: (127, 127, 127), Size: 19.93410050868988
Emotion: fearful, Estimated Intensity: 0.99, RGB: (127, 127, 127), Size: 19.927082657814026
Emotion: fearful, Estimated Intensity: 0.99, RGB: (127, 127, 127), Size: 19.938145875930786
Emotion: fearful, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 19.997424483299255
Emotion: fearful, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 20.0
Emotion: fearful, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 19.996203184127808
Emotion: fearful, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 20.0
Emotion: disgust, Estimated Intensity: 0.89, RGB: (0, 112, 192), Size: 18.93328368663788
Emotion: disgust, Estimated Intensity: 0.95, RGB: (0, 112, 192), Size: 19.505475759506226
Emotion: disgust, Estimated Intensity: 1.00, RGB: (0, 112, 192), Size: 19.96890962123871
Emotion: disgust, Estimated Intensity: 1.00, RGB: (0, 112, 192), Size: 19.99967098236084
Emotion: disgust, Estimated Intensity: 1.00, RGB: (0, 112, 192), Size: 19.995673298835754
Emotion: disgust, Estimated Intensity: 1.00, RGB: (0, 112, 192), Size: 19.999793767929077
Emotion: disgust, Estimated Intensity: 1.00, RGB: (0, 112, 192), Size: 19.999876022338867
Emotion: disgust, Estimated Intensity: 1.00, RGB: (0, 112, 192), Size: 19.999845027923584
Emotion: surprised, Estimated Intensity: 1.00, RGB: (180, 20, 0), Size: 19.99913215637207
Emotion: surprised, Estimated Intensity: 1.00, RGB: (180, 20, 0), Size: 19.99044954776764
Emotion: surprised, Estimated Intensity: 1.00, RGB: (180, 20, 0), Size: 20.0
Emotion: surprised, Estimated Intensity: 1.00, RGB: (180, 20, 0), Size: 19.999927282333374
Emotion: surprised, Estimated Intensity: 1.00, RGB: (180, 20, 0), Size: 19.999115467071533
Emotion: surprised, Estimated Intensity: 1.00, RGB: (180, 20, 0), Size: 19.976293444633484
Emotion: surprised, Estimated Intensity: 1.00, RGB: (180, 20, 0), Size: 19.99964475631714
Emotion: surprised, Estimated Intensity: 1.00, RGB: (180, 20, 0), Size: 19.998278617858887
Emotion: neutral, Estimated Intensity: 0.86, RGB: (30, 40, 30), Size: 18.5595440864563
Emotion: neutral, Estimated Intensity: 0.55, RGB: (30, 40, 30), Size: 15.53816020488739
Emotion: neutral, Estimated Intensity: 0.84, RGB: (30, 40, 30), Size: 18.366780877113342
Emotion: neutral, Estimated Intensity: 0.87, RGB: (30, 40, 30), Size: 18.682979941368103
Emotion: calm, Estimated Intensity: 1.00, RGB: (40, 255, 255), Size: 19.98652696609497
Emotion: calm, Estimated Intensity: 1.00, RGB: (40, 255, 255), Size: 19.992627501487732
Emotion: calm, Estimated Intensity: 1.00, RGB: (40, 255, 255), Size: 19.99650001525879
Emotion: calm, Estimated Intensity: 1.00, RGB: (40, 255, 255), Size: 19.995025396347046
Emotion: calm, Estimated Intensity: 1.00, RGB: (40, 255, 255), Size: 19.99969720840454
Emotion: calm, Estimated Intensity: 1.00, RGB: (40, 255, 255), Size: 19.999876022338867
Emotion: calm, Estimated Intensity: 1.00, RGB: (40, 255, 255), Size: 19.999682903289795
Emotion: calm, Estimated Intensity: 1.00, RGB: (40, 255, 255), Size: 19.99857187271118
Emotion: happy, Estimated Intensity: 0.97, RGB: (210, 255, 10), Size: 19.66293215751648
Emotion: happy, Estimated Intensity: 1.00, RGB: (210, 255, 10), Size: 19.978206157684326
Emotion: happy, Estimated Intensity: 0.99, RGB: (210, 255, 10), Size: 19.94214355945587
Emotion: happy, Estimated Intensity: 1.00, RGB: (210, 255, 10), Size: 19.993109703063965
Emotion: happy, Estimated Intensity: 0.98, RGB: (210, 255, 10), Size: 19.766647815704346
Emotion: happy, Estimated Intensity: 0.97, RGB: (210, 255, 10), Size: 19.678258299827576
Emotion: happy, Estimated Intensity: 0.57, RGB: (210, 255, 10), Size: 15.65514624118805
Emotion: happy, Estimated Intensity: 0.99, RGB: (210, 255, 10), Size: 19.865907430648804
Emotion: sad, Estimated Intensity: 0.99, RGB: (40, 0, 80), Size: 19.903488159179688
Emotion: sad, Estimated Intensity: 1.00, RGB: (40, 0, 80), Size: 19.989933371543884
Emotion: sad, Estimated Intensity: 1.00, RGB: (40, 0, 80), Size: 19.985995888710022
Emotion: sad, Estimated Intensity: 1.00, RGB: (40, 0, 80), Size: 19.99991536140442
Emotion: sad, Estimated Intensity: 1.00, RGB: (40, 0, 80), Size: 19.952067732810974
Emotion: sad, Estimated Intensity: 1.00, RGB: (40, 0, 80), Size: 19.98677909374237
Emotion: sad, Estimated Intensity: 0.99, RGB: (40, 0, 80), Size: 19.93423581123352
Emotion: sad, Estimated Intensity: 1.00, RGB: (40, 0, 80), Size: 19.999810457229614
Emotion: angry, Estimated Intensity: 0.99, RGB: (255, 0, 0), Size: 19.945777654647827
Emotion: angry, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 19.972431659698486
Emotion: angry, Estimated Intensity: 0.89, RGB: (255, 0, 0), Size: 18.949991464614868
Emotion: angry, Estimated Intensity: 0.80, RGB: (255, 0, 0), Size: 17.986921072006226
Emotion: angry, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 19.999969005584717
Emotion: angry, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 19.999258518218994
Emotion: angry, Estimated Intensity: 0.95, RGB: (255, 0, 0), Size: 19.52926814556122
Emotion: angry, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 19.999760389328003
Emotion: fearful, Estimated Intensity: 0.98, RGB: (127, 127, 127), Size: 19.782528281211853
Emotion: fearful, Estimated Intensity: 0.92, RGB: (127, 127, 127), Size: 19.17222797870636
Emotion: fearful, Estimated Intensity: 0.92, RGB: (127, 127, 127), Size: 19.221134185791016
Emotion: fearful, Estimated Intensity: 0.62, RGB: (127, 127, 127), Size: 16.199733018875122
Emotion: fearful, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 19.998053908348083
Emotion: fearful, Estimated Intensity: 0.98, RGB: (127, 127, 127), Size: 19.792567491531372
Emotion: fearful, Estimated Intensity: 0.99, RGB: (127, 127, 127), Size: 19.87251043319702
Emotion: fearful, Estimated Intensity: 0.99, RGB: (127, 127, 127), Size: 19.892655611038208
Emotion: disgust, Estimated Intensity: 1.00, RGB: (0, 112, 192), Size: 19.965200424194336
Emotion: disgust, Estimated Intensity: 0.93, RGB: (0, 112, 192), Size: 19.340081214904785
Emotion: disgust, Estimated Intensity: 0.96, RGB: (0, 112, 192), Size: 19.593823552131653
Emotion: disgust, Estimated Intensity: 0.91, RGB: (0, 112, 192), Size: 19.0723317861557
Emotion: disgust, Estimated Intensity: 0.97, RGB: (0, 112, 192), Size: 19.674611687660217
Emotion: disgust, Estimated Intensity: 1.00, RGB: (0, 112, 192), Size: 19.97467875480652
Emotion: disgust, Estimated Intensity: 0.88, RGB: (0, 112, 192), Size: 18.750040531158447
Emotion: disgust, Estimated Intensity: 1.00, RGB: (0, 112, 192), Size: 19.999886751174927
Emotion: surprised, Estimated Intensity: 0.81, RGB: (180, 20, 0), Size: 18.119988441467285
Emotion: surprised, Estimated Intensity: 0.99, RGB: (180, 20, 0), Size: 19.9039089679718
Emotion: surprised, Estimated Intensity: 0.83, RGB: (180, 20, 0), Size: 18.331748247146606
Emotion: surprised, Estimated Intensity: 1.00, RGB: (180, 20, 0), Size: 19.984184503555298
Emotion: surprised, Estimated Intensity: 0.99, RGB: (180, 20, 0), Size: 19.882149696350098
Emotion: surprised, Estimated Intensity: 0.99, RGB: (180, 20, 0), Size: 19.926260113716125
Emotion: surprised, Estimated Intensity: 0.99, RGB: (180, 20, 0), Size: 19.874370098114014
Emotion: surprised, Estimated Intensity: 1.00, RGB: (180, 20, 0), Size: 19.990159273147583
Emotion: neutral, Estimated Intensity: 0.92, RGB: (30, 40, 30), Size: 19.21655535697937
Emotion: neutral, Estimated Intensity: 0.93, RGB: (30, 40, 30), Size: 19.27267074584961
Emotion: neutral, Estimated Intensity: 0.98, RGB: (30, 40, 30), Size: 19.794044494628906
Emotion: neutral, Estimated Intensity: 0.96, RGB: (30, 40, 30), Size: 19.60394263267517
Emotion: calm, Estimated Intensity: 1.00, RGB: (40, 255, 255), Size: 19.98606503009796
Emotion: calm, Estimated Intensity: 1.00, RGB: (40, 255, 255), Size: 19.999507665634155
Emotion: calm, Estimated Intensity: 1.00, RGB: (40, 255, 255), Size: 19.99970555305481
Emotion: calm, Estimated Intensity: 1.00, RGB: (40, 255, 255), Size: 19.987633228302002
Emotion: calm, Estimated Intensity: 0.93, RGB: (40, 255, 255), Size: 19.305508732795715
Emotion: calm, Estimated Intensity: 1.00, RGB: (40, 255, 255), Size: 19.999901056289673
Emotion: calm, Estimated Intensity: 1.00, RGB: (40, 255, 255), Size: 19.999871253967285
Emotion: calm, Estimated Intensity: 1.00, RGB: (40, 255, 255), Size: 19.9994957447052
Emotion: happy, Estimated Intensity: 0.88, RGB: (210, 255, 10), Size: 18.81030559539795
Emotion: happy, Estimated Intensity: 0.99, RGB: (210, 255, 10), Size: 19.853091835975647
Emotion: happy, Estimated Intensity: 0.33, RGB: (210, 255, 10), Size: 13.329506516456604
Emotion: happy, Estimated Intensity: 0.64, RGB: (210, 255, 10), Size: 16.401827931404114
Emotion: happy, Estimated Intensity: 0.97, RGB: (210, 255, 10), Size: 19.686374068260193
Emotion: happy, Estimated Intensity: 1.00, RGB: (210, 255, 10), Size: 19.9621319770813
Emotion: happy, Estimated Intensity: 0.93, RGB: (210, 255, 10), Size: 19.327118396759033
Emotion: happy, Estimated Intensity: 0.91, RGB: (210, 255, 10), Size: 19.129468202590942
Emotion: sad, Estimated Intensity: 0.51, RGB: (40, 0, 80), Size: 15.131667256355286
Emotion: sad, Estimated Intensity: 0.75, RGB: (40, 0, 80), Size: 17.53782033920288
Emotion: sad, Estimated Intensity: 0.61, RGB: (40, 0, 80), Size: 16.056981682777405
Emotion: sad, Estimated Intensity: 0.95, RGB: (40, 0, 80), Size: 19.53343093395233
Emotion: sad, Estimated Intensity: 0.53, RGB: (40, 0, 80), Size: 15.339186191558838
Emotion: sad, Estimated Intensity: 0.99, RGB: (40, 0, 80), Size: 19.902098178863525
Emotion: sad, Estimated Intensity: 0.85, RGB: (40, 0, 80), Size: 18.46805691719055
Emotion: sad, Estimated Intensity: 0.96, RGB: (40, 0, 80), Size: 19.58774745464325
Emotion: angry, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 19.98348116874695
Emotion: angry, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 19.9651837348938
Emotion: angry, Estimated Intensity: 0.99, RGB: (255, 0, 0), Size: 19.903606176376343
Emotion: angry, Estimated Intensity: 0.99, RGB: (255, 0, 0), Size: 19.927514791488647
Emotion: angry, Estimated Intensity: 0.97, RGB: (255, 0, 0), Size: 19.71317172050476
Emotion: angry, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 19.984935522079468
Emotion: angry, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 19.95346963405609
Emotion: angry, Estimated Intensity: 1.00, RGB: (255, 0, 0), Size: 19.999998807907104
Emotion: fearful, Estimated Intensity: 0.97, RGB: (127, 127, 127), Size: 19.706072211265564
Emotion: fearful, Estimated Intensity: 0.68, RGB: (127, 127, 127), Size: 16.836368441581726
Emotion: fearful, Estimated Intensity: 0.79, RGB: (127, 127, 127), Size: 17.898086309432983
Emotion: fearful, Estimated Intensity: 0.76, RGB: (127, 127, 127), Size: 17.57036805152893
Emotion: fearful, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 19.98809814453125
Emotion: fearful, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 19.993428587913513
Emotion: fearful, Estimated Intensity: 1.00, RGB: (127, 127, 127), Size: 19.967514276504517
Emotion: fearful, Estimated Intensity: 0.99, RGB: (127, 127, 127), Size: 19.856181740760803
Emotion: disgust, Estimated Intensity: 0.99, RGB: (0, 112, 192), Size: 19.931634664535522
Emotion: disgust, Estimated Intensity: 1.00, RGB: (0, 112, 192), Size: 19.993345141410828
Emotion: disgust, Estimated Intensity: 0.98, RGB: (0, 112, 192), Size: 19.84830379486084
Emotion: disgust, Estimated Intensity: 0.92, RGB: (0, 112, 192), Size: 19.24685001373291
Emotion: disgust, Estimated Intensity: 1.00, RGB: (0, 112, 192), Size: 19.999783039093018
Emotion: disgust, Estimated Intensity: 1.00, RGB: (0, 112, 192), Size: 19.999244213104248
Emotion: disgust, Estimated Intensity: 0.86, RGB: (0, 112, 192), Size: 18.646177649497986
Emotion: disgust, Estimated Intensity: 0.94, RGB: (0, 112, 192), Size: 19.42671239376068
Emotion: surprised, Estimated Intensity: 0.85, RGB: (180, 20, 0), Size: 18.47557246685028
Emotion: surprised, Estimated Intensity: 0.99, RGB: (180, 20, 0), Size: 19.858874678611755
