,emotion,statements,gender,mfcc
datasources\EMO_DB\EMO_DB_DATA\wav\08a02Na.wav,neutral,She wants to hand that in on Wednesday,female,"[-317.031494140625, 135.49371337890625, -4.60171365737915, 17.925418853759766, 39.47632598876953, 3.87113881111145, 12.986366271972656, 24.48689842224121, -1.0292603969573975, 0.7039193511009216, 14.28368091583252, 3.7166061401367188, 2.7173492908477783, 3.8178226947784424, -10.069071769714355, -5.424954891204834, 7.455899238586426, -0.9953659772872925, -6.222377777099609, -1.0493634939193726]"
datasources\EMO_DB\EMO_DB_DATA\wav\08a02Tb.wav,sadness,She wants to hand that in on Wednesday,female,"[-313.4388732910156, 124.9124755859375, -5.720125198364258, 16.931331634521484, 40.209346771240234, 4.9797492027282715, 10.76031494140625, 25.959930419921875, 3.375297784805298, -0.8214246034622192, 13.746011734008789, 10.33381175994873, 6.379510402679443, 4.671104431152344, -2.0927042961120605, 4.112222671508789, 10.995359420776367, 2.1245596408843994, -1.3336119651794434, 1.9448720216751099]"
datasources\EMO_DB\EMO_DB_DATA\wav\08a02Wc.wav,anger,She wants to hand that in on Wednesday,female,"[-395.2034912109375, 136.89015197753906, -38.454490661621094, -9.930829048156738, 28.262107849121094, -9.663347244262695, -3.4884438514709473, 15.048672676086426, -6.173720836639404, -7.423153877258301, 3.3344457149505615, -3.9721593856811523, 1.2658809423446655, 3.9389488697052, -12.514412879943848, -9.137360572814941, 3.8807549476623535, -4.099855899810791, -8.914562225341797, -4.533648490905762]"
datasources\EMO_DB\EMO_DB_DATA\wav\08a04Ff.wav,happiness,I could tell him Tonight,female,"[-320.9993896484375, 134.1178741455078, 0.5966809391975403, 7.3707594871521, 25.982358932495117, 0.831039309501648, 8.899150848388672, 18.793859481811523, -0.2099929004907608, 1.6758863925933838, 10.687617301940918, 0.10634446144104004, 0.7632007598876953, 3.8328750133514404, -8.65091609954834, -5.0608649253845215, 8.745759963989258, 2.4402685165405273, -4.5809326171875, -1.4559372663497925]"
datasources\EMO_DB\EMO_DB_DATA\wav\08a04La.wav,boredom,I could tell him Tonight,female,"[-281.780517578125, 171.6900634765625, -5.481741905212402, 19.275592803955078, 37.455081939697266, -10.678104400634766, 7.315192222595215, 25.426870346069336, -8.164360046386719, -3.228807210922241, 17.952293395996094, 3.04793381690979, -1.2502949237823486, 1.2515480518341064, -12.218587875366211, -4.017786979675293, 10.163480758666992, -3.0352602005004883, -8.529428482055664, -1.098776936531067]"
datasources\EMO_DB\EMO_DB_DATA\wav\08a04Nc.wav,neutral,I could tell him Tonight,female,"[-317.15020751953125, 148.20216369628906, -2.347806453704834, 22.76668357849121, 41.453285217285156, -4.110263824462891, 5.469878196716309, 24.019088745117188, -0.6431483030319214, -1.3856295347213745, 12.531810760498047, 4.83450984954834, 5.585087299346924, 4.0562238693237305, -12.573471069335938, -5.286802291870117, 10.765678405761719, 1.2008543014526367, -5.805507659912109, -1.1751165390014648]"
datasources\EMO_DB\EMO_DB_DATA\wav\08a04Tb.wav,sadness,I could tell him Tonight,female,"[-348.342529296875, 115.93164825439453, 6.248851776123047, 20.698440551757812, 35.39715576171875, 3.62814998626709, 8.185486793518066, 22.190744400024414, 5.107507705688477, 2.4890716075897217, 13.894647598266602, 9.003835678100586, 4.4716362953186035, 2.9979422092437744, -3.1010499000549316, 2.778465509414673, 11.04830551147461, 4.030852317810059, -0.21564288437366486, 3.233820915222168]"
datasources\EMO_DB\EMO_DB_DATA\wav\08a04Wc.wav,anger,I could tell him Tonight,female,"[-320.496826171875, 155.35964965820312, -43.41836929321289, -12.52195930480957, 25.160951614379883, -22.209592819213867, -11.288361549377441, 14.095329284667969, -12.78051471710205, -13.522627830505371, 5.558130741119385, -4.323029041290283, -5.461299419403076, 0.6413314342498779, -10.746295928955078, -6.551689624786377, 6.570271015167236, -3.1822731494903564, -10.287188529968262, -5.0405120849609375]"
datasources\EMO_DB\EMO_DB_DATA\wav\08a05Fe.wav,happiness,The black piece of paper is up there next to the piece of wood,female,"[-322.0355529785156, 148.22567749023438, -16.850202560424805, 2.4305315017700195, 33.381568908691406, 0.3494640290737152, 4.814221382141113, 14.538496971130371, -4.922293663024902, 2.2776989936828613, 11.526320457458496, -4.935612201690674, -3.243783950805664, 2.753307819366455, -11.060405731201172, -8.080182075500488, 4.8467793464660645, -0.9704222679138184, -3.808300495147705, -1.1952100992202759]"
datasources\EMO_DB\EMO_DB_DATA\wav\08a05Lc.wav,boredom,The black piece of paper is up there next to the piece of wood,female,"[-328.0135192871094, 141.434814453125, -11.441954612731934, 19.52141761779785, 43.71614074707031, -1.3511147499084473, 5.992020130157471, 21.164047241210938, -3.7714688777923584, -1.450176477432251, 11.62005615234375, -0.5883803367614746, -0.702870786190033, 1.2269868850708008, -11.63832950592041, -4.090529918670654, 7.780327320098877, -3.405170202255249, -5.594334602355957, 1.3507646322250366]"
datasources\EMO_DB\EMO_DB_DATA\wav\08a05Nb.wav,neutral,The black piece of paper is up there next to the piece of wood,female,"[-349.44903564453125, 151.662109375, -12.09790325164795, 19.46499252319336, 46.353187561035156, 1.573621153831482, 10.044371604919434, 24.193374633789062, -2.520115852355957, 1.0373694896697998, 14.178720474243164, 1.0466806888580322, 2.4715471267700195, 2.9264347553253174, -14.508387565612793, -5.543028831481934, 10.929869651794434, -1.4510806798934937, -7.327785491943359, -0.3588924705982208]"
datasources\EMO_DB\EMO_DB_DATA\wav\08a05Ta.wav,sadness,The black piece of paper is up there next to the piece of wood,female,"[-329.4913024902344, 135.31243896484375, -2.6408469676971436, 22.797788619995117, 41.684425354003906, 1.2031954526901245, 9.70706844329834, 24.66741371154785, 2.0863380432128906, 3.5089266300201416, 15.615348815917969, 4.971125602722168, 2.8882079124450684, 2.511314868927002, -7.687498569488525, 1.8133912086486816, 12.74583911895752, 1.068997859954834, -2.576295852661133, 2.908693313598633]"
datasources\EMO_DB\EMO_DB_DATA\wav\08a05Wa.wav,anger,The black piece of paper is up there next to the piece of wood,female,"[-290.9668884277344, 149.72857666015625, -44.2475700378418, -3.828009605407715, 33.07313919067383, -20.084041595458984, -9.480802536010742, 16.8778133392334, -8.736249923706055, -9.827591896057129, 2.517997980117798, -9.754449844360352, -4.181365966796875, 2.591249942779541, -13.929401397705078, -8.61063003540039, 6.41333532333374, -4.266915321350098, -8.704771041870117, -2.549856662750244]"
datasources\EMO_DB\EMO_DB_DATA\wav\08a07Fd.wav,happiness,It will be ready in seven hours,female,"[-320.562255859375, 132.09140014648438, -10.816679000854492, 7.746310234069824, 29.610607147216797, 0.07202800363302231, 9.488173484802246, 14.846098899841309, -7.046031951904297, 3.976897954940796, 14.4319429397583, -4.596773147583008, -5.221238136291504, -0.3073299527168274, -12.480247497558594, -6.531123161315918, 6.005871772766113, -2.829249620437622, -6.2963433265686035, -0.7994877099990845]"
datasources\EMO_DB\EMO_DB_DATA\wav\08a07La.wav,boredom,It will be ready in seven hours,female,"[-293.8807373046875, 134.04013061523438, 6.953235149383545, 23.675960540771484, 36.805816650390625, 4.548471927642822, 17.056238174438477, 25.2579402923584, -2.22031831741333, -0.0057048555463552475, 12.523863792419434, 2.2655842304229736, 4.176247596740723, 6.350245952606201, -8.985342979431152, -6.04328727722168, 5.6914849281311035, -0.8829377293586731, -1.908291220664978, 2.1560189723968506]"
datasources\EMO_DB\EMO_DB_DATA\wav\08a07Na.wav,neutral,It will be ready in seven hours,female,"[-292.6171569824219, 134.45529174804688, -2.542570114135742, 17.60257339477539, 37.249603271484375, 4.229139804840088, 15.124239921569824, 25.1591796875, -2.0598151683807373, -1.2536342144012451, 13.086503028869629, 5.065218448638916, 3.7134761810302734, 1.2458882331848145, -12.893381118774414, -5.2674946784973145, 8.157877922058105, -2.083854913711548, -8.695527076721191, -3.6995973587036133]"
datasources\EMO_DB\EMO_DB_DATA\wav\08a07Ta.wav,sadness,It will be ready in seven hours,female,"[-320.6111755371094, 121.56690979003906, -3.0728986263275146, 19.387107849121094, 37.543312072753906, 1.8516055345535278, 11.34693717956543, 27.835416793823242, 6.5771484375, 4.463759899139404, 16.06555938720703, 8.468783378601074, 5.688800811767578, 5.086840629577637, -3.7919509410858154, 2.979684591293335, 12.559112548828125, 3.553962230682373, -1.032208800315857, 2.165243625640869]"
datasources\EMO_DB\EMO_DB_DATA\wav\08a07Tb.wav,sadness,It will be ready in seven hours,female,"[-329.4754638671875, 111.68818664550781, 2.7017881870269775, 21.353330612182617, 35.67856979370117, 3.321601390838623, 10.683055877685547, 24.379148483276367, 5.836874008178711, 3.9300472736358643, 13.71096134185791, 7.8652215003967285, 6.295318126678467, 4.7297773361206055, -3.913776159286499, 2.911383867263794, 11.663871765136719, 3.0778048038482666, -0.6747326254844666, 2.8553879261016846]"
datasources\EMO_DB\EMO_DB_DATA\wav\08a07Wc.wav,anger,It will be ready in seven hours,female,"[-357.4996337890625, 131.36302185058594, -42.84354019165039, -0.8270869851112366, 34.31775665283203, -14.685359954833984, -6.201753616333008, 13.482501029968262, -11.315570831298828, -6.831195831298828, 7.777122974395752, -5.955008029937744, -2.650891065597534, 3.557567596435547, -12.66420841217041, -8.205411911010742, 6.830104827880859, -3.7096683979034424, -11.007104873657227, -5.6154022216796875]"
datasources\EMO_DB\EMO_DB_DATA\wav\08b01Aa.wav,anxiety/fear,What kind of bags are there under the table,female,"[-294.5386962890625, 128.0268096923828, -34.377872467041016, 2.179171323776245, 34.69450759887695, -3.4754114151000977, 11.36916732788086, 26.192947387695312, -4.299927234649658, -3.4042890071868896, 8.407288551330566, -4.553866386413574, 0.7767319679260254, 6.011783123016357, -10.067249298095703, -2.71474552154541, 11.059207916259766, -3.259500026702881, -8.628012657165527, -0.4849444329738617]"
datasources\EMO_DB\EMO_DB_DATA\wav\08b01Fd.wav,happiness,What kind of bags are there under the table,female,"[-302.5994567871094, 148.92633056640625, -28.172616958618164, 3.19189453125, 38.663185119628906, 1.575520634651184, 14.538129806518555, 29.051179885864258, -0.5474562644958496, 0.5392085909843445, 12.056350708007812, -3.5681958198547363, -2.6491429805755615, 2.418891191482544, -11.382708549499512, -6.001961708068848, 7.131762504577637, -2.126490354537964, -6.930426597595215, -3.4875264167785645]"
datasources\EMO_DB\EMO_DB_DATA\wav\08b01Fe.wav,happiness,What kind of bags are there under the table,female,"[-296.49072265625, 130.05096435546875, -27.888086318969727, -3.502816677093506, 32.43783950805664, 4.126291275024414, 10.372579574584961, 19.541221618652344, -2.806234836578369, -0.2316625565290451, 8.046608924865723, -5.600535869598389, -4.286585330963135, -0.9406794309616089, -13.51112174987793, -7.636325836181641, 5.18064546585083, -2.8236031532287598, -7.305646896362305, -3.38855242729187]"
datasources\EMO_DB\EMO_DB_DATA\wav\08b01Lb.wav,boredom,What kind of bags are there under the table,female,"[-285.51617431640625, 156.24551391601562, -29.82542610168457, 12.872605323791504, 48.285011291503906, 1.450623869895935, 16.59074592590332, 30.84548568725586, -6.38643741607666, -2.581876039505005, 15.024158477783203, -2.0942258834838867, -1.310598373413086, 4.710806846618652, -10.475768089294434, -2.539599895477295, 11.242020606994629, -3.750028371810913, -7.668240547180176, 1.471667766571045]"
datasources\EMO_DB\EMO_DB_DATA\wav\08b01Na.wav,neutral,What kind of bags are there under the table,female,"[-273.36138916015625, 143.80543518066406, -20.669654846191406, 11.575039863586426, 43.049766540527344, 3.0736258029937744, 14.277497291564941, 30.618650436401367, 2.4728596210479736, 0.7820817828178406, 12.642332077026367, 1.742193579673767, 1.871067762374878, 1.299983263015747, -12.579583168029785, -2.372986078262329, 10.82580280303955, -3.3886964321136475, -9.265199661254883, -2.330451011657715]"
datasources\EMO_DB\EMO_DB_DATA\wav\08b01Wa.wav,anger,What kind of bags are there under the table,female,"[-322.6577453613281, 118.22726440429688, -36.64076614379883, -2.3654232025146484, 30.848011016845703, -6.749664783477783, 3.282073974609375, 19.428150177001953, -6.656700611114502, -7.8699727058410645, 4.825942039489746, -3.2307496070861816, 0.2043725848197937, 3.4494805335998535, -9.318580627441406, -3.264479160308838, 6.911874771118164, -5.2699875831604, -8.849675178527832, -1.533177375793457]"
datasources\EMO_DB\EMO_DB_DATA\wav\08b02Ff.wav,happiness,They just carried it up and now they're going down again,female,"[-333.24920654296875, 144.148681640625, -11.227124214172363, 2.884976863861084, 27.459178924560547, -4.631540775299072, -0.10566946119070053, 7.579479217529297, -11.253090858459473, -1.623671293258667, 9.55001449584961, -6.023632049560547, -4.318584442138672, 1.652854323387146, -11.375699996948242, -6.098060131072998, 7.843481540679932, -2.8441696166992188, -11.161906242370605, -5.52691650390625]"
datasources\EMO_DB\EMO_DB_DATA\wav\08b02La.wav,boredom,They just carried it up and now they're going down again,female,"[-359.77349853515625, 153.16477966308594, 14.751885414123535, 24.358516693115234, 36.36324691772461, 1.8848305940628052, 9.598980903625488, 16.78236198425293, -5.932785511016846, 1.3706825971603394, 13.744913101196289, -0.18351459503173828, 0.995694100856781, 4.714473724365234, -11.02700424194336, -6.37269401550293, 9.708189010620117, 1.071852445602417, -5.590592861175537, 0.36531397700309753]"
datasources\EMO_DB\EMO_DB_DATA\wav\08b02Nb.wav,neutral,They just carried it up and now they're going down again,female,"[-347.5935363769531, 151.99270629882812, -4.744091987609863, 21.537036895751953, 41.550296783447266, -3.561253547668457, 5.963895320892334, 20.702043533325195, -4.8156538009643555, -0.8222748041152954, 13.18248462677002, 1.560118556022644, 2.827467679977417, 3.748420238494873, -11.719416618347168, -4.259179592132568, 8.880099296569824, -2.3466620445251465, -5.498743534088135, 0.8541215062141418]"
datasources\EMO_DB\EMO_DB_DATA\wav\08b02Tc.wav,sadness,They just carried it up and now they're going down again,female,"[-347.2247009277344, 125.98397827148438, -2.921959400177002, 22.9121150970459, 39.31416320800781, -3.035698652267456, 3.9856908321380615, 20.315000534057617, 1.0602267980575562, 3.900236129760742, 16.181432723999023, 5.883241176605225, 4.188903331756592, 5.046547889709473, -4.552980899810791, 3.1754519939422607, 12.952603340148926, 2.235975742340088, -0.9399496912956238, 4.515150547027588]"
datasources\EMO_DB\EMO_DB_DATA\wav\08b02Wd.wav,anger,They just carried it up and now they're going down again,female,"[-330.9606018066406, 143.99270629882812, -31.10256576538086, -0.7989709973335266, 30.13502311706543, -14.462728500366211, -5.172487735748291, 14.205377578735352, -10.058552742004395, -8.534979820251465, 4.44592809677124, -5.993695259094238, -0.3061375021934509, 5.745054244995117, -10.202598571777344, -5.820241928100586, 7.693271160125732, -3.4185779094696045, -8.516633033752441, -1.1113885641098022]"
datasources\EMO_DB\EMO_DB_DATA\wav\08b03Fe.wav,happiness,I used to go home on the weekends and visit Agnes,female,"[-357.28594970703125, 137.55117797851562, -5.6285176277160645, 3.5814406871795654, 26.360092163085938, -0.5815042853355408, 3.4106616973876953, 10.212178230285645, -6.858846664428711, 0.7882756590843201, 10.70020866394043, -3.100694417953491, -2.2346277236938477, 2.9106667041778564, -9.350831985473633, -6.533205986022949, 5.547736644744873, -1.6515716314315796, -6.492985248565674, -1.3581334352493286]"
datasources\EMO_DB\EMO_DB_DATA\wav\08b03Lc.wav,boredom,I used to go home on the weekends and visit Agnes,female,"[-292.36114501953125, 168.4375457763672, 9.940706253051758, 25.073945999145508, 39.90086364746094, -3.8221473693847656, 4.782375335693359, 19.47606086730957, -4.833792209625244, -1.0263625383377075, 13.803505897521973, 2.692225456237793, 3.6002509593963623, 4.9122843742370605, -12.237520217895508, -4.734344959259033, 13.280426979064941, 0.5308215618133545, -9.428393363952637, -1.0089762210845947]"
datasources\EMO_DB\EMO_DB_DATA\wav\08b03Nb.wav,neutral,I used to go home on the weekends and visit Agnes,female,"[-309.17022705078125, 150.8491973876953, -0.725666880607605, 18.862537384033203, 40.68977355957031, -2.525844097137451, -1.6942306756973267, 14.085917472839355, -2.140446186065674, -1.1466015577316284, 7.23568058013916, -0.20858779549598694, 4.623730659484863, 4.231410980224609, -12.654657363891602, -5.944601535797119, 8.325653076171875, -1.7398595809936523, -6.292239665985107, 0.061869360506534576]"
datasources\EMO_DB\EMO_DB_DATA\wav\08b03Tc.wav,sadness,I used to go home on the weekends and visit Agnes,female,"[-331.8072204589844, 133.7851104736328, 5.23937463760376, 21.604175567626953, 38.82468795776367, 3.3002769947052, 9.798906326293945, 25.175973892211914, 3.8470451831817627, 1.058976411819458, 14.878500938415527, 8.745024681091309, 4.062037467956543, 3.7992663383483887, -3.6010632514953613, 2.3045589923858643, 12.012041091918945, 3.1489551067352295, -3.044297218322754, 0.9131228923797607]"
datasources\EMO_DB\EMO_DB_DATA\wav\08b03Wd.wav,anger,I used to go home on the weekends and visit Agnes,female,"[-399.3470458984375, 144.0222930908203, -16.75119400024414, 2.387955665588379, 27.715524673461914, -10.30916690826416, -2.5008187294006348, 14.11205005645752, -7.256906509399414, -6.425997257232666, 5.792328357696533, -2.4501192569732666, 0.4753459393978119, 2.971914768218994, -10.826325416564941, -4.643535137176514, 8.117527961730957, -3.653395891189575, -10.053577423095703, -2.813382387161255]"
datasources\EMO_DB\EMO_DB_DATA\wav\08b09Ab.wav,anxiety/fear,I want to take that away and then go have a drink with Karl,female,"[-325.09600830078125, 140.02517700195312, -21.20367431640625, 2.2454442977905273, 31.57022476196289, -4.779233932495117, 3.883979320526123, 19.520261764526367, -3.6446831226348877, -2.6096603870391846, 10.235676765441895, -0.24917802214622498, -1.336537480354309, 0.608210027217865, -8.931591987609863, -1.159559726715088, 7.372091770172119, -5.120646953582764, -6.439460754394531, 1.1817708015441895]"
datasources\EMO_DB\EMO_DB_DATA\wav\08b09Fd.wav,happiness,I want to take that away and then go have a drink with Karl,female,"[-334.76104736328125, 140.07386779785156, -14.211381912231445, 0.714677095413208, 29.743867874145508, 1.875954031944275, 7.524680137634277, 16.432170867919922, -3.5341832637786865, 0.2708604037761688, 7.38327169418335, -6.8595380783081055, -2.017402172088623, 4.626363277435303, -12.6049165725708, -11.944297790527344, 4.017343521118164, -1.1507009267807007, -6.909458160400391, -2.069995880126953]"
datasources\EMO_DB\EMO_DB_DATA\wav\08b09Lc.wav,boredom,I want to take that away and then go have a drink with Karl,female,"[-304.5165710449219, 142.529052734375, 5.959376335144043, 21.37240982055664, 35.63136672973633, 3.67767071723938, 18.26601791381836, 25.86886215209961, -5.009531021118164, -0.0971866101026535, 18.18477439880371, 6.114957332611084, 2.593074321746826, 4.321633815765381, -7.889934539794922, -1.6154484748840332, 10.475445747375488, -1.2944161891937256, -6.1944756507873535, 1.0910801887512207]"
datasources\EMO_DB\EMO_DB_DATA\wav\08b09Nb.wav,neutral,I want to take that away and then go have a drink with Karl,female,"[-330.8925476074219, 137.6466827392578, 4.371759414672852, 16.99933624267578, 36.228878021240234, 6.701053619384766, 15.487370491027832, 26.523094177246094, 0.6851726174354553, -2.8466601371765137, 11.665775299072266, 7.398618698120117, 4.218952178955078, 0.6536112427711487, -10.991385459899902, -3.806490421295166, 7.816641330718994, -3.0097076892852783, -9.046248435974121, -1.2090694904327393]"
datasources\EMO_DB\EMO_DB_DATA\wav\08b09Tb.wav,sadness,I want to take that away and then go have a drink with Karl,female,"[-372.0715637207031, 102.56783294677734, 9.402956008911133, 18.210954666137695, 29.84404182434082, 7.4768242835998535, 13.753174781799316, 23.812114715576172, 7.692375183105469, 3.798248291015625, 11.616938591003418, 8.268869400024414, 5.074928283691406, 2.1229255199432373, -2.4014978408813477, 4.363653182983398, 8.783844947814941, 0.5836808085441589, -0.6082640290260315, 2.930945873260498]"
datasources\EMO_DB\EMO_DB_DATA\wav\08b09Wa.wav,anger,I want to take that away and then go have a drink with Karl,female,"[-340.6656494140625, 139.6260528564453, -29.867313385009766, -1.4207967519760132, 34.561370849609375, -4.013271808624268, 1.6485904455184937, 17.974536895751953, -6.766025543212891, -9.143916130065918, 3.5334062576293945, -4.158185005187988, -1.6927132606506348, 1.5732065439224243, -11.12171745300293, -5.239908218383789, 6.50840950012207, -5.525446891784668, -10.532387733459473, -1.4072024822235107]"
datasources\EMO_DB\EMO_DB_DATA\wav\08b09Wc.wav,anger,I want to take that away and then go have a drink with Karl,female,"[-356.85546875, 137.8317108154297, -28.345956802368164, -2.706571340560913, 32.77534484863281, -2.6190383434295654, 3.3853166103363037, 18.97159767150879, -4.755100727081299, -7.1424665451049805, 5.302847385406494, -1.6208692789077759, -0.4765278100967407, 1.1630107164382935, -9.928211212158203, -3.212961196899414, 6.603498458862305, -5.66170597076416, -9.297394752502441, -0.3213786482810974]"
datasources\EMO_DB\EMO_DB_DATA\wav\08b10Aa.wav,anxiety/fear,It will be in the place where we always put it,female,"[-311.9411926269531, 139.58917236328125, -27.024940490722656, 2.792854070663452, 34.850791931152344, -2.5401723384857178, 8.596800804138184, 22.506372451782227, -5.2354230880737305, -3.4996092319488525, 9.812832832336426, -1.1846752166748047, 1.3109294176101685, 3.1315484046936035, -11.634490966796875, -2.697010040283203, 10.238636016845703, -4.26570463180542, -8.702840805053711, -0.3657072186470032]"
datasources\EMO_DB\EMO_DB_DATA\wav\08b10Fd.wav,happiness,It will be in the place where we always put it,female,"[-299.8846130371094, 144.12277221679688, -17.743297576904297, -0.018180714920163155, 32.31005859375, 3.478454828262329, 9.470001220703125, 18.5784969329834, -4.288948059082031, -2.7149696350097656, 5.78486442565918, -5.703065872192383, -1.0006539821624756, 3.068289041519165, -13.114720344543457, -8.142217636108398, 7.793203353881836, -1.7125648260116577, -9.663496017456055, -3.4706645011901855]"
datasources\EMO_DB\EMO_DB_DATA\wav\08b10La.wav,boredom,It will be in the place where we always put it,female,"[-301.9567565917969, 150.14300537109375, 1.2834203243255615, 19.40920639038086, 40.684627532958984, 8.088126182556152, 19.493215560913086, 26.61167335510254, -4.833245277404785, -2.0634138584136963, 15.376782417297363, 3.9833312034606934, -0.18948979675769806, 1.5839976072311401, -8.13585090637207, -2.2639553546905518, 7.652553558349609, -1.3659533262252808, -5.17637825012207, -3.5245673656463623]"
datasources\EMO_DB\EMO_DB_DATA\wav\08b10Nc.wav,neutral,It will be in the place where we always put it,female,"[-331.63165283203125, 142.19114685058594, -4.15770149230957, 16.524797439575195, 40.79817581176758, 7.502767562866211, 16.737133026123047, 27.24053192138672, -1.459926724433899, -3.9656882286071777, 10.576311111450195, 5.837090492248535, 5.717658996582031, 2.046501398086548, -11.64773941040039, -2.552461862564087, 8.888779640197754, -3.2500858306884766, -6.226696968078613, 0.1092410758137703]"
datasources\EMO_DB\EMO_DB_DATA\wav\08b10Tc.wav,sadness,It will be in the place where we always put it,female,"[-352.3261413574219, 129.89926147460938, -5.04828405380249, 15.69035530090332, 37.23097610473633, 3.696390390396118, 11.691171646118164, 25.372901916503906, 3.9777886867523193, 3.2171738147735596, 14.509349822998047, 7.157600402832031, 5.9843268394470215, 5.5556159019470215, -3.261024236679077, 3.796104669570923, 11.069842338562012, 1.4059096574783325, 0.84972083568573, 4.705744743347168]"
