,emotion,statements,situation,gender,mfcc
datasources\LDC_female\wav\3AX1s0041.wav,anxiety,four thousand eight,conversation,female,"[-463.3143310546875, 123.7562255859375, -48.44834899902344, 60.33340072631836, 22.10127830505371, -7.082960605621338, 37.73967742919922, -5.294386386871338, -0.8284326195716858, 16.761552810668945, -11.105079650878906, -1.2832809686660767, -3.2450335025787354, -8.119035720825195, 3.859600305557251, -3.998504638671875, 1.1955991983413696, 0.24073606729507446, -9.60932731628418, 1.31040358543396]"
datasources\LDC_female\wav\3AX1s0042.wav,anxiety,four thousand eight,conversation,female,"[-476.382080078125, 138.6825714111328, -63.835693359375, 67.70001220703125, 26.524429321289062, -9.597352027893066, 40.616031646728516, -7.21602725982666, -0.278193861246109, 19.108339309692383, -11.37882137298584, 2.386641263961792, -1.3683639764785767, -7.266429901123047, 5.984478950500488, -5.336551666259766, 1.9072976112365723, 1.240925669670105, -10.810481071472168, 3.1474802494049072]"
datasources\LDC_female\wav\3AX1s0060.wav,anxiety,nine thousand six,conversation,female,"[-419.91473388671875, 134.52235412597656, -82.62224578857422, 75.58638000488281, 13.27315616607666, -22.242839813232422, 48.982418060302734, -7.816340446472168, -1.525195837020874, 20.009727478027344, -12.739511489868164, 2.044389009475708, -5.973150253295898, -5.955887317657471, 9.761140823364258, -7.548243045806885, 3.7653355598449707, 1.4796764850616455, -11.769850730895996, 6.5394744873046875]"
datasources\LDC_female\wav\3AX1s0061.wav,anxiety,nine thousand six,conversation,female,"[-463.40679931640625, 142.58087158203125, -93.90642547607422, 83.91461944580078, 14.18848991394043, -23.868148803710938, 54.36844253540039, -8.852243423461914, 0.2657238245010376, 23.40163803100586, -11.435842514038086, 6.684060573577881, -5.70817756652832, -6.718169689178467, 12.096735954284668, -8.054964065551758, 4.031412601470947, 3.013146162033081, -10.742968559265137, 7.5565667152404785]"
datasources\LDC_female\wav\3AX1s0062.wav,anxiety,nine thousand six,conversation,female,"[-437.1770935058594, 128.9915008544922, -89.54805755615234, 81.35952758789062, 14.695474624633789, -25.380672454833984, 49.35947799682617, -5.6846513748168945, 1.9940446615219116, 20.517688751220703, -12.0704984664917, 6.146813869476318, -5.3062543869018555, -4.696512699127197, 13.887808799743652, -6.847001075744629, 3.969862461090088, 2.7103381156921387, -11.237632751464844, 7.543160915374756]"
datasources\LDC_female\wav\3AX1s0070.wav,anxiety,seven hundred,conversation,female,"[-442.6249084472656, 147.37545776367188, -73.9628677368164, 59.753841400146484, 16.142539978027344, -16.7540225982666, 43.8459587097168, -2.8030290603637695, 4.07072114944458, 24.246170043945312, -12.010305404663086, -3.4219017028808594, -2.97955060005188, -3.8838999271392822, 7.250409126281738, -3.729530096054077, 4.193291664123535, -0.6923664212226868, -10.29529094696045, 7.425261497497559]"
datasources\LDC_female\wav\3AX1s0071.wav,anxiety,seven hundred,conversation,female,"[-446.9089050292969, 149.4786376953125, -70.73792266845703, 57.02813720703125, 13.072176933288574, -15.760988235473633, 43.57427215576172, -5.296019554138184, 4.835578918457031, 28.834360122680664, -9.185150146484375, -4.80678129196167, -5.868508815765381, -6.585850715637207, 5.397652626037598, -4.853511810302734, 2.2171266078948975, -1.2682043313980103, -8.622968673706055, 5.863127708435059]"
datasources\LDC_female\wav\3AX1s0072.wav,anxiety,seven hundred,conversation,female,"[-439.1965026855469, 134.6986541748047, -64.72820281982422, 52.9857063293457, 14.47372817993164, -13.761457443237305, 42.47166442871094, -3.323167324066162, 0.0287441685795784, 24.856138229370117, -8.17082691192627, -6.002923488616943, -4.584966659545898, -5.794710636138916, 5.050023555755615, -3.2352852821350098, 1.5257707834243774, -0.8226203322410583, -8.18692684173584, 5.324853897094727]"
datasources\LDC_female\wav\3AX1s0080.wav,anxiety,six thousand twelve,conversation,female,"[-422.2370910644531, 143.38185119628906, -69.37590026855469, 73.5470962524414, 21.692453384399414, -22.31009864807129, 34.624778747558594, -12.614176750183105, -3.840242385864258, 19.54026985168457, -9.562751770019531, 3.2806572914123535, -3.07826566696167, -6.193731784820557, 10.237982749938965, -3.9479920864105225, 0.8538888692855835, 1.5851550102233887, -8.605969429016113, 4.148166179656982]"
datasources\LDC_female\wav\3AX1s0081.wav,anxiety,six thousand twelve,conversation,female,"[-423.16424560546875, 125.34435272216797, -50.80848693847656, 64.17638397216797, 17.883193969726562, -17.28659439086914, 30.80622100830078, -12.247488021850586, -3.854644536972046, 20.324277877807617, -6.749612331390381, 1.452130913734436, -2.02253794670105, -5.973641395568848, 7.606877326965332, -3.5763463973999023, -1.2107858657836914, 0.7263133525848389, -7.161520481109619, 1.9392284154891968]"
datasources\LDC_female\wav\3AX1s0082.wav,anxiety,six thousand twelve,conversation,female,"[-426.4866638183594, 136.73797607421875, -63.08904266357422, 68.86509704589844, 14.646591186523438, -20.433712005615234, 36.84175109863281, -14.195754051208496, -4.675643444061279, 21.489681243896484, -7.4382219314575195, 3.794475793838501, -3.809939384460449, -8.788140296936035, 7.98541784286499, -4.344009876251221, -0.32307764887809753, 0.8387148976325989, -8.239145278930664, 3.284066915512085]"
datasources\LDC_female\wav\3AX1s0090.wav,anxiety,three thousand eight,conversation,female,"[-457.3086242675781, 138.83193969726562, -52.72347640991211, 52.13623046875, 22.954896926879883, -3.4298171997070312, 42.01118850708008, 0.06534040719270706, -1.780922293663025, 13.964746475219727, -9.902650833129883, -3.125617265701294, -5.647863864898682, -7.744531631469727, 0.40665876865386963, -7.195822238922119, 1.1330034732818604, -2.019737482070923, -10.130242347717285, 2.7124571800231934]"
datasources\LDC_female\wav\3AX1s0091.wav,anxiety,three thousand eight,conversation,female,"[-467.6744079589844, 135.57737731933594, -58.7103157043457, 58.254859924316406, 23.659805297851562, -4.784241199493408, 43.20344924926758, -1.2391746044158936, 2.593393325805664, 17.4862003326416, -10.533263206481934, 3.0466904640197754, -2.6680147647857666, -10.265508651733398, 4.45064115524292, -4.457606315612793, -1.2600080966949463, -2.123270034790039, -10.252969741821289, 1.439702033996582]"
datasources\LDC_female\wav\3AX1s0092.wav,anxiety,three thousand eight,conversation,female,"[-462.61968994140625, 108.73731231689453, -50.73664093017578, 51.35816955566406, 28.69719886779785, 0.5543431043624878, 39.06838607788086, 2.6599788665771484, 0.07314585149288177, 15.011900901794434, -6.089361190795898, -0.5314950346946716, -4.838563919067383, -9.425195693969727, 2.301631450653076, -3.4959115982055664, -0.7121666669845581, -0.0008050859905779362, -5.091383457183838, 2.678238868713379]"
datasources\LDC_female\wav\3AX1s3250.wav,anxiety,june twenty-first,conversation,female,"[-515.5549926757812, 158.06837463378906, -86.75978088378906, 69.76079559326172, 14.557567596435547, -18.307466506958008, 46.36231994628906, -8.524291038513184, 13.254373550415039, 28.696815490722656, -17.315412521362305, 7.428335666656494, 1.0240381956100464, -9.075718879699707, 9.867609024047852, -6.330296039581299, 1.3464488983154297, 3.328195571899414, -7.960270404815674, 6.239194869995117]"
datasources\LDC_female\wav\3AX1s3251.wav,anxiety,june twenty-first,conversation,female,"[-515.5771484375, 151.8268585205078, -84.32128143310547, 64.62825012207031, 14.90541934967041, -18.1440486907959, 41.961212158203125, -8.890865325927734, 8.74979305267334, 24.832321166992188, -11.269826889038086, 9.230392456054688, -3.5016212463378906, -10.3247709274292, 9.856910705566406, -6.175564289093018, 1.8389651775360107, 2.283451795578003, -9.1449613571167, 5.456742286682129]"
datasources\LDC_female\wav\3AX1s3252.wav,anxiety,june twenty-first,conversation,female,"[-514.5523071289062, 143.03150939941406, -77.35186767578125, 65.84159088134766, 15.697535514831543, -15.761420249938965, 41.80805206298828, -8.021940231323242, 9.592744827270508, 25.144010543823242, -11.71817398071289, 7.50798225402832, -2.6218721866607666, -9.01961898803711, 8.831247329711914, -6.679233074188232, 1.7342830896377563, 2.9952023029327393, -8.07358455657959, 4.002510070800781]"
datasources\LDC_female\wav\3AX1s3450.wav,anxiety,may twenty-third,conversation,female,"[-521.3224487304688, 144.55792236328125, -37.592185974121094, 54.41312789916992, 13.80701732635498, -5.075112819671631, 41.798805236816406, -1.5073199272155762, 8.29415512084961, 23.031932830810547, -12.134727478027344, -1.1880993843078613, -1.4459104537963867, -9.2949857711792, 1.5980803966522217, -4.289491653442383, 2.166145086288452, 2.0997235774993896, -6.179081916809082, 2.498342275619507]"
datasources\LDC_female\wav\3AX1s3451.wav,anxiety,may twenty-third,conversation,female,"[-522.0779418945312, 136.58486938476562, -42.145694732666016, 50.55720138549805, 10.733097076416016, -6.8980865478515625, 43.87543869018555, 2.236802339553833, 6.819071292877197, 20.853822708129883, -9.896663665771484, -0.8483757972717285, -1.7004961967468262, -4.153291702270508, 6.119994640350342, -3.945589065551758, 2.683556318283081, 2.3145596981048584, -6.327419281005859, 4.079171657562256]"
datasources\LDC_female\wav\3AX1s3452.wav,anxiety,may twenty-third,conversation,female,"[-498.92718505859375, 128.15769958496094, -30.44094467163086, 43.210506439208984, 12.902617454528809, 1.1740126609802246, 42.385215759277344, 3.7811264991760254, 6.0275983810424805, 16.471607208251953, -11.739789962768555, -2.3873538970947266, -1.7952511310577393, -6.622708320617676, 2.323002815246582, -4.866884231567383, 0.47045907378196716, 1.325222134590149, -5.6426591873168945, 2.9890198707580566]"
datasources\LDC_female\wav\3BD1s0100.wav,boredom,april fifteenth,conversation,female,"[-380.3721008300781, 128.6641082763672, -55.973052978515625, 48.23273849487305, 26.190263748168945, 2.300632953643799, 34.64264678955078, -5.656606197357178, 5.781152248382568, 16.852033615112305, -7.57487678527832, 10.10192584991455, -0.36138916015625, -12.113639831542969, 4.339023113250732, -0.7335072755813599, 1.5451635122299194, -2.6907949447631836, -9.548973083496094, 3.922989845275879]"
datasources\LDC_female\wav\3BD1s0101.wav,boredom,april fifteenth,conversation,female,"[-425.302734375, 136.421630859375, -65.44152069091797, 56.740779876708984, 28.214599609375, 1.027532935142517, 39.26182556152344, -6.128688335418701, 6.974715232849121, 18.520368576049805, -6.383065223693848, 14.456852912902832, -0.49820244312286377, -10.275121688842773, 8.8325777053833, -2.423644781112671, 3.26560115814209, 1.4850201606750488, -10.90329360961914, 3.6982102394104004]"
datasources\LDC_female\wav\3BD1s0110.wav,boredom,eight thousand six,conversation,female,"[-328.7837219238281, 128.88238525390625, -82.30657196044922, 71.46028137207031, 25.507165908813477, -12.52001667022705, 41.4680290222168, -4.804731369018555, 4.967477798461914, 11.515217781066895, -15.260345458984375, 11.336271286010742, -4.872542381286621, -13.773235321044922, 6.891213417053223, -5.025572299957275, 2.8216495513916016, 0.18053655326366425, -9.526613235473633, 3.9955978393554688]"
datasources\LDC_female\wav\3BD1s0111.wav,boredom,eight thousand six,conversation,female,"[-337.48382568359375, 121.90921020507812, -79.77497863769531, 71.0184097290039, 27.62787437438965, -10.949525833129883, 39.619590759277344, -3.596776247024536, 5.690394878387451, 11.406567573547363, -10.916024208068848, 14.799229621887207, -6.490067958831787, -16.55535125732422, 5.545065879821777, -6.1421895027160645, 0.8720302581787109, -0.7339180111885071, -9.585226058959961, 3.851531505584717]"
datasources\LDC_female\wav\3BD1s0112.wav,boredom,eight thousand six,conversation,female,"[-319.0506591796875, 134.138427734375, -87.39462280273438, 66.75201416015625, 22.943967819213867, -14.558156967163086, 41.63404083251953, -2.4882559776306152, 7.961365699768066, 11.504617691040039, -18.04706382751465, 12.839887619018555, -1.9830762147903442, -17.073833465576172, 3.279850482940674, -4.796084880828857, 1.7694188356399536, -1.7738990783691406, -9.997743606567383, 3.3752856254577637]"
datasources\LDC_female\wav\3BD1s0120.wav,boredom,five thousand twelve,conversation,female,"[-318.68218994140625, 164.93287658691406, -43.84881591796875, 52.52812194824219, 17.934383392333984, -14.8817777633667, 24.18252182006836, -17.32276153564453, -5.86883020401001, 17.093746185302734, -9.78032112121582, 2.6725008487701416, -0.888710081577301, -12.45553970336914, 2.821831226348877, -0.21424347162246704, 1.4421957731246948, 2.2788281440734863, -2.754640817642212, 2.921903371810913]"
datasources\LDC_female\wav\3BD1s0121.wav,boredom,five thousand twelve,conversation,female,"[-308.8813171386719, 155.2080841064453, -49.12161636352539, 55.29964065551758, 14.71741008758545, -19.941600799560547, 24.864452362060547, -17.90345001220703, -6.388957977294922, 19.99203109741211, -7.292263031005859, 4.002289772033691, -1.2443352937698364, -14.367610931396484, 1.9060299396514893, -0.7230111360549927, 0.3256199061870575, -0.0007309032371267676, -6.712505340576172, 0.8579343557357788]"
datasources\LDC_female\wav\3BD1s0122.wav,boredom,five thousand twelve,conversation,female,"[-349.49725341796875, 169.12281799316406, -35.83666229248047, 46.933292388916016, 18.91204071044922, -9.108552932739258, 21.742069244384766, -17.473844528198242, -2.4095828533172607, 18.502443313598633, -8.834005355834961, 3.927947521209717, 3.3148910999298096, -11.07990837097168, -5.429595470428467, -6.012000560760498, 3.4185848236083984, 1.2731233835220337, -6.388762950897217, 2.648467779159546]"
datasources\LDC_female\wav\3BD1s0130.wav,boredom,july fourteenth,conversation,female,"[-375.9203186035156, 150.6714324951172, -59.13236999511719, 57.61772537231445, 23.417152404785156, -4.966196537017822, 34.88850784301758, -11.953451156616211, 4.391298770904541, 20.93939781188965, -9.94332504272461, 7.344525337219238, -1.073170781135559, -12.097066879272461, 4.428204536437988, -0.5556793212890625, 3.7675657272338867, -1.156762719154358, -7.514457702636719, 5.781606197357178]"
datasources\LDC_female\wav\3BD1s0131.wav,boredom,july fourteenth,conversation,female,"[-413.982421875, 158.42227172851562, -74.58552551269531, 65.2779312133789, 25.660863876342773, -8.138815879821777, 37.98977279663086, -13.641024589538574, 3.3068552017211914, 19.55997657775879, -8.526512145996094, 14.25787353515625, -1.8515514135360718, -11.00722885131836, 11.282806396484375, -1.4747051000595093, 3.6382498741149902, 2.7630109786987305, -7.350081920623779, 5.182831287384033]"
datasources\LDC_female\wav\3BD1s0150.wav,boredom,nine hundred four,conversation,female,"[-370.60870361328125, 165.00357055664062, -15.305074691772461, 37.480873107910156, 9.794103622436523, -3.2863380908966064, 18.91493797302246, -15.883164405822754, 10.47274398803711, 27.742341995239258, -6.854366779327393, -2.6521475315093994, -3.3990466594696045, -9.391237258911133, -4.632051467895508, -7.216253757476807, 2.94498348236084, -2.510305404663086, -8.046213150024414, 4.312587261199951]"
datasources\LDC_female\wav\3BD1s0151.wav,boredom,nine hundred four,conversation,female,"[-410.4388427734375, 165.2644500732422, -19.793420791625977, 54.815452575683594, 14.747742652893066, -7.752403736114502, 30.080120086669922, -5.287024974822998, 10.692913055419922, 26.4432430267334, -6.114091396331787, -2.4792368412017822, -6.850165367126465, -9.955192565917969, -0.4487656056880951, -6.760908126831055, -0.13443008065223694, -3.5042154788970947, -5.2539286613464355, 6.267226696014404]"
datasources\LDC_female\wav\3BD1s0152.wav,boredom,nine hundred four,conversation,female,"[-415.2820739746094, 178.84774780273438, -20.635513305664062, 48.31572723388672, 12.421762466430664, -5.6136908531188965, 25.512088775634766, -10.47737979888916, 10.379424095153809, 20.866464614868164, -8.07279109954834, 2.2167201042175293, -8.740917205810547, -10.9823579788208, 3.1776487827301025, -6.6165080070495605, 0.2249971479177475, -2.097632646560669, -4.591212749481201, 8.710066795349121]"
datasources\LDC_female\wav\3BD1s0160.wav,boredom,october sixth,conversation,female,"[-370.19970703125, 141.77638244628906, -60.27888488769531, 57.941680908203125, 21.282421112060547, -6.635980606079102, 32.41625213623047, -7.644209384918213, 10.487239837646484, 14.733098983764648, -13.933443069458008, 8.906350135803223, -4.6866374015808105, -11.95790958404541, 4.469827175140381, -5.223087787628174, 4.377669811248779, -0.9866982698440552, -10.088729858398438, 5.818359375]"
datasources\LDC_female\wav\3BD1s0161.wav,boredom,october sixth,conversation,female,"[-369.6068420410156, 113.03018188476562, -39.38812255859375, 47.541358947753906, 21.415203094482422, -2.492689847946167, 28.61846351623535, 0.4249640107154846, 11.966065406799316, 15.715194702148438, -11.532552719116211, 3.6743032932281494, -0.9592992663383484, -8.86805248260498, 2.62902569770813, -3.8021085262298584, 1.7256431579589844, 1.6622155904769897, -6.05521821975708, 2.136906385421753]"
datasources\LDC_female\wav\3BD1s0162.wav,boredom,october sixth,conversation,female,"[-393.6302185058594, 134.33607482910156, -69.2950210571289, 67.93470764160156, 20.933734893798828, -9.713261604309082, 38.840579986572266, -7.140219211578369, 9.64738941192627, 14.267402648925781, -15.689589500427246, 14.127815246582031, 0.7992432713508606, -9.010024070739746, 9.19403076171875, -4.84848690032959, 3.06575870513916, 2.0969691276550293, -7.987821102142334, 4.84795618057251]"
datasources\LDC_female\wav\3BD1s0170.wav,boredom,one hundred twelve,conversation,female,"[-397.45257568359375, 180.20004272460938, -42.2251091003418, 55.453346252441406, 18.539230346679688, -11.768404006958008, 28.26102638244629, -13.479286193847656, 0.4884755611419678, 21.09789276123047, -3.5336313247680664, 5.068308353424072, -8.018143653869629, -10.838997840881348, 7.978221416473389, -4.534022808074951, -2.2362921237945557, -0.445148766040802, -4.849687576293945, 5.549992561340332]"
datasources\LDC_female\wav\3BD1s0171.wav,boredom,one hundred twelve,conversation,female,"[-401.3427734375, 173.022705078125, -38.58514404296875, 56.322383880615234, 21.435672760009766, -12.111672401428223, 26.54343605041504, -9.595640182495117, 0.3269985318183899, 17.514808654785156, -2.6727371215820312, 5.310000896453857, -10.076303482055664, -9.964723587036133, 11.035518646240234, -5.291143417358398, -5.129524230957031, 1.1025866270065308, -3.1525778770446777, 4.00822639465332]"
datasources\LDC_female\wav\3BD1s0172.wav,boredom,one hundred twelve,conversation,female,"[-383.0320739746094, 170.26463317871094, -34.24912643432617, 51.4913330078125, 20.901107788085938, -10.686785697937012, 25.4849910736084, -9.497883796691895, -2.42427659034729, 15.22695255279541, -4.353434085845947, 2.573765993118286, -8.930492401123047, -9.955106735229492, 8.815892219543457, -5.09367036819458, -5.503168106079102, 1.2428982257843018, -2.5528619289398193, 2.865549087524414]"
datasources\LDC_female\wav\3BD1s0180.wav,boredom,six hundred six,conversation,female,"[-332.87408447265625, 140.21449279785156, -93.04524993896484, 63.73492431640625, 20.30606460571289, -15.893023490905762, 44.1716194152832, 1.2207412719726562, 10.951980590820312, 13.540657997131348, -14.95378589630127, 12.861775398254395, -5.24630069732666, -13.949966430664062, 8.643705368041992, -4.342212200164795, 1.9041099548339844, -2.3804304599761963, -11.566864967346191, 4.741438865661621]"
datasources\LDC_female\wav\3BD1s0181.wav,boredom,six hundred six,conversation,female,"[-346.566650390625, 131.20318603515625, -102.78872680664062, 75.95747375488281, 20.948684692382812, -20.192733764648438, 47.38573455810547, -0.758229672908783, 9.409689903259277, 13.876272201538086, -13.844474792480469, 16.26772117614746, -3.865110158920288, -10.609797477722168, 10.906455039978027, -5.633665561676025, 4.279106616973877, -0.7692198157310486, -11.672569274902344, 6.803828239440918]"
datasources\LDC_female\wav\3BD1s0182.wav,boredom,six hundred six,conversation,female,"[-340.2206115722656, 131.37673950195312, -98.71598052978516, 66.43144989013672, 19.50941276550293, -17.531702041625977, 44.856719970703125, -0.5601864457130432, 8.782058715820312, 12.57795524597168, -15.605687141418457, 11.53581428527832, -5.756039619445801, -13.28880786895752, 6.354630947113037, -4.586769104003906, 4.613377094268799, -5.160908222198486, -12.881235122680664, 8.806783676147461]"
datasources\LDC_female\wav\3BD1s0190.wav,boredom,thirteen hundred,conversation,female,"[-360.02203369140625, 132.74656677246094, -26.048221588134766, 29.172365188598633, 14.551852226257324, 7.699045181274414, 32.58782958984375, -4.57379674911499, 4.768737316131592, 17.590496063232422, -10.216363906860352, -0.8807328343391418, -0.6783627867698669, -12.828961372375488, -3.9025115966796875, -3.286785840988159, -0.18751858174800873, -1.873553991317749, -6.96518087387085, 2.389600992202759]"
datasources\LDC_female\wav\3BD1s0191.wav,boredom,thirteen hundred,conversation,female,"[-365.0705871582031, 132.97747802734375, -22.229469299316406, 28.435699462890625, 14.693513870239258, 3.1109514236450195, 28.235126495361328, -1.367772102355957, 4.957294464111328, 17.89912986755371, -6.533878803253174, -3.318991184234619, -2.4171056747436523, -10.11804485321045, -5.546209335327148, -5.209990978240967, 1.9750423431396484, 0.10974584519863129, -6.144966125488281, 2.0082404613494873]"
datasources\LDC_female\wav\3BD1s0192.wav,boredom,thirteen hundred,conversation,female,"[-363.7507629394531, 130.35556030273438, -20.615150451660156, 25.78270721435547, 18.63153648376465, 9.315086364746094, 30.649696350097656, 0.8817764520645142, 5.6591057777404785, 18.573528289794922, -5.244033336639404, -1.9067951440811157, -0.4420805871486664, -12.19987964630127, -7.540572166442871, -3.681272506713867, -0.7024102210998535, -4.299901008605957, -7.812382698059082, 1.3670966625213623]"
datasources\LDC_female\wav\3BD1s0200.wav,boredom,two hundred one,conversation,female,"[-368.4680480957031, 149.26162719726562, -23.905170440673828, 42.161903381347656, 17.976238250732422, -1.895117998123169, 29.938451766967773, -0.39247435331344604, 6.782002925872803, 18.098814010620117, -4.4280924797058105, 3.8409698009490967, -4.908453464508057, -14.20700740814209, 1.494405746459961, -0.6883217096328735, -0.9382662177085876, -2.1753385066986084, -5.706851005554199, 1.2851521968841553]"
datasources\LDC_female\wav\3BD1s0201.wav,boredom,two hundred one,conversation,female,"[-397.1368408203125, 155.6077423095703, -24.287639617919922, 46.45634078979492, 19.972028732299805, -3.6056528091430664, 30.757339477539062, 0.6605936288833618, 7.48738956451416, 19.884862899780273, -4.615191459655762, 1.3643686771392822, -5.015563488006592, -8.68228816986084, 7.49411678314209, -0.4888608753681183, -0.8514381051063538, 2.1446099281311035, -4.339137077331543, -0.6139567494392395]"
datasources\LDC_female\wav\3BD1s3360.wav,boredom,march twenty-sixth,conversation,female,"[-366.0220642089844, 127.04611206054688, -80.31656646728516, 64.59687042236328, 18.497394561767578, -11.26257610321045, 44.08513641357422, -6.096313953399658, 6.98497200012207, 19.13853645324707, -11.883820533752441, 11.02397346496582, -2.684293508529663, -10.336533546447754, 11.916705131530762, -2.157679796218872, 0.7100347280502319, -0.27556708455085754, -7.844290733337402, 6.515709400177002]"
datasources\LDC_female\wav\3BD1s3361.wav,boredom,march twenty-sixth,conversation,female,"[-391.35101318359375, 141.39295959472656, -72.6150894165039, 63.902347564697266, 17.46144676208496, -11.139891624450684, 41.893672943115234, -7.503995418548584, 6.8350067138671875, 17.56755828857422, -12.567890167236328, 12.283347129821777, -1.3408478498458862, -10.493657112121582, 9.249032974243164, -4.17581844329834, 1.108993411064148, -1.0716975927352905, -9.427083015441895, 6.487950325012207]"
datasources\LDC_female\wav\3BD1s3362.wav,boredom,march twenty-sixth,conversation,female,"[-377.220947265625, 144.26657104492188, -69.94428253173828, 59.64585876464844, 15.507326126098633, -8.611445426940918, 43.18109130859375, -7.555599212646484, 5.970742225646973, 14.62763500213623, -16.314512252807617, 11.001898765563965, -2.287074327468872, -13.805445671081543, 8.465119361877441, -2.6340229511260986, 0.2915710210800171, -2.026233673095703, -10.073233604431152, 5.820512771606445]"
