,emotion,statements,situation,gender
datasources\LDC_female\wav\3DG1s0462.wav,disgust,may seventeenth,conversation,female
datasources\LDC_female\wav\3DG1s0463.wav,disgust,may seventeenth,conversation,female
datasources\LDC_female\wav\3DG1s0470.wav,disgust,nine hundred six,conversation,female
datasources\LDC_female\wav\3DG1s0471.wav,disgust,nine hundred six,conversation,female
datasources\LDC_female\wav\3DG1s0472.wav,disgust,nine hundred six,conversation,female
datasources\LDC_female\wav\3DG1s0473.wav,disgust,nine hundred six,conversation,female
datasources\LDC_female\wav\3DG1s0480.wav,disgust,october twelfth,conversation,female
datasources\LDC_female\wav\3DG1s0481.wav,disgust,october twelfth,conversation,female
datasources\LDC_female\wav\3DG1s0482.wav,disgust,october twelfth,conversation,female
datasources\LDC_female\wav\3DG1s0483.wav,disgust,october twelfth,conversation,female
datasources\LDC_female\wav\3DG1s0490.wav,disgust,one thousand five,conversation,female
datasources\LDC_female\wav\3DG1s0491.wav,disgust,one thousand five,conversation,female
datasources\LDC_female\wav\3DG1s0492.wav,disgust,one thousand five,conversation,female
datasources\LDC_female\wav\3DG1s0493.wav,disgust,one thousand five,conversation,female
datasources\LDC_female\wav\3DG1s0500.wav,disgust,six hundred twelve,conversation,female
datasources\LDC_female\wav\3DG1s0501.wav,disgust,six hundred twelve,conversation,female
datasources\LDC_female\wav\3DG1s0502.wav,disgust,six hundred twelve,conversation,female
datasources\LDC_female\wav\3DG1s0503.wav,disgust,six hundred twelve,conversation,female
datasources\LDC_female\wav\3DG1s0504.wav,disgust,six hundred twelve,conversation,female
datasources\LDC_female\wav\3DG1s0505.wav,disgust,six hundred twelve,conversation,female
datasources\LDC_female\wav\3DG1s0510.wav,disgust,three hundred eight,conversation,female
datasources\LDC_female\wav\3DG1s0511.wav,disgust,three hundred eight,conversation,female
datasources\LDC_female\wav\3DG1s0512.wav,disgust,three hundred eight,conversation,female
datasources\LDC_female\wav\3DG1s0513.wav,disgust,three hundred eight,conversation,female
datasources\LDC_female\wav\3DG1s0514.wav,disgust,three hundred eight,conversation,female
datasources\LDC_female\wav\3DG1s0520.wav,disgust,two hundred three,conversation,female
datasources\LDC_female\wav\3DG1s0521.wav,disgust,two hundred three,conversation,female
datasources\LDC_female\wav\3DG1s0522.wav,disgust,two hundred three,conversation,female
datasources\LDC_female\wav\3DG1s0523.wav,disgust,two hundred three,conversation,female
datasources\LDC_female\wav\3DG1s0570.wav,disgust,eight thousand five,conversation,female
datasources\LDC_female\wav\3DG1s3000.wav,disgust,two hundred thre,conversation,female
datasources\LDC_female\wav\3HA1s0740.wav,hot anger,three hundred nine,conversation,female
datasources\LDC_female\wav\3HA1s0741.wav,hot anger,three hundred nine,conversation,female
datasources\LDC_female\wav\3HA1s0742.wav,hot anger,three hundred nine,conversation,female
datasources\LDC_female\wav\3HA1s0950.wav,hot anger,december tenth,conversation,female
datasources\LDC_female\wav\3HA1s0951.wav,hot anger,december tenth,conversation,female
datasources\LDC_female\wav\3HA1s0960.wav,hot anger,eight hundred twelve,conversation,female
datasources\LDC_female\wav\3HA1s0961.wav,hot anger,eight hundred twelve,conversation,female
datasources\LDC_female\wav\3HA1s0970.wav,hot anger,five thousand five,conversation,female
datasources\LDC_female\wav\3HA1s0971.wav,hot anger,five thousand five,conversation,female
datasources\LDC_female\wav\3HA1s0980.wav,hot anger,four thousand twelve,conversation,female
datasources\LDC_female\wav\3HA1s0981.wav,hot anger,four thousand twelve,conversation,female
datasources\LDC_female\wav\3HA1s1000.wav,hot anger,november third,conversation,female
datasources\LDC_female\wav\3HA1s1001.wav,hot anger,november third,conversation,female
datasources\LDC_female\wav\3HA1s1010.wav,hot anger,one hundred five,conversation,female
datasources\LDC_female\wav\3HA1s1011.wav,hot anger,one hundred five,conversation,female
datasources\LDC_female\wav\3HA1s1030.wav,hot anger,ten thousand nine,conversation,female
datasources\LDC_female\wav\3HA1s1031.wav,hot anger,ten thousand nine,conversation,female
datasources\LDC_female\wav\3HA1s1032.wav,hot anger,ten thousand nine,conversation,female
datasources\LDC_female\wav\3HA1s1040.wav,hot anger,three thousand twelve,conversation,female
datasources\LDC_female\wav\3HA1s1041.wav,hot anger,three thousand twelve,conversation,female
datasources\LDC_female\wav\3HA1s1050.wav,hot anger,april thirteenth,conversation,female
datasources\LDC_female\wav\3HA1s1051.wav,hot anger,april thirteenth,conversation,female
datasources\LDC_female\wav\3HA1s1060.wav,hot anger,eighteen hundred,conversation,female
datasources\LDC_female\wav\3HA1s1061.wav,hot anger,eighteen hundred,conversation,female
datasources\LDC_female\wav\3HA1s1062.wav,hot anger,eighteen hundred,conversation,female
datasources\LDC_female\wav\3HA1s1070.wav,hot anger,four hundred nine,conversation,female
datasources\LDC_female\wav\3HA1s1071.wav,hot anger,four hundred nine,conversation,female
datasources\LDC_female\wav\3HA1s1072.wav,hot anger,four hundred nine,conversation,female
datasources\LDC_female\wav\3HA1s1080.wav,hot anger,june eleventh,conversation,female
datasources\LDC_female\wav\3HA1s1081.wav,hot anger,june eleventh,conversation,female
datasources\LDC_female\wav\3HA1s1090.wav,hot anger,may twentieth,conversation,female
datasources\LDC_female\wav\3HA1s1091.wav,hot anger,may twentieth,conversation,female
datasources\LDC_female\wav\3HA1s1100.wav,hot anger,nine hundred twelve,conversation,female
datasources\LDC_female\wav\3HA1s1101.wav,hot anger,nine hundred twelve,conversation,female
datasources\LDC_female\wav\3HA1s1102.wav,hot anger,nine hundred twelve,conversation,female
datasources\LDC_female\wav\3HA1s1110.wav,hot anger,one thousand one,conversation,female
datasources\LDC_female\wav\3HA1s1111.wav,hot anger,one thousand one,conversation,female
datasources\LDC_female\wav\3HA1s1112.wav,hot anger,one thousand one,conversation,female
datasources\LDC_female\wav\3HA1s1120.wav,hot anger,september first,conversation,female
datasources\LDC_female\wav\3HA1s1121.wav,hot anger,september first,conversation,female
datasources\LDC_female\wav\3HA1s1122.wav,hot anger,september first,conversation,female
datasources\LDC_female\wav\3HA1s1130.wav,hot anger,six thousand five,conversation,female
datasources\LDC_female\wav\3HA1s1131.wav,hot anger,six thousand five,conversation,female
datasources\LDC_female\wav\3HA1s1132.wav,hot anger,six thousand five,conversation,female
datasources\LDC_female\wav\3HA1s1140.wav,hot anger,two thousand eight,conversation,female
datasources\LDC_female\wav\3HA1s1141.wav,hot anger,two thousand eight,conversation,female
datasources\LDC_female\wav\3HA1s1142.wav,hot anger,two thousand eight,conversation,female
datasources\LDC_female\wav\3HA1s3300.wav,hot anger,march thirty-first,conversation,female
datasources\LDC_female\wav\3HA1s3301.wav,hot anger,march thirty-first,conversation,female
datasources\LDC_female\wav\3HA1s3520.wav,hot anger,seventy-three,conversation,female
datasources\LDC_female\wav\3HA1s3521.wav,hot anger,seventy-three,conversation,female
datasources\LDC_female\wav\3HA1s3522.wav,hot anger,seventy-three,conversation,female
datasources\LDC_female\wav\3NT1s0170.wav,neutral,one hundred twelve,conversation,female
datasources\LDC_female\wav\3NT1s0171.wav,neutral,one hundred twelve,conversation,female
datasources\LDC_female\wav\3NT1s0370.wav,neutral,october third,conversation,female
datasources\LDC_female\wav\3NT1s0371.wav,neutral,october third,conversation,female
datasources\LDC_female\wav\3NT1s0390.wav,neutral,six hundred three,conversation,female
datasources\LDC_female\wav\3NT1s0391.wav,neutral,six hundred three,conversation,female
datasources\LDC_female\wav\3NT1s0392.wav,neutral,six hundred three,conversation,female
datasources\LDC_female\wav\3NT1s0780.wav,neutral,two thousand ten,conversation,female
datasources\LDC_female\wav\3NT1s0810.wav,neutral,march eleventh,conversation,female
datasources\LDC_female\wav\3NT1s0811.wav,neutral,march eleventh,conversation,female
datasources\LDC_female\wav\3NT1s0820.wav,neutral,nineteen hundred,conversation,female
datasources\LDC_female\wav\3NT1s0821.wav,neutral,nineteen hundred,conversation,female
datasources\LDC_female\wav\3NT1s1050.wav,neutral,april thirteenth,conversation,female
datasources\LDC_female\wav\3NT1s1070.wav,neutral,four hundred nine,conversation,female
datasources\LDC_female\wav\3NT1s1071.wav,neutral,four hundred nine,conversation,female
datasources\LDC_female\wav\3NT1s1140.wav,neutral,two thousand eight,conversation,female
datasources\LDC_female\wav\3NT1s1141.wav,neutral,two thousand eight,conversation,female
datasources\LDC_female\wav\3NT1s1180.wav,neutral,nine thousand eight,conversation,female
datasources\LDC_female\wav\3NT1s1181.wav,neutral,nine thousand eight,conversation,female
datasources\LDC_female\wav\3NT1s1280.wav,neutral,december fifth,conversation,female
datasources\LDC_female\wav\3NT1s1281.wav,neutral,december fifth,conversation,female
datasources\LDC_female\wav\3NT1s1320.wav,neutral,eight hundred two,conversation,female
datasources\LDC_female\wav\3NT1s1321.wav,neutral,eight hundred two,conversation,female
datasources\LDC_female\wav\3NT1s1330.wav,neutral,eight thousand two,conversation,female
datasources\LDC_female\wav\3NT1s1331.wav,neutral,eight thousand two,conversation,female
datasources\LDC_female\wav\3NT1s1360.wav,neutral,five hundred one,conversation,female
datasources\LDC_female\wav\3NT1s1361.wav,neutral,five hundred one,conversation,female
datasources\LDC_female\wav\3NT1s1370.wav,neutral,five thousand one,conversation,female
datasources\LDC_female\wav\3NT1s1371.wav,neutral,five thousand one,conversation,female
datasources\LDC_female\wav\3NT1s1410.wav,neutral,four thousand nine,conversation,female
datasources\LDC_female\wav\3NT1s1411.wav,neutral,four thousand nine,conversation,female
datasources\LDC_female\wav\3NT1s1440.wav,neutral,july eighteenth,conversation,female
datasources\LDC_female\wav\3NT1s1441.wav,neutral,july eighteenth,conversation,female
datasources\LDC_female\wav\3NT1s1450.wav,neutral,june thirtieth,conversation,female
datasources\LDC_female\wav\3NT1s1451.wav,neutral,june thirtieth,conversation,female
datasources\LDC_female\wav\3NT1s1520.wav,neutral,nine hundred eight,conversation,female
datasources\LDC_female\wav\3NT1s1521.wav,neutral,nine hundred eight,conversation,female
datasources\LDC_female\wav\3NT1s1580.wav,neutral,november tenth,conversation,female
datasources\LDC_female\wav\3NT1s1581.wav,neutral,november tenth,conversation,female
datasources\LDC_female\wav\3NT1s1640.wav,neutral,one thousand twelve,conversation,female
datasources\LDC_female\wav\3NT1s1641.wav,neutral,one thousand twelve,conversation,female
datasources\LDC_female\wav\3NT1s1642.wav,neutral,one thousand twelve,conversation,female
datasources\LDC_female\wav\3NT1s1670.wav,neutral,september twelfth,conversation,female
datasources\LDC_female\wav\3NT1s1671.wav,neutral,september twelfth,conversation,female
datasources\LDC_female\wav\3NT1s1720.wav,neutral,six thousand three,conversation,female
datasources\LDC_female\wav\3NT1s1721.wav,neutral,six thousand three,conversation,female
datasources\LDC_female\wav\3NT1s1740.wav,neutral,ten thousand one,conversation,female
datasources\LDC_female\wav\3NT1s1741.wav,neutral,ten thousand one,conversation,female
datasources\LDC_female\wav\3NT1s1760.wav,neutral,three hundred five,conversation,female
datasources\LDC_female\wav\3NT1s1761.wav,neutral,three hundred five,conversation,female
datasources\LDC_female\wav\3NT1s1780.wav,neutral,three thousand five,conversation,female
datasources\LDC_female\wav\3NT1s1781.wav,neutral,three thousand five,conversation,female
datasources\LDC_female\wav\3NT1s1800.wav,neutral,two hundred eight,conversation,female
datasources\LDC_female\wav\3NT1s1801.wav,neutral,two hundred eight,conversation,female
datasources\LDC_female\wav\3NT1s1830.wav,neutral,two thousand nine,conversation,female
datasources\LDC_female\wav\3NT1s1840.wav,neutral,two thousand one,conversation,female
datasources\LDC_female\wav\3NT1s1850.wav,neutral,two thousand six,conversation,female
datasources\LDC_female\wav\3NT1s1851.wav,neutral,two thousand six,conversation,female
datasources\LDC_female\wav\3NT1s1860.wav,neutral,two thousand three,conversation,female
datasources\LDC_female\wav\3NT1s1861.wav,neutral,two thousand three,conversation,female
datasources\LDC_female\wav\3NT1s1870.wav,neutral,two thousand twelve,conversation,female
datasources\LDC_female\wav\3NT1s1880.wav,neutral,two thousand two,conversation,female
datasources\LDC_female\wav\3NT1s1881.wav,neutral,two thousand two,conversation,female
datasources\LDC_female\wav\3NT1s3360.wav,neutral,march twenty-sixth,conversation,female
datasources\LDC_female\wav\3NT1s3361.wav,neutral,march twenty-sixth,conversation,female
datasources\LDC_female\wav\3NT1s3420.wav,neutral,may twenty-fourth,conversation,female
datasources\LDC_female\wav\3NT1s3421.wav,neutral,may twenty-fourth,conversation,female
datasources\LDC_female\wav\3NT1s3510.wav,neutral,seventy-six,conversation,female
datasources\LDC_female\wav\3NT1s3511.wav,neutral,seventy-six,conversation,female
datasources\LDC_female\wav\3NT1s3512.wav,neutral,seventy-six,conversation,female
datasources\LDC_female\wav\3NT2s0100.wav,neutral,april fifteenth,distant,female
datasources\LDC_female\wav\3NT2s0101.wav,neutral,april fifteenth,distant,female
datasources\LDC_female\wav\3NT2s0120.wav,neutral,five thousand twelve,distant,female
datasources\LDC_female\wav\3NT2s0121.wav,neutral,five thousand twelve,distant,female
datasources\LDC_female\wav\3NT2s0200.wav,neutral,two hundred one,distant,female
datasources\LDC_female\wav\3NT2s0201.wav,neutral,two hundred one,distant,female
datasources\LDC_female\wav\3NT2s0290.wav,neutral,sixteen hundred,distant,female
datasources\LDC_female\wav\3NT2s0291.wav,neutral,sixteen hundred,distant,female
datasources\LDC_female\wav\3NT2s0340.wav,neutral,july second,distant,female
datasources\LDC_female\wav\3NT2s0341.wav,neutral,july second,distant,female
datasources\LDC_female\wav\3NT2s0342.wav,neutral,july second,distant,female
datasources\LDC_female\wav\3NT2s0360.wav,neutral,nine hundred one,distant,female
datasources\LDC_female\wav\3NT2s0361.wav,neutral,nine hundred one,distant,female
datasources\LDC_female\wav\3NT2s0362.wav,neutral,nine hundred one,distant,female
datasources\LDC_female\wav\3NT2s0800.wav,neutral,five hundred twelve,distant,female
datasources\LDC_female\wav\3NT2s0801.wav,neutral,five hundred twelve,distant,female
datasources\LDC_female\wav\3NT2s0860.wav,neutral,three thousand six,distant,female
datasources\LDC_female\wav\3NT2s0861.wav,neutral,three thousand six,distant,female
datasources\LDC_female\wav\3NT2s1120.wav,neutral,september first,distant,female
datasources\LDC_female\wav\3NT2s1121.wav,neutral,september first,distant,female
datasources\LDC_female\wav\3NT2s1122.wav,neutral,september first,distant,female
datasources\LDC_female\wav\3NT2s1130.wav,neutral,six thousand five,distant,female
datasources\LDC_female\wav\3NT2s1131.wav,neutral,six thousand five,distant,female
datasources\LDC_female\wav\3NT2s1150.wav,neutral,fifteen hundred,distant,female
datasources\LDC_female\wav\3NT2s1151.wav,neutral,fifteen hundred,distant,female
datasources\LDC_female\wav\3NT2s1220.wav,neutral,three hundred six,distant,female
datasources\LDC_female\wav\3NT2s1221.wav,neutral,three hundred six,distant,female
datasources\LDC_female\wav\3NT2s1260.wav,neutral,august nineteenth,distant,female
datasources\LDC_female\wav\3NT2s1261.wav,neutral,august nineteenth,distant,female
datasources\LDC_female\wav\3NT2s1290.wav,neutral,december sixth,distant,female
datasources\LDC_female\wav\3NT2s1291.wav,neutral,december sixth,distant,female
datasources\LDC_female\wav\3NT2s1300.wav,neutral,eight hundred nine,distant,female
datasources\LDC_female\wav\3NT2s1301.wav,neutral,eight hundred nine,distant,female
datasources\LDC_female\wav\3NT2s1302.wav,neutral,eight hundred nine,distant,female
datasources\LDC_female\wav\3NT2s1390.wav,neutral,four hundred three,distant,female
datasources\LDC_female\wav\3NT2s1391.wav,neutral,four hundred three,distant,female
datasources\LDC_female\wav\3NT2s1392.wav,neutral,four hundred three,distant,female
datasources\LDC_female\wav\3NT2s1420.wav,neutral,four thousand three,distant,female
datasources\LDC_female\wav\3NT2s1421.wav,neutral,four thousand three,distant,female
datasources\LDC_female\wav\3NT2s1480.wav,neutral,march twentieth,distant,female
datasources\LDC_female\wav\3NT2s1481.wav,neutral,march twentieth,distant,female
datasources\LDC_female\wav\3NT2s1482.wav,neutral,march twentieth,distant,female
datasources\LDC_female\wav\3NT2s1500.wav,neutral,may thirtieth,distant,female
datasources\LDC_female\wav\3NT2s1501.wav,neutral,may thirtieth,distant,female
datasources\LDC_female\wav\3NT2s1530.wav,neutral,nine thousand one,distant,female
datasources\LDC_female\wav\3NT2s1531.wav,neutral,nine thousand one,distant,female
datasources\LDC_female\wav\3NT2s1560.wav,neutral,november eighth,distant,female
datasources\LDC_female\wav\3NT2s1561.wav,neutral,november eighth,distant,female
datasources\LDC_female\wav\3NT2s1590.wav,neutral,october fifth,distant,female
datasources\LDC_female\wav\3NT2s1591.wav,neutral,october fifth,distant,female
datasources\LDC_female\wav\3NT2s1592.wav,neutral,october fifth,distant,female
datasources\LDC_female\wav\3NT2s1600.wav,neutral,one hundred four,distant,female
datasources\LDC_female\wav\3NT2s1601.wav,neutral,one hundred four,distant,female
datasources\LDC_female\wav\3NT2s1630.wav,neutral,one thousand four,distant,female
datasources\LDC_female\wav\3NT2s1631.wav,neutral,one thousand four,distant,female
datasources\LDC_female\wav\3NT2s1700.wav,neutral,six hundred five,distant,female
datasources\LDC_female\wav\3NT2s1701.wav,neutral,six hundred five,distant,female
datasources\LDC_female\wav\3NT2s1702.wav,neutral,six hundred five,distant,female
datasources\LDC_female\wav\3NT2s1750.wav,neutral,ten thousand twelve,distant,female
datasources\LDC_female\wav\3NT2s1751.wav,neutral,ten thousand twelve,distant,female
datasources\LDC_female\wav\3NT2s1820.wav,neutral,two thousand four,distant,female
datasources\LDC_female\wav\3NT2s1821.wav,neutral,two thousand four,distant,female
datasources\LDC_female\wav\3NT2s1822.wav,neutral,two thousand four,distant,female
datasources\LDC_female\wav\3NT2s1860.wav,neutral,two thousand three,distant,female
datasources\LDC_female\wav\3NT2s1861.wav,neutral,two thousand three,distant,female
datasources\LDC_female\wav\3NT2s2180.wav,neutral,eight thousand nine,distant,female
datasources\LDC_female\wav\3NT2s2181.wav,neutral,eight thousand nine,distant,female
datasources\LDC_female\wav\3NT2s3240.wav,neutral,june twenty-fifth,distant,female
datasources\LDC_female\wav\3NT2s3241.wav,neutral,june twenty-fifth,distant,female
datasources\LDC_female\wav\3NT2s3242.wav,neutral,june twenty-fifth,distant,female
datasources\LDC_female\wav\3NT2s3460.wav,neutral,seventy-eight,distant,female
datasources\LDC_female\wav\3NT2s3461.wav,neutral,seventy-eight,distant,female
datasources\LDC_female\wav\3NT3s0160.wav,neutral,october sixth,tete a tete,female
datasources\LDC_female\wav\3NT3s0161.wav,neutral,october sixth,tete a tete,female
datasources\LDC_female\wav\3NT3s0180.wav,neutral,six hundred six,tete a tete,female
datasources\LDC_female\wav\3NT3s0181.wav,neutral,six hundred six,tete a tete,female
datasources\LDC_female\wav\3NT3s0182.wav,neutral,six hundred six,tete a tete,female
datasources\LDC_female\wav\3NT3s0320.wav,neutral,eight thousand three,tete a tete,female
datasources\LDC_female\wav\3NT3s0321.wav,neutral,eight thousand three,tete a tete,female
datasources\LDC_female\wav\3NT3s1080.wav,neutral,june eleventh,tete a tete,female
datasources\LDC_female\wav\3NT3s1081.wav,neutral,june eleventh,tete a tete,female
datasources\LDC_female\wav\3NT3s1100.wav,neutral,nine hundred twelve,tete a tete,female
datasources\LDC_female\wav\3NT3s1101.wav,neutral,nine hundred twelve,tete a tete,female
datasources\LDC_female\wav\3NT3s1190.wav,neutral,one thousand ten,tete a tete,female
datasources\LDC_female\wav\3NT3s1191.wav,neutral,one thousand ten,tete a tete,female
datasources\LDC_female\wav\3NT3s1192.wav,neutral,one thousand ten,tete a tete,female
datasources\LDC_female\wav\3NT3s1240.wav,neutral,april seventh,tete a tete,female
datasources\LDC_female\wav\3NT3s1241.wav,neutral,april seventh,tete a tete,female
datasources\LDC_female\wav\3NT3s1270.wav,neutral,august thirteenth,tete a tete,female
datasources\LDC_female\wav\3NT3s1271.wav,neutral,august thirteenth,tete a tete,female
datasources\LDC_female\wav\3NT3s1310.wav,neutral,eight hundred three,tete a tete,female
datasources\LDC_female\wav\3NT3s1311.wav,neutral,eight hundred three,tete a tete,female
datasources\LDC_female\wav\3NT3s1340.wav,neutral,february,tete a tete,female
datasources\LDC_female\wav\3NT3s1341.wav,neutral,february,tete a tete,female
datasources\LDC_female\wav\3NT3s1350.wav,neutral,five hundred four,tete a tete,female
datasources\LDC_female\wav\3NT3s1351.wav,neutral,five hundred four,tete a tete,female
datasources\LDC_female\wav\3NT3s1380.wav,neutral,four hundred five,tete a tete,female
datasources\LDC_female\wav\3NT3s1381.wav,neutral,four hundred five,tete a tete,female
datasources\LDC_female\wav\3NT3s1400.wav,neutral,four thousand five,tete a tete,female
datasources\LDC_female\wav\3NT3s1401.wav,neutral,four thousand five,tete a tete,female
datasources\LDC_female\wav\3NT3s1430.wav,neutral,fourteen hundred,tete a tete,female
datasources\LDC_female\wav\3NT3s1431.wav,neutral,fourteen hundred,tete a tete,female
datasources\LDC_female\wav\3NT3s1540.wav,neutral,nine thousand twelve,tete a tete,female
datasources\LDC_female\wav\3NT3s1541.wav,neutral,nine thousand twelve,tete a tete,female
datasources\LDC_female\wav\3NT3s1570.wav,neutral,november ninth,tete a tete,female
datasources\LDC_female\wav\3NT3s1571.wav,neutral,november ninth,tete a tete,female
datasources\LDC_female\wav\3NT3s1610.wav,neutral,one hundred ten,tete a tete,female
datasources\LDC_female\wav\3NT3s1611.wav,neutral,one hundred ten,tete a tete,female
datasources\LDC_female\wav\3NT3s1612.wav,neutral,one hundred ten,tete a tete,female
